01-APT17
source,lsn/usn,category,detail
logfile,4403528659,Timestamp Manipulation,"[Malicious] $SI timestamp of kbdyxz.dll"" is changed to the past. (Using another normal file's timestamp) => CreationTime : 2022-12-31 01:26:19 -> 2022-09-08 11:07:35(same as svchost.exe, ucrtbase.dll), ModifiedTime : 2022-12-31 01:26:19 -> 2022-09-08 11:07:35(same as svchost.exe), AccessedTime : 2022-12-31 01:26:19 -> 2022-12-20 21:18:34"""
usnjrnl,754746288,Manipulation of System Time,The system time reversal has occurred. (2022-12-29 21:20:08 -> 2022-12-29 01:09:37)
usnjrnl,768235360,Timestamp Manipulation,"[Malicious] The timestamp of kbdyxz.dll"" may have been manipulated. (Using another normal file's timestamp) => ((CreationTime : 2022-09-08 11:07:35) != (Creation Event Time : 2022-12-31 01:26:19)), (CreationTime(2022-09-08 11:07:35) and ModifiedTime(2022-09-08 11:07:35) are same as svchost.exe)"""

01-PE 
source,lsn/usn,category,detail
logfile,8729569062,Execution of Suspicious Programs,NewFileTime (Timestamp Manipulation) has been executed.
logfile,8730038250,Timestamp Manipulation,"[Suspicious] $SI timestamp of NewFileTime_SI_C_Manipulation.dll"" is changed to the past. (Zero in changed timestamp's 100-nanoseconds) => CreationTime : 2023-12-23 00:21:36 -> 2022-12-23 00:21:50(Zero in 100-nanoseconds)"""
usnjrnl,1327928416,Execution of Suspicious Programs,NewFileTime (Timestamp Manipulation) has been executed.
usnjrnl,1328063200,Timestamp Manipulation,"[Suspicious] The timestamp of NewFileTime_SI_C_Manipulation.dll"" may have been manipulated. (Zero in CreationTime's 100-nanoseconds) => ((CreationTime : 2022-12-23 00:21:50(Zero in 100-nanoseconds)) != (Creation Event Time : 2023-12-23 00:21:36))"""

02-PE 
source,lsn/usn,category,detail
logfile,10055492650,Execution of Suspicious Programs,NewFileTime (Timestamp Manipulation) has been executed.
logfile,10055543485,Timestamp Manipulation,"[Suspicious] $SI timestamp of NewFileTime_SI_M_Manipulation.dll"" is changed to the past. (Zero in changed timestamp's 100-nanoseconds) => ModifiedTime : 2023-12-26 15:16:49 -> 2022-12-26 15:24:17(Zero in 100-nanoseconds)"""
usnjrnl,1717339472,Execution of Suspicious Programs,NewFileTime (Timestamp Manipulation) has been executed.

03-APT21
source,lsn/usn,category,detail
logfile,4400574880,Timestamp Manipulation,"[Suspicious] $SI timestamp of FastUserSwitchingCompatibility32.dll"" is changed to the past. (Zero in changed timestamp's 100-nanoseconds) => CreationTime : 2023-01-02 02:17:03 -> 2004-08-17 19:00:00(Zero in 100-nanoseconds), ModifiedTime : 2023-01-02 02:17:03 -> 2004-08-17 19:00:00(Zero in 100-nanoseconds)"""
usnjrnl,754746288,Manipulation of System Time,The system time reversal has occurred. (2022-12-29 21:20:08 -> 2022-12-29 01:09:37)
usnjrnl,767537424,Timestamp Manipulation,"[Suspicious] The timestamp of FastUserSwitchingCompatibility32.dll"" may have been manipulated. (Zero in CreationTime's 100-nanoseconds) => ((CreationTime : 2004-08-17 19:00:00(Zero in 100-nanoseconds)) != (Creation Event Time : 2023-01-02 02:17:03))"""


03-PE
source,lsn/usn,category,detail
logfile,10054847186,Execution of Suspicious Programs,NewFileTime (Timestamp Manipulation) has been executed.
logfile,10054926899,Timestamp Manipulation,"[Suspicious] $SI timestamp of NewFileTime_SI_MAC_Manipulation.dll"" is changed to the past. (Zero in changed timestamp's 100-nanoseconds) => CreationTime : 2023-12-26 00:36:29 -> 2022-12-26 00:36:44(Zero in 100-nanoseconds), ModifiedTime : 2023-12-26 00:36:29 -> 2022-12-26 00:36:44(Zero in 100-nanoseconds), AccessedTime : 2023-12-26 00:36:51 -> 2022-12-26 00:36:44(Zero in 100-nanoseconds)"""
usnjrnl,1717182464,Execution of Suspicious Programs,NewFileTime (Timestamp Manipulation) has been executed.
usnjrnl,1717195024,Timestamp Manipulation,"[Suspicious] The timestamp of NewFileTime_SI_MAC_Manipulation.dll"" may have been manipulated. (Zero in CreationTime's 100-nanoseconds) => ((CreationTime : 2022-12-26 00:36:44(Zero in 100-nanoseconds)) != (Creation Event Time : 2023-12-26 00:36:29))"""

04-APT28
source,lsn/usn,category,detail,,
logfile,4403079742,Timestamp Manipulation,"[Suspicious] $SI timestamp of advstorshell.dll"" is changed to the past. => CreationTime : 2023-01-02 21:07:57 -> 2022-12-20 21:30:33, ModifiedTime : 2023-01-02 21:07:57 -> 2022-12-20 21:30:33""",,
usnjrnl,754746288,Manipulation of System Time,The system time reversal has occurred. (2022-12-29 21:20:08 -> 2022-12-29 01:09:37),,
usnjrnl,768289968,Timestamp Manipulation,"[Suspicious] The timestamp of advstorshell.dll"" may have been manipulated. => ((CreationTime : 2022-12-20 21:30:33) != (Creation Event Time : 2023-01-02 21:07:57))""",,

04-PE
source,lsn/usn,category,detail
logfile,10587602965,Timestamp Manipulation,"[Suspicious] $SI timestamp of PowerShell_SI_C_Manipulation.dll"" is changed to the past. => CreationTime : 2023-12-31 00:00:31 -> 2022-12-24 11:24:41"""
usnjrnl,1688454976,Timestamp Manipulation,"[Suspicious] The timestamp of Microsoft-Windows-Client-Desktop-Required-Package~31bf3856ad364e35~amd64~~10.0.19041.2364.cat"" may have been manipulated. => ((MFTmodifiedTime : 2023-12-25 16:50:05) != (Last Basic_Info_Changed Event Time : 2023-12-25 16:49:18))"""
