column_name,Manually Parsed,Notebook Output,name_in_both,dtype_match
accessed_time_changed_to_past,bool,bool,True,True
accessed_time_delta_days,float64,float64,True,True
copied_from_file,bool,bool,True,True
creation_time_changed_to_past,bool,bool,True,True
cross_artifact_validation_score,int64,int64,True,True
event_frequency_per_case,int64,int64,True,True
event_frequency_per_file,int64,int64,True,True
event_vs_modified_after_days,float64,float64,True,True
events_in_5min_window,int64,int64,True,True
eventtime,object,object,True,True
eventtime_dt,object,object,True,True
file_system_tunneling_confidence,int64,int64,True,True
filename,object,object,True,True
filename_length,int64,int64,True,True
filepath,object,object,True,True
has_attribute_change,int64,int64,True,True
has_logfile_evidence,bool,bool,True,True
has_suspicious_extension,bool,bool,True,True
has_timestamp_copied_from_file,int64,int64,True,True
has_usnjrnl_evidence,bool,bool,True,True
is_archive,bool,bool,True,True
is_executable,bool,bool,True,True
is_hidden_file,bool,bool,True,True
is_system_file,bool,bool,True,True
is_tunneling,bool,bool,True,True
lf_accessed_time_after,object,object,True,True
lf_accessed_time_before,object,object,True,True
lf_cluster_index,float64,float64,True,True
lf_creation_time_after,object,object,True,True
lf_creation_time_before,object,object,True,True
lf_event,object,object,True,True
lf_lsn,float64,float64,True,True
lf_mft_modified_time_after,object,object,True,True
lf_mft_modified_time_before,object,object,True,True
lf_modified_time_after,object,object,True,True
lf_modified_time_before,object,object,True,True
lf_target_vcn,object,object,True,True
merge_key,object,object,True,True
mft_modified_time_changed_to_past,bool,bool,True,True
mft_modified_time_delta_days,float64,float64,True,True
modified_time_changed_to_past,bool,bool,True,True
path_depth,int64,int64,True,True
source,object,object,True,True
time_since_previous_event_seconds,int64,int64,True,True
timestamp_manipulation_pattern_score,int64,int64,True,True
usn_basic_info_change,bool,bool,True,True
usn_complete_manipulation_pattern,bool,bool,True,True
usn_event_info,object,object,True,True
usn_file_closed,bool,bool,True,True
usn_file_reference_number,object,object,True,True
usn_parent_file_reference_number,object,object,True,True
usn_usn,float64,float64,True,True
zero_in_nanoseconds,bool,bool,True,True
zero_nanoseconds_logfile,int64,int64,True,True
