column_name,num_mismatches
eventtime,175
eventtime_dt,175
lf_lsn,23776
lf_event,1614
filename,19142
filepath,12748
lf_target_vcn,1849
lf_cluster_index,23776
merge_key,19718
usn_usn,189
usn_event_info,13529
usn_file_reference_number,19093
usn_parent_file_reference_number,11881
source,1616
is_tunneling,472
lf_creation_time_before,24150
lf_creation_time_after,24153
lf_modified_time_before,23817
lf_modified_time_after,23871
lf_accessed_time_before,24190
lf_accessed_time_after,24190
lf_mft_modified_time_before,24177
lf_mft_modified_time_after,24177
zero_in_nanoseconds,1278
copied_from_file,100
creation_time_changed_to_past,120
modified_time_changed_to_past,1500
accessed_time_delta_days,24190
accessed_time_changed_to_past,6
mft_modified_time_delta_days,24177
mft_modified_time_changed_to_past,246
is_executable,5007
is_system_file,228
is_hidden_file,326
is_archive,1390
filename_length,0
has_suspicious_extension,1158
event_frequency_per_file,0
event_frequency_per_case,0
events_in_5min_window,0
time_since_previous_event_seconds,0
has_logfile_evidence,1614
has_usnjrnl_evidence,14
usn_basic_info_change,14
usn_file_closed,10374
usn_complete_manipulation_pattern,10374
path_depth,0
event_vs_modified_after_days,24203
cross_artifact_validation_score,0
timestamp_manipulation_pattern_score,0
file_system_tunneling_confidence,0
has_attribute_change,0
has_timestamp_copied_from_file,0
zero_nanoseconds_logfile,0
