source,lsn/usn,category,detail
logfile,1548873849,Traces of Suspicious Programs,[Suspicious] The Trace of Typical Data Wiping : Deletion after Renaming and Timestamp Manipulation
logfile,1548892107,Traces of Suspicious Programs,[Suspicious] The Trace of Typical Data Wiping : Deletion after Renaming and Timestamp Manipulation
logfile,1551306017,Deletion of Document File,"Get Started with Dropbox (deleted 72959d95ea583613843b11151d26591a).pdf"" has been deleted."""
usnjrnl,239046272,Timestamp Manipulation,"[Suspicious] The timestamp of DeathToll.jpg"" may have been manipulated. (Zero in CreationTime's 100-nanoseconds) => ((CreationTime : 2018-03-31 12:16:22(Zero in 100-nanoseconds)) != (Creation Event Time : 2018-04-05 10:21:01))"""
usnjrnl,239049160,Timestamp Manipulation,"[Suspicious] The timestamp of DemLogic.jpg"" may have been manipulated. (Zero in CreationTime's 100-nanoseconds) => ((CreationTime : 2018-03-31 12:19:35(Zero in 100-nanoseconds)) != (Creation Event Time : 2018-04-05 10:21:02))"""
usnjrnl,239049856,Timestamp Manipulation,"[Suspicious] The timestamp of HoldMyTidePod.jpg"" may have been manipulated. (Zero in CreationTime's 100-nanoseconds) => ((CreationTime : 2018-03-30 11:29:20(Zero in 100-nanoseconds)) != (Creation Event Time : 2018-04-05 10:21:03))"""
usnjrnl,239050536,Timestamp Manipulation,"[Suspicious] The timestamp of Planning.docx"" may have been manipulated. (Zero in CreationTime's 100-nanoseconds) => ((CreationTime : 2018-04-04 13:30:41(Zero in 100-nanoseconds)) != (Creation Event Time : 2018-04-05 10:21:04))"""
usnjrnl,239053344,Timestamp Manipulation,"[Suspicious] The timestamp of Huckleberry.png"" may have been manipulated. (Zero in CreationTime's 100-nanoseconds) => ((CreationTime : 2018-03-31 12:23:25(Zero in 100-nanoseconds)) != (Creation Event Time : 2018-04-05 10:21:05))"""
usnjrnl,239054048,Timestamp Manipulation,"[Suspicious] The timestamp of MyTiredHead.jpg"" may have been manipulated. (Zero in CreationTime's 100-nanoseconds) => ((CreationTime : 2018-03-30 11:31:11(Zero in 100-nanoseconds)) != (Creation Event Time : 2018-04-05 10:21:06))"""
usnjrnl,239054704,Timestamp Manipulation,"[Suspicious] The timestamp of Sheep.jpg"" may have been manipulated. (Zero in CreationTime's 100-nanoseconds) => ((CreationTime : 2018-03-30 11:32:40(Zero in 100-nanoseconds)) != (Creation Event Time : 2018-04-05 10:21:07))"""
usnjrnl,239055432,Timestamp Manipulation,"[Suspicious] The timestamp of RedGuns.jpg"" may have been manipulated. (Zero in CreationTime's 100-nanoseconds) => ((CreationTime : 2018-03-31 12:16:59(Zero in 100-nanoseconds)) != (Creation Event Time : 2018-04-05 10:21:09))"""
usnjrnl,239057384,Timestamp Manipulation,"[Suspicious] The timestamp of CubaDearmed.jpg"" may have been manipulated. (Zero in CreationTime's 100-nanoseconds) => ((CreationTime : 2018-03-31 05:22:56(Zero in 100-nanoseconds)) != (Creation Event Time : 2018-04-05 10:21:10))"""
usnjrnl,239057592,Timestamp Manipulation,"[Suspicious] The timestamp of AIRPORT INFORMATION.docx"" may have been manipulated. (Zero in CreationTime's 100-nanoseconds) => ((CreationTime : 2018-04-04 12:59:32(Zero in 100-nanoseconds)) != (Creation Event Time : 2018-04-05 10:21:10))"""
usnjrnl,239059120,Timestamp Manipulation,"[Suspicious] The timestamp of DarkWolf.png"" may have been manipulated. (Zero in CreationTime's 100-nanoseconds) => ((CreationTime : 2018-03-30 11:33:51(Zero in 100-nanoseconds)) != (Creation Event Time : 2018-04-05 10:21:12))"""
usnjrnl,239059816,Timestamp Manipulation,"[Suspicious] The timestamp of BladeofGrass.jpg"" may have been manipulated. (Zero in CreationTime's 100-nanoseconds) => ((CreationTime : 2018-03-31 12:15:53(Zero in 100-nanoseconds)) != (Creation Event Time : 2018-04-05 10:21:12))"""
