source,lsn/usn,category,detail
logfile,10056226616,Timestamp Manipulation,"[Malicious] After execution of nTimestomp, $SI timestamp of nTimestomp_SI_MACE_Manipulation.dll"" is changed to the past. => CreationTime : 2023-12-26 23:03:30 -> 2022-12-22 23:19:23, ModifiedTime : 2023-12-26 23:03:30 -> 2022-12-22 23:19:23, MFTModifiedTime : 2023-12-26 23:03:30 -> 2022-12-22 23:19:23, AccessedTime : 2023-12-26 23:03:30 -> 2022-12-22 23:19:23"""
logfile,10056226976,Execution of Suspicious Programs,nTimestomp (Timestamp Manipulation) has been executed.
usnjrnl,1717631488,Execution of Suspicious Programs,nTimestomp (Timestamp Manipulation) has been executed.
usnjrnl,1717076904,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.64.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:59:46) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717080352,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.68.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:59:48) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717081072,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.69.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:59:48) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717081792,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.70.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:59:48) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717082512,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.71.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:59:48) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717083232,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.72.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:59:48) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717083952,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.73.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:59:48) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717084736,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.74.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:59:49) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717085456,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.75.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:59:49) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717086176,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.76.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:59:49) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717086896,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.77.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:59:49) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717087616,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.78.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:59:49) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717088400,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.79.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:59:49) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717089120,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.80.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:59:49) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717089840,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.81.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:59:49) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717090560,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.82.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:59:49) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717091280,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.83.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:59:49) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717092000,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.84.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:59:49) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717092784,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.85.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:59:50) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717093504,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.86.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:59:50) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717094224,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.87.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:59:50) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717094944,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.88.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:59:50) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717095664,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.89.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:59:50) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717096736,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.173759.428.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:59:50) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717097544,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.173759.428.2.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:59:51) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717098264,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.175817.420.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:59:51) != (Creation Event Time : 2023-12-26 22:26:44))"""
