LSN,EventTime(UTC+8),Event,Detail,File/Directory Name,Full Path,CreationTime,ModifiedTime,MFTModifiedTime,AccessedTime,Redo,Target VCN,Cluster Index
4352201362,,Renaming File,JKK9014ZZX8453MZOK1E.temp -> 6824f4a902c78fbd.customDestinations-ms,6824f4a902c78fbd.customDestinations-ms,\Users\blueangel\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\6824f4a902c78fbd.customDestinations-ms,,,,,Create Attribute,0x9EFA,0
4352201701,,Updating MFTModified Time,MFTModifiedTime : 2022-12-29 23:20:23 -> 2022-12-29 23:22:23,pkg2301010400000043.bin <Guessed>,,,,,,Update Resident Value,0x9E93,4
4352202125,,File Deletion,,6824f4a902c78fbd.customDestinations-ms~RF3e012b.TMP,\Users\blueangel\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\6824f4a902c78fbd.customDestinations-ms~RF3e012b.TMP,12/16/22 18:41,12/29/22 23:20,12/29/22 23:22,12/29/22 23:22,Deallocate File Record Segment,0x9E93,4
4352210252,,# Check Point,,,,,,,,Compensation Log Record,0x36969C3,1
4352210272,,Updating Modified Time,ModifiedTime : 2022-12-29 23:21:53 -> 2022-12-29 23:21:58,QuotaManager-journal <Guessed>,\Users\blueangel\AppData\Roaming\Microsoft\Teams\Partitions\msa\QuotaManager-journal,,,,,Update Resident Value,0x155DD,4
4352210360,,Updating Modified Time,ModifiedTime : 2022-12-29 23:21:58 -> 2022-12-29 23:22:26,QuotaManager-journal <Guessed>,\Users\blueangel\AppData\Roaming\Microsoft\Teams\Partitions\msa\QuotaManager-journal,,,,,Update Resident Value,0x155DD,4
4352210456,,Updating Modified Time,ModifiedTime : 2022-12-29 23:21:53 -> 2022-12-29 23:22:26,QuotaManager <Guessed>,\Users\blueangel\AppData\Roaming\Microsoft\Teams\Partitions\msa\QuotaManager,,,,,Update Resident Value,0x155B4,6
4352210855,12/29/22 22:37,File Creation,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/29/22 22:37,12/29/22 23:22,12/29/22 23:22,12/29/22 23:22,Initialize File Record Segment,0x9E93,4
4352211090,12/29/22 22:37,Writing Content of Resident File,Writing Size : 512,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,,,,,Update Resident Value,0x9E93,4
4352211729,12/29/22 22:37,Updating Modified Time,ModifiedTime : 2022-12-29 23:22:22 -> 2022-12-29 23:22:27,UDB-User23847576+RemoteGraph.sql <Guessed>,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql,,,,,Update Resident Value,0x6E75,2
4352212113,12/29/22 22:37,File Deletion,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/29/22 22:37,12/29/22 23:22,12/29/22 23:22,12/29/22 23:22,Deallocate File Record Segment,0x9E93,4
4352212298,12/29/22 22:37,File Creation,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/29/22 22:37,12/29/22 23:22,12/29/22 23:22,12/29/22 23:22,Initialize File Record Segment,0x9E93,4
4352212533,,Writing Content of Resident File,Writing Size : 512,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,,,,,Update Resident Value,0x9E93,4
4352213551,,File Deletion,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/29/22 22:37,12/29/22 23:22,12/29/22 23:22,12/29/22 23:22,Deallocate File Record Segment,0x9E93,4
4352213672,,Updating Modified Time,ModifiedTime : 2022-12-29 23:22:21 -> 2022-12-29 23:22:26,last_run_current_log.txt <Guessed>,\Users\blueangel\AppData\Local\CiscoSpark\last_run_current_log.txt,,,,,Update Resident Value,0x67F6,6
