LSN,EventTime(UTC+8),Event,Detail,File/Directory Name,Full Path,CreationTime,ModifiedTime,MFTModifiedTime,AccessedTime,Redo,Target VCN,Cluster Index
6276032920,,Updating Modified Time,ModifiedTime : 2023-01-04 21:35:14 -> 2023-01-04 21:35:18,UDB-User23847576+RemoteGraph.sql <Guessed>,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql,,,,,Update Resident Value,0x6E75,2
6276033308,,File Deletion,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,1/4/23 14:14,1/4/23 21:35,1/4/23 21:35,1/4/23 21:35,Deallocate File Record Segment,0x22C5,2
6276033493,1/4/23 14:14,File Creation,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,1/4/23 14:14,1/4/23 21:35,1/4/23 21:35,1/4/23 21:35,Initialize File Record Segment,0x22C5,2
6276033728,1/4/23 14:14,Writing Content of Resident File,Writing Size : 512,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,,,,,Update Resident Value,0x22C5,2
6276034363,1/4/23 14:14,Updating Modified Time,ModifiedTime : 2023-01-04 21:35:18 -> 2023-01-04 21:35:19,UDB-User23847576+RemoteGraph.sql <Guessed>,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql,,,,,Update Resident Value,0x6E75,2
6276034749,1/4/23 14:14,File Deletion,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,1/4/23 14:14,1/4/23 21:35,1/4/23 21:35,1/4/23 21:35,Deallocate File Record Segment,0x22C5,2
6276034934,1/4/23 14:14,File Creation,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,1/4/23 14:14,1/4/23 21:35,1/4/23 21:35,1/4/23 21:35,Initialize File Record Segment,0x22C5,2
6276035169,1/4/23 14:14,Writing Content of Resident File,Writing Size : 512,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,,,,,Update Resident Value,0x22C5,2
6276036238,1/4/23 14:14,File Deletion,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,1/4/23 14:14,1/4/23 21:35,1/4/23 21:35,1/4/23 21:35,Deallocate File Record Segment,0x22C5,2
6276036423,1/4/23 14:14,File Creation,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,1/4/23 14:14,1/4/23 21:35,1/4/23 21:35,1/4/23 21:35,Initialize File Record Segment,0x22C5,2
