source,lsn/usn,category,detail
logfile,4414132675,Timestamp Manipulation,"[Suspicious] $SI creationTime of msdispobj.exe"" is changed to the future. => CreationTime : 2023-01-02 21:16:50 -> 2024-11-03 21:16:50"""
logfile,4414134035,Timestamp Manipulation,"[Suspicious] $SI creationTime of cmsdispproc.exe"" is changed to the future. => CreationTime : 2023-01-02 21:16:51 -> 2023-10-20 21:16:51"""
logfile,4414140218,Timestamp Manipulation,"[Suspicious] $SI creationTime of dhcphostctf.exe"" is changed to the future. => CreationTime : 2023-01-02 21:16:52 -> 2024-09-28 21:16:52"""
logfile,4414141817,Timestamp Manipulation,"[Suspicious] $SI timestamp of prochostobj.exe"" is changed to the past. => CreationTime : 2023-01-02 21:16:53 -> 2022-02-28 21:16:53, ModifiedTime : 2023-01-02 21:13:21 -> 2022-02-28 21:16:53, AccessedTime : 2023-01-02 21:16:53 -> 2022-02-28 21:16:53"""
logfile,4414143972,Timestamp Manipulation,"[Suspicious] $SI timestamp of fwcinfodns.ocx"" is changed to the past. => CreationTime : 2023-01-02 21:16:53 -> 2020-09-20 21:16:53, ModifiedTime : 2023-01-02 21:16:53 -> 2020-09-20 21:16:53, AccessedTime : 2023-01-02 21:16:53 -> 2020-09-20 21:16:53"""
logfile,4414145134,Timestamp Manipulation,"[Suspicious] $SI timestamp of dhcphostnet.exe"" is changed to the past. => CreationTime : 2023-01-02 21:16:53 -> 2022-11-25 21:16:53, ModifiedTime : 2023-01-02 21:13:21 -> 2022-11-25 21:16:53, AccessedTime : 2023-01-02 21:16:53 -> 2022-11-25 21:16:53"""
usnjrnl,754746288,Manipulation of System Time,The system time reversal has occurred. (2022-12-29 21:20:08 -> 2022-12-29 01:09:37)
usnjrnl,769457560,Timestamp Manipulation,"[Suspicious] The timestamp of msdispobj.exe"" may have been manipulated. => ((CreationTime : 2024-11-03 21:16:50) != (Creation Event Time : 2023-01-02 21:16:50))"""
usnjrnl,769458464,Timestamp Manipulation,"[Suspicious] The timestamp of cmsdispproc.exe"" may have been manipulated. => ((CreationTime : 2023-10-20 21:16:51) != (Creation Event Time : 2023-01-02 21:16:51))"""
usnjrnl,769461104,Timestamp Manipulation,"[Suspicious] The timestamp of dhcphostctf.exe"" may have been manipulated. => ((CreationTime : 2024-09-28 21:16:52) != (Creation Event Time : 2023-01-02 21:16:52))"""
usnjrnl,769461872,Timestamp Manipulation,"[Suspicious] The timestamp of prochostobj.exe"" may have been manipulated. => ((CreationTime : 2022-02-28 21:16:53) != (Creation Event Time : 2023-01-02 21:16:53))"""
usnjrnl,769463160,Timestamp Manipulation,"[Suspicious] The timestamp of fwcinfodns.ocx"" may have been manipulated. => ((CreationTime : 2020-09-20 21:16:53) != (Creation Event Time : 2023-01-02 21:16:53))"""
usnjrnl,769463920,Timestamp Manipulation,"[Suspicious] The timestamp of dhcphostnet.exe"" may have been manipulated. => ((CreationTime : 2022-11-25 21:16:53) != (Creation Event Time : 2023-01-02 21:16:53))"""
