lf_lsn,eventtime,lf_event,lf_detail,filename,filepath,lf_creation_time,lf_modified_time,lf_mft_modified_time,lf_accessed_time,lf_redo,lf_target_vcn,lf_cluster_index,dataset_id,eventtime_dt,merge_key,usn_usn,usn_event_info,usn_source_info,usn_file_attribute,usn_carving_flag,usn_file_reference_number,usn_parent_file_reference_number,source,time_diff_seconds,is_tunneling,is_timestomped,timestamp_type,timestamp_before,timestamp_after,zero_in_nanoseconds
4396068110.0,12/29/22 23:36,Time Reversal Event & Changing FileAttribute,CreationTime : 2022-12-29 23:36:04 -> 2022-12-16 17:28:08(same as IDX_CONTENT_TASKBARHEADLINES.json/ IDX_CONTENT_TASKBARHEADLINES.json~RF32ffa.TMP) & Hidden/ Archive -> Archive,IDX_CONTENT_TASKBARHEADLINES.json.~tmp,\Users\blueangel\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\ShellFeeds\IDX_CONTENT_TASKBARHEADLINES.json.~tmp,,,,,Update Resident Value,0x6649,6.0,01-APT17,2022-12-29 23:36:00,\Users\blueangel\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\ShellFeeds\IDX_CONTENT_TASKBARHEADLINES.json.~tmp|IDX_CONTENT_TASKBARHEADLINES.json.~tmp,765607936.0,Basic_Info_Changed,Normal,Archive,,0x000A000000019927,0x000300000001A2B4,both,0.0,False,0,CreationTime,2022-12-29 23:36:04,2022-12-16 17:28:08,False
4396123328.0,12/29/22 23:36,Time Reversal Event,CreationTime : 2022-12-29 23:36:15 -> 2022-12-16 17:18:46(same as global.ini/ assertInformation.ini),global.temp.ini,\Users\blueangel\AppData\Local\Microsoft\OneDrive\settings\Personal\global.temp.ini,,,,,Update Resident Value,0x7274,6.0,01-APT17,2022-12-29 23:36:00,\Users\blueangel\AppData\Local\Microsoft\OneDrive\settings\Personal\global.temp.ini|global.temp.ini,765623112.0,Basic_Info_Changed,Normal,Archive,,0x000B00000001C9D3,0x000100000001AB1F,both,0.0,False,0,CreationTime,2022-12-29 23:36:15,2022-12-16 17:18:46,False
4396144730.0,12/29/22 23:36,Time Reversal Event & Changing FileAttribute,CreationTime : 2022-12-29 23:36:15 -> 2022-12-13 13:10:29(Zero in 100-nanoseconds)(same as wct62B.tmp/ wctAF1C.tmp)/ ModifiedTime : 2022-12-29 23:36:15 -> 2022-12-13 13:10:29(Zero in 100-nanoseconds)(same as wct62B.tmp/ wctAF1C.tmp)/ MFTModifiedTime : 2022-12-29 23:36:15 -> 2022-12-13 13:10:29(Zero in 100-nanoseconds)/ AccessedTime : 2022-12-29 23:36:15 -> 2022-12-13 13:10:29(Zero in 100-nanoseconds) & Hidden/ Archive -> Hidden,BITA018.tmp,\Users\blueangel\AppData\Local\Temp\BITA018.tmp,,,,,Update Resident Value,0x726C,0.0,01-APT17,2022-12-29 23:36:00,\Users\blueangel\AppData\Local\Temp\BITA018.tmp|BITA018.tmp,765633416.0,Basic_Info_Changed / Data_Added / Data_Overwritten / Data_Truncated,Normal,Hidden,,0x000B00000001C9B0,0x000100000001A2E5,both,0.0,False,0,CreationTime,2022-12-29 23:36:15,2022-12-13 13:10:29,True
4396164601.0,12/29/22 23:36,Time Reversal Event & Changing FileAttribute,CreationTime : 2022-12-29 23:36:19 -> 2022-12-16 17:14:26 & Hidden/ Archive -> Archive,~ocuments.tmp,\Users\blueangel\AppData\Roaming\Microsoft\Windows\Libraries\~ocuments.tmp,,,,,Update Resident Value,0x6877,4.0,01-APT17,2022-12-29 23:36:00,\Users\blueangel\AppData\Roaming\Microsoft\Windows\Libraries\~ocuments.tmp|~ocuments.tmp,765642288.0,Basic_Info_Changed,Normal,Archive,,0x000E00000001A1DE,0x000100000001A4B2,both,0.0,False,0,CreationTime,2022-12-29 23:36:19,2022-12-16 17:14:26,False
4396257549.0,12/29/22 23:36,Time Reversal Event,CreationTime : 2022-12-29 23:36:31 -> 2022-12-16 17:14:28(same as Preferences/ Secure Preferences),06377dad-2095-46da-847f-17974edd2e70.tmp,\Users\blueangel\AppData\Local\Microsoft\Edge\User Data\Default\06377dad-2095-46da-847f-17974edd2e70.tmp,,,,,Update Resident Value,0x71FA,2.0,01-APT17,2022-12-29 23:36:00,\Users\blueangel\AppData\Local\Microsoft\Edge\User Data\Default\06377dad-2095-46da-847f-17974edd2e70.tmp|06377dad-2095-46da-847f-17974edd2e70.tmp,765674160.0,Basic_Info_Changed,Normal,Archive,,0x000D00000001C7E9,0x000100000001A537,both,0.0,False,0,CreationTime,2022-12-29 23:36:31,2022-12-16 17:14:28,False
4396260331.0,12/29/22 23:36,Time Reversal Event,CreationTime : 2022-12-29 23:36:31 -> 2022-12-16 17:14:28(same as Preferences/ Secure Preferences),8c0ec992-48a9-4bda-81f6-5419e8397970.tmp,\Users\blueangel\AppData\Local\Microsoft\Edge\User Data\Default\8c0ec992-48a9-4bda-81f6-5419e8397970.tmp,,,,,Update Resident Value,0x20DE,4.0,01-APT17,2022-12-29 23:36:00,\Users\blueangel\AppData\Local\Microsoft\Edge\User Data\Default\8c0ec992-48a9-4bda-81f6-5419e8397970.tmp|8c0ec992-48a9-4bda-81f6-5419e8397970.tmp,765675912.0,Basic_Info_Changed,Normal,Archive,,0x00C600000000837A,0x000100000001A537,both,0.0,False,0,CreationTime,2022-12-29 23:36:31,2022-12-16 17:14:28,False
4396324462.0,12/29/22 23:36,Time Reversal Event,CreationTime : 2022-12-29 23:36:31 -> 2022-12-25 21:43:09(same as Trusted Vault/ Trusted Vault~RF1605b.TMP),2ade82c5-e4bf-404a-94a7-fdfe33c2fc6b.tmp,\Users\blueangel\AppData\Local\Microsoft\Edge\User Data\Default\2ade82c5-e4bf-404a-94a7-fdfe33c2fc6b.tmp,,,,,Update Resident Value,0x6B6B,2.0,01-APT17,2022-12-29 23:36:00,\Users\blueangel\AppData\Local\Microsoft\Edge\User Data\Default\2ade82c5-e4bf-404a-94a7-fdfe33c2fc6b.tmp|2ade82c5-e4bf-404a-94a7-fdfe33c2fc6b.tmp,765719392.0,Basic_Info_Changed,Normal,Archive,,0x001700000001ADAD,0x000100000001A537,both,0.0,False,0,CreationTime,2022-12-29 23:36:31,2022-12-25 21:43:09,False
4396801143.0,12/29/22 23:36,Time Reversal Event,CreationTime : 2022-12-29 23:36:39 -> 2022-12-20 22:16:23(same as 5728b1cde7c10ef0.customDestinations-ms/ 5728b1cde7c10ef0.customDestinations-ms~RF1f6fd.TMP),VCB674ZBBSENGJBITXQY.temp,\Users\blueangel\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\VCB674ZBBSENGJBITXQY.temp,,,,,Update Resident Value,0x79BE,0.0,01-APT17,2022-12-29 23:36:00,\Users\blueangel\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\VCB674ZBBSENGJBITXQY.temp|VCB674ZBBSENGJBITXQY.temp,766029624.0,Basic_Info_Changed,Normal,Archive,,0x000500000001E6F8,0x000500000001A277,both,0.0,False,0,CreationTime,2022-12-29 23:36:39,2022-12-20 22:16:23,False
4396842374.0,12/29/22 23:36,Time Reversal Event,CreationTime : 2022-12-29 23:36:41 -> 2022-12-16 17:14:37(same as Local State),b6981e3c-78ff-42fc-872a-5798ba291c64.tmp,\Users\blueangel\AppData\Local\Microsoft\Edge\User Data\b6981e3c-78ff-42fc-872a-5798ba291c64.tmp,,,,,Update Resident Value,0x7AD4,2.0,01-APT17,2022-12-29 23:36:00,\Users\blueangel\AppData\Local\Microsoft\Edge\User Data\b6981e3c-78ff-42fc-872a-5798ba291c64.tmp|b6981e3c-78ff-42fc-872a-5798ba291c64.tmp,766048736.0,Basic_Info_Changed,Normal,Archive,,0x002800000001EB51,0x000100000001A4E7,both,0.0,False,0,CreationTime,2022-12-29 23:36:41,2022-12-16 17:14:37,False
4396848461.0,12/29/22 23:36,Time Reversal Event,CreationTime : 2022-12-29 23:36:41 -> 2022-12-16 17:14:28(same as Preferences/ Secure Preferences),7b460c35-6be7-410b-ac22-9dd35d85d2f0.tmp,\Users\blueangel\AppData\Local\Microsoft\Edge\User Data\Default\7b460c35-6be7-410b-ac22-9dd35d85d2f0.tmp,,,,,Update Resident Value,0x7AEC,0.0,01-APT17,2022-12-29 23:36:00,\Users\blueangel\AppData\Local\Microsoft\Edge\User Data\Default\7b460c35-6be7-410b-ac22-9dd35d85d2f0.tmp|7b460c35-6be7-410b-ac22-9dd35d85d2f0.tmp,766051952.0,Basic_Info_Changed,Normal,Archive,,0x000700000001EBB0,0x000100000001A537,both,0.0,False,0,CreationTime,2022-12-29 23:36:41,2022-12-16 17:14:28,False
4396863694.0,12/29/22 23:36,Time Reversal Event,ModifiedTime : 2022-12-29 23:36:41 -> 2022-12-29 23:34:49,last_run_current_log.txt,,,,,,Update Resident Value,0x71FA,2.0,01-APT17,2022-12-29 23:36:00,|last_run_current_log.txt,766059232.0,Basic_Info_Changed / Data_Added / Data_Overwritten,Normal,Archive,,0x001100000001C7E9,0x001100000001B056,both,0.0,False,0,ModifiedTime,2022-12-29 23:36:41,2022-12-29 23:34:49,False
