LSN,EventTime(UTC+8),Event,Detail,File/Directory Name,Full Path,CreationTime,ModifiedTime,MFTModifiedTime,AccessedTime,Redo,Target VCN,Cluster Index,case_id,label_category,label_detail
8729569062,12/23/23 0:21:57,File Creation,,NEWFILETIME_X64.EXE-6C60D39A.pf,\Windows\Prefetch\NEWFILETIME_X64.EXE-6C60D39A.pf,12/23/23 0:21:57,12/23/23 0:21:57,12/23/23 0:21:57,12/23/23 0:21:57,Initialize File Record Segment,0x8019,2,1,Execution of Suspicious Programs,NewFileTime (Timestamp Manipulation) has been executed.
8730038250,,Time Reversal Event,CreationTime : 2023-12-23 00:21:36 -> 2022-12-23 00:21:50(Zero in 100-nanoseconds),NewFileTime_SI_C_Manipulation.dll,\Program Files\Windows Mail\NewFileTime_SI_C_Manipulation.dll,,,,,Update Resident Value,0x789F,4,1,Timestamp Manipulation,"[Suspicious] $SI timestamp of NewFileTime_SI_C_Manipulation.dll"" is changed to the past. (Zero in changed timestamp's 100-nanoseconds) => CreationTime : 2023-12-23 00:21:36 -> 2022-12-23 00:21:50(Zero in 100-nanoseconds)"""
10055492650,12/26/23 15:24:22,File Creation,,NEWFILETIME_X64.EXE-6C60D39A.pf,\Windows\Prefetch\NEWFILETIME_X64.EXE-6C60D39A.pf,12/26/23 15:24:22,12/26/23 15:24:22,12/26/23 15:24:22,12/26/23 15:24:22,Initialize File Record Segment,0x300F,0,2,Execution of Suspicious Programs,NewFileTime (Timestamp Manipulation) has been executed.
10055543485,,Time Reversal Event,ModifiedTime : 2023-12-26 15:16:49 -> 2022-12-26 15:24:17(Zero in 100-nanoseconds),NewFileTime_SI_M_Manipulation.dll,\Program Files\Windows Mail\NewFileTime_SI_M_Manipulation.dll,,,,,Update Resident Value,0x3009,4,2,Timestamp Manipulation,"[Suspicious] $SI timestamp of NewFileTime_SI_M_Manipulation.dll"" is changed to the past. (Zero in changed timestamp's 100-nanoseconds) => ModifiedTime : 2023-12-26 15:16:49 -> 2022-12-26 15:24:17(Zero in 100-nanoseconds)"""
10054847186,12/26/23 0:36:52,File Creation,,NEWFILETIME_X64.EXE-6C60D39A.pf,\Windows\Prefetch\NEWFILETIME_X64.EXE-6C60D39A.pf,12/26/23 0:36:52,12/26/23 0:36:52,12/26/23 0:36:52,12/26/23 0:36:52,Initialize File Record Segment,0x3009,2,3,Execution of Suspicious Programs,NewFileTime (Timestamp Manipulation) has been executed.
10054926899,,Time Reversal Event,CreationTime : 2023-12-26 00:36:29 -> 2022-12-26 00:36:44(Zero in 100-nanoseconds)/ ModifiedTime : 2023-12-26 00:36:29 -> 2022-12-26 00:36:44(Zero in 100-nanoseconds)/ AccessedTime : 2023-12-26 00:36:51 -> 2022-12-26 00:36:44(Zero in 100-nanoseconds),NewFileTime_SI_MAC_Manipulation.dll,\Program Files\Windows Mail\NewFileTime_SI_MAC_Manipulation.dll,,,,,Update Resident Value,0x3007,0,3,Timestamp Manipulation,"[Suspicious] $SI timestamp of NewFileTime_SI_MAC_Manipulation.dll"" is changed to the past. (Zero in changed timestamp's 100-nanoseconds) => CreationTime : 2023-12-26 00:36:29 -> 2022-12-26 00:36:44(Zero in 100-nanoseconds), ModifiedTime : 2023-12-26 00:36:29 -> 2022-12-26 00:36:44(Zero in 100-nanoseconds), AccessedTime : 2023-12-26 00:36:51 -> 2022-12-26 00:36:44(Zero in 100-nanoseconds)"""
10587602965,,Time Reversal Event,CreationTime : 2023-12-31 00:00:31 -> 2022-12-24 11:24:41,PowerShell_SI_C_Manipulation.dll,\Program Files\Windows Mail\PowerShell_SI_C_Manipulation.dll,,,,,Update Resident Value,0x30DA,4,4,Timestamp Manipulation,"[Suspicious] $SI timestamp of PowerShell_SI_C_Manipulation.dll"" is changed to the past. => CreationTime : 2023-12-31 00:00:31 -> 2022-12-24 11:24:41"""
10589115344,,Time Reversal Event,ModifiedTime : 2023-12-31 00:27:50 -> 2022-12-24 11:24:41,PowerShell_SI_M_Manipulation.dll,\Program Files\Windows Mail\PowerShell_SI_M_Manipulation.dll,,,,,Update Resident Value,0x2A9F,6,5,Timestamp Manipulation,"[Suspicious] $SI timestamp of PowerShell_SI_M_Manipulation.dll"" is changed to the past. => ModifiedTime : 2023-12-31 00:27:50 -> 2022-12-24 11:24:41"""
10588513220,,Time Reversal Event,CreationTime : 2023-12-31 00:38:02 -> 2022-12-24 11:24:41,PowerShell_SI_MAC_Manipulation.dll,\Program Files\Windows Mail\PowerShell_SI_MAC_Manipulation.dll,,,,,Update Resident Value,0x30D8,4,6,Timestamp Manipulation,"[Suspicious] $SI timestamp of PowerShell_SI_MAC_Manipulation.dll"" is changed to the past. => CreationTime : 2023-12-31 00:38:02 -> 2022-12-24 11:24:41"""
10588513743,,Time Reversal Event,ModifiedTime : 2023-12-31 00:38:02 -> 2022-12-24 11:24:41,PowerShell_SI_MAC_Manipulation.dll,\Program Files\Windows Mail\PowerShell_SI_MAC_Manipulation.dll,,,,,Update Resident Value,0x30D8,4,6,Timestamp Manipulation,"[Suspicious] $SI timestamp of PowerShell_SI_MAC_Manipulation.dll"" is changed to the past. => ModifiedTime : 2023-12-31 00:38:02 -> 2022-12-24 11:24:41"""
