threshold,f1,recall,precision,accuracy,fnr,fpr,tp,tn,fp,fn,workload
0.05,0.1411764705882353,1.0,0.0759493670886076,0.978915796489669,0.0,0.021120804771654945,78,43983,949,0,12.166666666666666
0.1,0.27906976744186046,1.0,0.16216216216216217,0.9910464341257499,0.0,0.008969108875634292,78,44529,403,0,5.166666666666667
0.15000000000000002,0.46706586826347307,1.0,0.3046875,0.9960453232614974,0.0,0.0039615418855158905,78,44754,178,0,2.282051282051282
0.2,0.5234899328859061,1.0,0.35454545454545455,0.996845145523217,0.0,0.0031603311670969467,78,44790,142,0,1.8205128205128205
0.25,0.5900383141762452,0.9871794871794872,0.4207650273224044,0.9976227504998889,0.01282051282051282,0.0023591204486780024,77,44826,106,1,1.3766233766233766
0.30000000000000004,0.5896414342629482,0.9487179487179487,0.4277456647398844,0.9977116196400799,0.05128205128205128,0.0022033294756520967,74,44833,99,4,1.337837837837838
0.35000000000000003,0.5967741935483871,0.9487179487179487,0.43529411764705883,0.9977782714952232,0.05128205128205128,0.002136561915783851,74,44836,96,4,1.2972972972972974
0.4,0.5991902834008097,0.9487179487179487,0.4378698224852071,0.997800488780271,0.05128205128205128,0.002114306062494436,74,44837,95,4,1.2837837837837838
0.45,0.6058091286307054,0.9358974358974359,0.44785276073619634,0.9978893579204621,0.0641025641025641,0.0020030267960473606,73,44842,90,5,1.2328767123287672
0.5,0.7346938775510204,0.9230769230769231,0.6101694915254238,0.9988447011775161,0.07692307692307693,0.0010237692513130954,72,44886,46,6,0.6388888888888888
0.55,0.7225130890052356,0.8846153846153846,0.6106194690265486,0.9988224838924683,0.11538461538461539,0.0009792575447342652,69,44888,44,9,0.6376811594202898
0.6000000000000001,0.024691358024691357,0.01282051282051282,0.3333333333333333,0.9982448344812264,0.9871794871794872,4.451170657883023e-05,1,44930,2,77,2.0
0.65,0.024691358024691357,0.01282051282051282,0.3333333333333333,0.9982448344812264,0.9871794871794872,4.451170657883023e-05,1,44930,2,77,2.0
0.7000000000000001,0.0,0.0,0.0,0.9982226171961787,1.0,4.451170657883023e-05,0,44930,2,78,inf
0.75,0.0,0.0,0.0,0.9982448344812264,1.0,2.2255853289415115e-05,0,44931,1,78,inf
0.8,0.0,0.0,0.0,0.9982670517662742,1.0,0.0,0,44932,0,78,inf
0.8500000000000001,0.0,0.0,0.0,0.9982670517662742,1.0,0.0,0,44932,0,78,inf
0.9,0.0,0.0,0.0,0.9982670517662742,1.0,0.0,0,44932,0,78,inf
0.9500000000000001,0.0,0.0,0.0,0.9982670517662742,1.0,0.0,0,44932,0,78,inf
