LSN,EventTime(UTC+8),Event,Detail,File/Directory Name,Full Path,CreationTime,ModifiedTime,MFTModifiedTime,AccessedTime,Redo,Target VCN,Cluster Index
1544965817,,# Check Point,,,,,,,,Compensation Log Record,0x5C1649D8,0
1544965956,,Updating Modified Time,ModifiedTime : 2018-04-06 15:05:36 -> 2018-04-06 15:05:37,20988bb0bb16e7d1_0 <Guessed>,\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Service Worker\CacheStorage\9b5e89a21995205dc7585fe6313d90e1159c6f57\241ab640-e32e-412d-88d2-f4441da71220\20988bb0bb16e7d1_0,,,,,Update Resident Value,0x83EF,0
1544966265,,Updating Modified Time,ModifiedTime : 2018-04-06 15:05:37 -> 2018-04-06 15:05:38,20988bb0bb16e7d1_0 <Guessed>,\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Service Worker\CacheStorage\9b5e89a21995205dc7585fe6313d90e1159c6f57\241ab640-e32e-412d-88d2-f4441da71220\20988bb0bb16e7d1_0,,,,,Update Resident Value,0x83EF,0
1544966495,4/6/18 15:05,File Creation(File System Tunneling),,cloud_graph.db-journal,\Users\jcloudy\AppData\Local\Google\Drive\user_default\cloud_graph\cloud_graph.db-journal,4/6/18 15:05,4/6/18 15:05,4/6/18 15:05,4/6/18 15:05,Initialize File Record Segment,0x83C2,4
1544966718,4/6/18 15:05,Writing Content of Resident File,Writing Size : 512,cloud_graph.db-journal,\Users\jcloudy\AppData\Local\Google\Drive\user_default\cloud_graph\cloud_graph.db-journal,,,,,Update Resident Value,0x83C2,4
1544966762,4/6/18 15:05,Updating Modified Time,ModifiedTime : 2018-04-06 15:05:33 -> 2018-04-06 15:05:39,cloud_graph <Guessed>,\Users\jcloudy\AppData\Local\Google\Drive\user_default\cloud_graph,,,,,Update Resident Value,0x87F7,4
1544967507,4/6/18 15:05,Updating Modified Time,ModifiedTime : 2018-04-06 15:05:33 -> 2018-04-06 15:05:39,cloud_graph.db <Guessed>,\Users\jcloudy\AppData\Local\Google\Drive\user_default\cloud_graph\cloud_graph.db,,,,,Update Resident Value,0x87F7,6
1544967859,4/6/18 15:05,File Deletion,,cloud_graph.db-journal,\Users\jcloudy\AppData\Local\Google\Drive\user_default\cloud_graph\cloud_graph.db-journal,4/6/18 15:05,4/6/18 15:05,4/6/18 15:05,4/6/18 15:05,Deallocate File Record Segment,0x83C2,4
1544968158,,Updating Modified Time,ModifiedTime : 2018-04-06 15:05:38 -> 2018-04-06 15:05:39,20988bb0bb16e7d1_0 <Guessed>,\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Service Worker\CacheStorage\9b5e89a21995205dc7585fe6313d90e1159c6f57\241ab640-e32e-412d-88d2-f4441da71220\20988bb0bb16e7d1_0,,,,,Update Resident Value,0x83EF,0
1544968376,,Updating Modified Time,ModifiedTime : 2018-04-06 15:05:39 -> 2018-04-06 15:05:40,20988bb0bb16e7d1_0 <Guessed>,\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Service Worker\CacheStorage\9b5e89a21995205dc7585fe6313d90e1159c6f57\241ab640-e32e-412d-88d2-f4441da71220\20988bb0bb16e7d1_0,,,,,Update Resident Value,0x83EF,0
1544968468,,Writing Content of Non-Resident File,Data Runs(in Volume) : 3201112(16),,,,,,,Update Mapping Pairs,0x15C9,4
1544968574,,Updating Modified Time,ModifiedTime : 2018-04-06 15:05:30 -> 2018-04-06 15:05:40,SyncData.sqlite3-journal <Guessed>,\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Sync Data\SyncData.sqlite3-journal,,,,,Update Resident Value,0x15C9,4
1544968731,,Updating Modified Time,ModifiedTime : 2018-04-06 15:05:30 -> 2018-04-06 15:05:40,SyncData.sqlite3 <Guessed>,\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Sync Data\SyncData.sqlite3,,,,,Update Resident Value,0x15C5,0
