eventtime,filename,filepath,ml_confidence,hybrid_confidence,confidence_boost,ml_classification,hybrid_classification,rule_applied,cross_artifact_validation_score,has_logfile_evidence,zero_in_nanoseconds
2018-04-06 16:28:00,8efca832.png,\Users\jcloudy\AppData\Local\Microsoft\Windows\Notifications\wpnidm\8efca832.png,0.01,0.9,0.89,Benign,Timestomped,Rule 1: Cross-artifact validation (LogFile + UsnJrnl),3,True,True
2018-04-06 16:28:00,dd50b1bd.jpg,\Users\jcloudy\AppData\Local\Microsoft\Windows\Notifications\wpnidm\dd50b1bd.jpg,0.01,0.9,0.89,Benign,Timestomped,Rule 1: Cross-artifact validation (LogFile + UsnJrnl),3,True,True
2018-04-06 16:28:00,2613efa9.jpg,\Users\jcloudy\AppData\Local\Microsoft\Windows\Notifications\wpnidm\2613efa9.jpg,0.01,0.9,0.89,Benign,Timestomped,Rule 1: Cross-artifact validation (LogFile + UsnJrnl),3,True,True
2018-04-06 16:28:00,40505924.jpg,\Users\jcloudy\AppData\Local\Microsoft\Windows\Notifications\wpnidm\40505924.jpg,0.01,0.9,0.89,Benign,Timestomped,Rule 1: Cross-artifact validation (LogFile + UsnJrnl),3,True,True
2018-04-06 16:28:00,2b75f1b8.jpg,\Users\jcloudy\AppData\Local\Microsoft\Windows\Notifications\wpnidm\2b75f1b8.jpg,0.01,0.9,0.89,Benign,Timestomped,Rule 1: Cross-artifact validation (LogFile + UsnJrnl),3,True,True
2018-04-06 16:28:00,22389328.jpg,\Users\jcloudy\AppData\Local\Microsoft\Windows\Notifications\wpnidm\22389328.jpg,0.02,0.9,0.88,Benign,Timestomped,Rule 1: Cross-artifact validation (LogFile + UsnJrnl),3,True,True
2018-04-06 16:28:00,2b43806f.jpg,\Users\jcloudy\AppData\Local\Microsoft\Windows\Notifications\wpnidm\2b43806f.jpg,0.03,0.9,0.87,Benign,Timestomped,Rule 1: Cross-artifact validation (LogFile + UsnJrnl),3,True,True
2018-04-06 16:28:00,308a7988.jpg,\Users\jcloudy\AppData\Local\Microsoft\Windows\Notifications\wpnidm\308a7988.jpg,0.03,0.9,0.87,Benign,Timestomped,Rule 1: Cross-artifact validation (LogFile + UsnJrnl),3,True,True
2018-04-06 20:34:00,9dd3831d-0cc2-443f-9642-c6aeb0d186d3.tmp,\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\9dd3831d-0cc2-443f-9642-c6aeb0d186d3.tmp,0.0399,0.9,0.8601,Benign,Timestomped,Rule 1: Cross-artifact validation (LogFile + UsnJrnl),3,True,False
2018-04-06 20:34:00,607ef65e-61bb-4057-a72b-cdf110b5f30c.tmp,\Users\jcloudy\AppData\Local\Google\Chrome\User Data\607ef65e-61bb-4057-a72b-cdf110b5f30c.tmp,0.0399,0.9,0.8601,Benign,Timestomped,Rule 1: Cross-artifact validation (LogFile + UsnJrnl),3,True,False
2018-04-06 20:35:00,9f7412d5-5f84-4017-bee2-1e1a4de74cf4.tmp,\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\9f7412d5-5f84-4017-bee2-1e1a4de74cf4.tmp,0.04,0.9,0.86,Benign,Timestomped,Rule 1: Cross-artifact validation (LogFile + UsnJrnl),3,True,False
2018-04-06 15:38:00,0925241b-f1f1-412a-98a0-45fe5945b479.tmp,\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\0925241b-f1f1-412a-98a0-45fe5945b479.tmp,0.0499,0.9,0.8501,Benign,Timestomped,Rule 1: Cross-artifact validation (LogFile + UsnJrnl),3,True,False
2018-04-06 16:26:00,3a9cdbbc-e7ce-4266-8d83-a42e3b4b6b5d.tmp,\Users\jcloudy\AppData\Local\Google\Chrome\User Data\3a9cdbbc-e7ce-4266-8d83-a42e3b4b6b5d.tmp,0.0499,0.9,0.8501,Benign,Timestomped,Rule 1: Cross-artifact validation (LogFile + UsnJrnl),3,True,False
2018-04-06 16:26:00,01676e7b-ca03-4faf-8594-f41ad62bcb7e.tmp,\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\01676e7b-ca03-4faf-8594-f41ad62bcb7e.tmp,0.0499,0.9,0.8501,Benign,Timestomped,Rule 1: Cross-artifact validation (LogFile + UsnJrnl),3,True,False
2018-04-06 16:26:00,7f25e97e-5550-4be4-be1c-aced1b00c4d8.tmp,\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\7f25e97e-5550-4be4-be1c-aced1b00c4d8.tmp,0.0499,0.9,0.8501,Benign,Timestomped,Rule 1: Cross-artifact validation (LogFile + UsnJrnl),3,True,False
2018-04-06 16:26:00,e36eb634-065b-4f09-a54f-c861dafaf565.tmp,\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\e36eb634-065b-4f09-a54f-c861dafaf565.tmp,0.0499,0.9,0.8501,Benign,Timestomped,Rule 1: Cross-artifact validation (LogFile + UsnJrnl),3,True,False
2018-04-06 16:26:00,cb6e4abd-796c-4341-8136-ce80685805b7.tmp,\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\cb6e4abd-796c-4341-8136-ce80685805b7.tmp,0.0499,0.9,0.8501,Benign,Timestomped,Rule 1: Cross-artifact validation (LogFile + UsnJrnl),3,True,False
2018-04-06 16:26:00,b43239b0-ca89-497e-b584-9abe19cc8263.tmp,\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\b43239b0-ca89-497e-b584-9abe19cc8263.tmp,0.0499,0.9,0.8501,Benign,Timestomped,Rule 1: Cross-artifact validation (LogFile + UsnJrnl),3,True,False
2018-04-06 16:26:00,7e0e9015-f6df-407d-93c7-fad02aeb670f.tmp,\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\7e0e9015-f6df-407d-93c7-fad02aeb670f.tmp,0.0499,0.9,0.8501,Benign,Timestomped,Rule 1: Cross-artifact validation (LogFile + UsnJrnl),3,True,False
2018-04-06 16:26:00,50bbd708-f3af-47b0-8e2a-9db98312c681.tmp,\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\50bbd708-f3af-47b0-8e2a-9db98312c681.tmp,0.0499,0.9,0.8501,Benign,Timestomped,Rule 1: Cross-artifact validation (LogFile + UsnJrnl),3,True,False
2018-04-06 15:41:00,57a7b4f8-5e11-49cf-9a44-bfb047c38d50.tmp,\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\57a7b4f8-5e11-49cf-9a44-bfb047c38d50.tmp,0.0499,0.9,0.8501,Benign,Timestomped,Rule 1: Cross-artifact validation (LogFile + UsnJrnl),3,True,False
2018-04-06 15:41:00,daa7736d-a369-4ef9-ab6b-c6ec407f00ed.tmp,\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\daa7736d-a369-4ef9-ab6b-c6ec407f00ed.tmp,0.0499,0.9,0.8501,Benign,Timestomped,Rule 1: Cross-artifact validation (LogFile + UsnJrnl),3,True,False
2018-04-06 15:38:00,d5adc0b7-6a55-4db8-86bf-684b6501909b.tmp,\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\d5adc0b7-6a55-4db8-86bf-684b6501909b.tmp,0.0499,0.9,0.8501,Benign,Timestomped,Rule 1: Cross-artifact validation (LogFile + UsnJrnl),3,True,False
2018-04-06 15:36:00,88e75225-4a1c-46a6-b37a-f9f8c21c2375.tmp,\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\88e75225-4a1c-46a6-b37a-f9f8c21c2375.tmp,0.0499,0.9,0.8501,Benign,Timestomped,Rule 1: Cross-artifact validation (LogFile + UsnJrnl),3,True,False
2018-04-06 15:36:00,08471179-f6ea-4f83-8ada-2f741329e7d0.tmp,\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\08471179-f6ea-4f83-8ada-2f741329e7d0.tmp,0.0499,0.9,0.8501,Benign,Timestomped,Rule 1: Cross-artifact validation (LogFile + UsnJrnl),3,True,False
