LSN,EventTime(UTC+8),Event,Detail,File/Directory Name,Full Path,CreationTime,ModifiedTime,MFTModifiedTime,AccessedTime,Redo,Target VCN,Cluster Index
195362848,,,,WLLogin_JS[1].htm,\Documents and Settings\Jean\Local Settings\Temporary Internet Files\Content.IE5\20S83G5U\WLLogin_JS[1].htm,7/16/08 11:15,7/16/08 11:15,7/16/08 11:15,7/18/08 1:24,Update Mapping Pairs,0x19F3,6
195362896,,,,index.dat,\Documents and Settings\Jean\Local Settings\History\History.IE5\MSHist012008071720080718\index.dat,7/17/08 22:48,7/18/08 1:24,7/18/08 1:24,7/17/08 22:48,Update Mapping Pairs,0x1A11,6
195362944,,,,wlw2_signup_en[1].png,\Documents and Settings\Jean\Local Settings\Temporary Internet Files\Content.IE5\IVK9GB0V\wlw2_signup_en[1].png,7/16/08 11:15,7/16/08 11:15,7/16/08 11:15,7/18/08 1:24,Update Mapping Pairs,0x19F4,6
195362992,,,,WindowsLive[1].png,\Documents and Settings\Jean\Local Settings\Temporary Internet Files\Content.IE5\VU2XMM4X\WindowsLive[1].png,7/16/08 11:15,7/16/08 11:15,7/16/08 11:15,7/18/08 1:24,Update Mapping Pairs,0x19F5,2
195365590,,,,VU2XMM4X,\Documents and Settings\Jean\Local Settings\Temporary Internet Files\Content.IE5\VU2XMM4X,7/10/08 15:48,7/19/08 13:48,7/19/08 13:48,7/20/08 7:59,Update Mapping Pairs,0x10F5,6
195365689,,,,html,\Documents and Settings\Jean\Local Settings\Temp\AIM_6.8.10.1\html,7/18/08 12:26,7/18/08 12:26,7/18/08 12:26,7/18/08 12:30,Update Mapping Pairs,0x1AF0,4
195365738,,,,images,\Documents and Settings\Jean\Local Settings\Temp\AIM_6.8.10.1\html\images,7/18/08 12:26,7/18/08 12:26,7/18/08 12:26,7/18/08 12:26,Update Mapping Pairs,0x1AF7,6
195365786,,Writing Content of Non-Resident File,Data Runs(in Volume) : 1850060(16)/1723426(690),,,,,,,Update Mapping Pairs,0xB1E,0
195366146,,Writing Content of Non-Resident File,Data Runs(in Volume) : 1850060(128)/1723538(578),,,,,,,Update Mapping Pairs,0xB1E,0
195368242,,,,logon.scr,\WINDOWS\system32\logon.scr,8/4/04 12:56,4/14/08 8:12,6/7/08 13:05,7/18/08 11:55,Update Mapping Pairs,0x12CF,2
195368291,,Writing Content of Non-Resident File,Data Runs(in Volume) : 1850820(16)/12218(40),,,,,,,Update Mapping Pairs,0x1C9B,2
195368440,,,,migrator.exe,\Program Files\AIM6\migrator.exe,7/18/08 12:29,7/18/08 12:29,7/18/08 12:29,7/18/08 12:29,Update Mapping Pairs,0x1C9B,2
195368545,,,,mshta.exe,\WINDOWS\system32\mshta.exe,8/4/04 12:56,4/14/08 8:12,5/14/08 15:14,7/6/08 15:35,Update Mapping Pairs,0x12BB,6
195368742,,,,nusrmgr.cpl,\WINDOWS\system32\nusrmgr.cpl,8/4/04 12:56,4/14/08 8:12,7/6/08 15:36,7/6/08 15:35,Update Mapping Pairs,0x129A,6
195369053,,,,shellstyle.dll,\WINDOWS\Resources\Themes\Luna\Shell\NormalColor\shellstyle.dll,8/23/01 20:00,8/23/01 20:00,5/14/08 6:20,7/18/08 11:55,Update Mapping Pairs,0x5A,4
