Feature,Importance
cross_artifact_validation_score,0.86306924
path_depth,0.042629268
basic_info_changed,0.02736863
is_image,0.015249786
mft_time_modified,0.01285083
cross_artifact_detected,0.00797343
zero_in_nanoseconds_suspicious,0.0044260453
time_reversal_event,0.004258011
lf_modified_time_before,0.003343201
is_executable,0.003075264
event_count,0.0022871555
in_program_files,0.0021689513
zero_in_nanoseconds_lf,0.0018925668
in_system_directory,0.0018151342
creation_time_modified,0.001614271
lf_accessed_time_after,0.0013851026
filename_length,0.0012573187
multiple_timestamps_changed,0.0010077032
lf_creation_time_before,0.0009994932
lf_modified_time_after,0.00048236904
matches_system_pattern,0.00042863714
in_temp_directory,0.00022921228
events_in_1min_window,0.000118409276
timestamp_source,6.988815e-05
lf_accessed_time_before,0.0
lf_creation_time_after,0.0
accessed_time_changed_to_past,0.0
source_logfile_only,0.0
source_usnjrnl_only,0.0
creation_time_changed_to_past,0.0
modified_time_changed_to_past,0.0
is_system_file_type,0.0
is_document,0.0
has_timestamp_data,0.0
is_archive,0.0
events_in_5min_window,0.0
has_usnjrnl_evidence,0.0
has_logfile_evidence,0.0
zero_nano_time_reversal,0.0
same_as_another_file,0.0
timestamp_changed_to_past,0.0
accessed_time_modified,0.0
modified_time_modified,0.0
update_resident_value,0.0
si_timestamp_changed,0.0
using_another_timestamp,0.0
zero_in_nanoseconds,0.0
source_both,0.0
