Feature,LightGBM,XGBoost,RandomForest,Average
filename_length,708,0.0003505931,0.024492977554669962,236.0082811902164
path_depth,284,0.019050729,0.0432233630610413,94.6874246971969
is_executable,49,0.0005776362,0.0063487051618144694,16.33564211378044
in_program_files,44,2.1896333e-06,0.002493729118640501,14.667498639583973
in_temp_directory,41,0.00021359553,0.052069905753965716,13.684094500427724
in_system_directory,32,0.0011959933,0.013512478887563423,10.671569490720671
is_image,29,0.028871387,0.000967924818008001,9.676613104020426
timestamp_source,27,1.463891e-05,0.092216461091912,9.03074370000071
mft_time_modified,22,0.0023584715,0.04431935599448261,7.348892609167851
modified_time_modified,21,0.00015756456,0.06080700309690172,7.020321522551741
zero_in_nanoseconds_lf,21,0.001458737,0.0020451181475134627,7.001167951699659
creation_time_modified,18,0.0033838914,0.00516480987120117,6.002849567098455
same_as_another_file,16,2.3671684e-05,0.0015756952491918714,5.333866455644455
is_document,16,0.0,3.005654355958488e-05,5.333343352181186
basic_info_changed,10,0.029524291,0.02525742096736634,3.3515939039671903
time_reversal_event,9,0.0035420214,0.1148377280260741,3.0394599164695584
multiple_timestamps_changed,8,0.0029571769,0.10289033090854781,2.7019491692637736
cross_artifact_validation_score,4,0.90081203,0.14125451272902798,1.6806888475225301
accessed_time_modified,5,0.000639801,0.0019370417186921215,1.6675256142301773
has_logfile_evidence,2,0.0,0.19126525596966734,0.7304217519898891
has_timestamp_data,1,0.0,4.577131402186962e-05,0.3333485904380073
timestamp_changed_to_past,0,0.0,0.06821170303956978,0.02273723434652326
zero_in_nanoseconds_suspicious,0,0.0048654764,0.0027869414134895527,0.002550805936474791
zero_nano_time_reversal,0,0.0,0.001022416968289367,0.00034080565609645566
zero_in_nanoseconds,0,0.0,0.0010105930748002684,0.00033686435826675614
has_usnjrnl_evidence,0,0.0,0.0002118384435955008,7.06128145318336e-05
is_archive,0,0.0,8.61076392128918e-07,2.870254640429727e-07
update_resident_value,0,0.0,0.0,0.0
si_timestamp_changed,0,0.0,0.0,0.0
using_another_timestamp,0,0.0,0.0,0.0
