filename,full_path,lf_lsn,usn_usn,confidence_pct,usn_event_time,lf_event,lf_detail,usn_event_info,zero_in_nanoseconds,zero_in_nanoseconds_lf,time_reversal_event,basic_info_changed,cross_artifact_validation_score,cross_artifact_detected,has_logfile_evidence,has_usnjrnl_evidence,lf_creation_time,lf_modified_time,lf_accessed_time,lf_mft_modified_time,timestamp_changed_to_past,using_another_timestamp,modified_creationtime,modified_modifiedtime,modified_accessedtime,zero_nano_time_reversal,path_depth,filename_length,is_executable,is_document,is_archive,is_image
UDD9BA7.tmp,\Windows\Temp\UDD9BA7.tmp,1561268723.0,249670448.0,99.99999252596115,4/6/18 20:42,Time Reversal Event,ModifiedTime : 2018-04-06 20:42:32 -> 2018-04-06 20:42:31/ MFTModifiedTime : 2018-04-06 20:42:32 -> 2018-04-06 20:42:31,Basic_Info_Changed / Data_Added / Data_Overwritten / Data_Truncated / File_Closed,False,False,True,True,1.0,True,True,True,,,,,False,False,False,True,False,False,3,11,False,False,False,False
NVI2_29.DLL,\Windows\Temp\NVI2_29.DLL,1550591603.0,248829072.0,99.99983900529163,4/6/18 20:26,Time Reversal Event,ModifiedTime : 2018-04-06 20:26:30 -> 2017-03-14 22:10:32(Zero in 100-nanoseconds)/ MFTModifiedTime : 2018-04-06 20:26:30 -> 2018-03-27 17:20:07,Basic_Info_Changed / Data_Added / Data_Overwritten / File_Closed,True,True,True,True,1.0,True,True,True,,,,,False,False,False,True,False,True,3,11,False,False,False,False
Set9A39.tmp,\Users\jcloudy\AppData\Local\Temp\Set9A39.tmp,1547477314.0,247687344.0,99.99957463949023,4/6/18 15:34,Time Reversal Event,ModifiedTime : 2018-04-06 15:34:31 -> 2018-04-06 15:24:33,File_Created / Basic_Info_Changed / File_Closed,False,False,True,True,1.0,True,True,True,,,,,False,False,False,True,False,False,6,11,False,False,False,False
Set9A38.tmp,\Users\jcloudy\AppData\Local\Temp\Set9A38.tmp,1547476312.0,247686728.0,99.99957463949023,4/6/18 15:34,Time Reversal Event,ModifiedTime : 2018-04-06 15:34:31 -> 2018-04-06 15:24:33,File_Created / Basic_Info_Changed / File_Closed,False,False,True,True,1.0,True,True,True,,,,,False,False,False,True,False,False,6,11,False,False,False,False
Set9A28.tmp,\Users\jcloudy\AppData\Local\Temp\Set9A28.tmp,1547475274.0,247686112.0,99.99957463949023,4/6/18 15:34,Time Reversal Event,ModifiedTime : 2018-04-06 15:34:31 -> 2018-04-06 15:24:33,File_Created / Basic_Info_Changed / File_Closed,False,False,True,True,1.0,True,True,True,,,,,False,False,False,True,False,False,6,11,False,False,False,False
L1H0D5M9Q72C7SFGA2B2.temp,\Users\jcloudy\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\L1H0D5M9Q72C7SFGA2B2.temp,1549705832.0,248350152.0,99.99927970914575,4/6/18 20:26,Time Reversal Event,CreationTime : 2018-04-06 20:26:16 -> 2018-03-28 07:38:25,Basic_Info_Changed / File_Renamed_Old / Access_Right_Changed,False,False,True,True,1.0,True,True,True,,,,,False,False,True,False,False,False,9,25,False,False,False,False
DP2NTHE5F6PYXEVGLOEQ.temp,\Users\jcloudy\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\DP2NTHE5F6PYXEVGLOEQ.temp,1561477823.0,249707880.0,99.99927970914575,4/6/18 20:46,Time Reversal Event,CreationTime : 2018-04-06 20:46:39 -> 2018-03-27 17:27:12,Basic_Info_Changed / File_Renamed_Old / Access_Right_Changed,False,False,True,True,1.0,True,True,True,,,,,False,False,True,False,False,False,9,25,False,False,False,False
34409f2c-ddae-4d94-bb88-02df4d6dcfc0.tmp,\Users\jcloudy\AppData\Local\Google\Chrome\User Data\34409f2c-ddae-4d94-bb88-02df4d6dcfc0.tmp,1545916589.0,247351656.0,99.99697816954341,4/6/18 15:15,Time Reversal Event,CreationTime : 2018-04-06 15:15:13 -> 2018-03-27 17:33:01(same as Local State),Basic_Info_Changed / File_Renamed_Old / Access_Right_Changed,False,False,True,True,1.0,True,True,True,,,,,False,False,True,False,False,False,8,40,False,False,False,False
3a9cdbbc-e7ce-4266-8d83-a42e3b4b6b5d.tmp,\Users\jcloudy\AppData\Local\Google\Chrome\User Data\3a9cdbbc-e7ce-4266-8d83-a42e3b4b6b5d.tmp,1548847987.0,248045880.0,99.99697816954341,4/6/18 16:26,Time Reversal Event,CreationTime : 2018-04-06 16:26:14 -> 2018-03-27 17:33:01(same as Local State),Basic_Info_Changed / File_Renamed_Old / Access_Right_Changed,False,False,True,True,1.0,True,True,True,,,,,False,False,True,False,False,False,8,40,False,False,False,False
d258f32c-57dd-4f84-b46f-7f06f6a53a30.tmp,\Users\jcloudy\AppData\Local\Google\Chrome\User Data\d258f32c-57dd-4f84-b46f-7f06f6a53a30.tmp,1545476487.0,247257728.0,99.99697816954341,4/6/18 15:10,Time Reversal Event,CreationTime : 2018-04-06 15:10:20 -> 2018-03-27 17:33:01(same as Local State),Basic_Info_Changed / File_Renamed_Old / Access_Right_Changed,False,False,True,True,1.0,True,True,True,,,,,False,False,True,False,False,False,8,40,False,False,False,False
