filename,full_path,lf_lsn,usn_usn,confidence_pct,zero_in_nanoseconds,zero_in_nanoseconds_lf,time_reversal_event,basic_info_changed,cross_artifact_validation_score,cross_artifact_detected,has_logfile_evidence,has_usnjrnl_evidence
CustomMarshalers.ni.dll.aux,\Windows\assembly\NativeImages_v4.0.30319_64\CustomMarshalers\93ad8f5d3291606cb34286cf40a2c753\CustomMarshalers.ni.dll.aux,4412662747.0,769109592.0,99.9724963773294,False,False,True,True,1.0,True,True,True
PresentationCore.ni.dll.aux,\Windows\assembly\NativeImages_v4.0.30319_32\PresentationCore\80c85b638e9579e9a3e1e755dac8e0a9\PresentationCore.ni.dll.aux,4412724363.0,739903936.0,99.9724963773294,False,False,True,True,1.0,True,True,True
System.Configuration.ni.dll.aux,\Windows\assembly\NativeImages_v4.0.30319_32\System.Configuration\bf1f4d743828bbf720baf57f6a37ce02\System.Configuration.ni.dll.aux,4412717413.0,739897904.0,99.97195531973915,False,False,True,True,1.0,True,True,True
System.Windows.Forms.ni.dll.aux,\Windows\assembly\NativeImages_v4.0.30319_64\System.Windows.Forms\8162fd84baf0b737d3f6b4a159c8fcf0\System.Windows.Forms.ni.dll.aux,4412649827.0,739899072.0,99.97195531973915,False,False,True,True,1.0,True,True,True
System.DirectoryServices.ni.dll.aux,\Windows\assembly\NativeImages_v4.0.30319_32\System.Dired13b18a9#\767e999045a62f3cde3ae79cf78dd4c4\System.DirectoryServices.ni.dll.aux,4412717143.0,739900016.0,99.96212127928493,False,False,True,True,1.0,True,True,True
System.Runtime.Serialization.ni.dll.aux,\Windows\assembly\NativeImages_v4.0.30319_64\System.Runteb92aa12#\59b895279ce98e3656dc73dc2d6aa911\System.Runtime.Serialization.ni.dll.aux,4412647808.0,739897168.0,99.95723980008353,False,False,True,True,1.0,True,True,True
System.Configuration.Install.ni.dll.aux,\Windows\assembly\NativeImages_v4.0.30319_32\System.Confe64a9051#\48ee4ec9441351bbe4d9095c96b8ea01\System.Configuration.Install.ni.dll.aux,4412718009.0,739900528.0,99.95723980008353,False,False,True,True,1.0,True,True,True
PresentationFramework.ni.dll.aux,\Windows\assembly\NativeImages_v4.0.30319_32\Presentatio5ae0f00f#\66df511578c69d2c3cbf98dd67f769ab\PresentationFramework.ni.dll.aux,4412724696.0,739904176.0,99.94951751527765,False,False,True,True,1.0,True,True,True
System.IO.Compression.ni.dll.aux,\Windows\assembly\NativeImages_v4.0.30319_64\System.IO.Cb3b124c8#\beb73b7c76fa33885bc6bb44f415f207\System.IO.Compression.ni.dll.aux,4412652244.0,769099424.0,99.94951751527765,False,False,True,True,1.0,True,True,True
System.ServiceProcess.ni.dll.aux,\Windows\assembly\NativeImages_v4.0.30319_64\System.Serv759bfb78#\e2ca4e2ddffdc0d0bda3f2ca65249790\System.ServiceProcess.ni.dll.aux,4412662479.0,769109336.0,99.94951751527765,False,False,True,True,1.0,True,True,True
