filename,full_path,lf_lsn,usn_usn,confidence_pct,zero_in_nanoseconds,zero_in_nanoseconds_lf,time_reversal_event,basic_info_changed,cross_artifact_validation_score,cross_artifact_detected,has_logfile_evidence,has_usnjrnl_evidence
SetMACE_SI_MACE_Copy_Manipulation.dll,\Program Files\Windows Mail\SetMACE_SI_MACE_Copy_Manipulation.dll,10588363482.0,1754633104,99.98306826038628,False,False,True,True,1.0,True,True,True
WindowsUpdate.20231225.164824.113.81.etl,\Windows\Temp\_E010CF14-8D9A-43B4-B324-F502F5B86CDE\WindowsUpdate.20231225.164824.113.81.etl,10586757735.0,1742474672,99.96693670589111,False,False,True,True,1.0,True,True,True
WindowsUpdate.20231225.164824.113.72.etl,\Windows\Temp\_E010CF14-8D9A-43B4-B324-F502F5B86CDE\WindowsUpdate.20231225.164824.113.72.etl,10586750270.0,1742467648,99.96693670589111,False,False,True,True,1.0,True,True,True
WindowsUpdate.20231225.164824.113.89.etl,\Windows\Temp\_E010CF14-8D9A-43B4-B324-F502F5B86CDE\WindowsUpdate.20231225.164824.113.89.etl,10586765042.0,1742482368,99.96693670589111,False,False,True,True,1.0,True,True,True
WindowsUpdate.20231225.164824.113.88.etl,\Windows\Temp\_E010CF14-8D9A-43B4-B324-F502F5B86CDE\WindowsUpdate.20231225.164824.113.88.etl,10586764256.0,1742481384,99.96693670589111,False,False,True,True,1.0,True,True,True
WindowsUpdate.20231225.164824.113.86.etl,\Windows\Temp\_E010CF14-8D9A-43B4-B324-F502F5B86CDE\WindowsUpdate.20231225.164824.113.86.etl,10586762578.0,1742479944,99.96693670589111,False,False,True,True,1.0,True,True,True
WindowsUpdate.20231225.164824.113.85.etl,\Windows\Temp\_E010CF14-8D9A-43B4-B324-F502F5B86CDE\WindowsUpdate.20231225.164824.113.85.etl,10586761067.0,1742478984,99.96693670589111,False,False,True,True,1.0,True,True,True
WindowsUpdate.20231225.164824.113.84.etl,\Windows\Temp\_E010CF14-8D9A-43B4-B324-F502F5B86CDE\WindowsUpdate.20231225.164824.113.84.etl,10586760153.0,1742478088,99.96693670589111,False,False,True,True,1.0,True,True,True
WindowsUpdate.20231225.164824.113.83.etl,\Windows\Temp\_E010CF14-8D9A-43B4-B324-F502F5B86CDE\WindowsUpdate.20231225.164824.113.83.etl,10586759380.0,1742477208,99.96693670589111,False,False,True,True,1.0,True,True,True
WindowsUpdate.20231225.164824.113.82.etl,\Windows\Temp\_E010CF14-8D9A-43B4-B324-F502F5B86CDE\WindowsUpdate.20231225.164824.113.82.etl,10586758599.0,1742475408,99.96693670589111,False,False,True,True,1.0,True,True,True
WindowsUpdate.20231225.164824.113.87.etl,\Windows\Temp\_E010CF14-8D9A-43B4-B324-F502F5B86CDE\WindowsUpdate.20231225.164824.113.87.etl,10586763361.0,1742480664,99.96693670589111,False,False,True,True,1.0,True,True,True
WindowsUpdate.20231225.164824.113.80.etl,\Windows\Temp\_E010CF14-8D9A-43B4-B324-F502F5B86CDE\WindowsUpdate.20231225.164824.113.80.etl,10586756950.0,1742473952,99.96693670589111,False,False,True,True,1.0,True,True,True
WindowsUpdate.20231225.164824.113.78.etl,\Windows\Temp\_E010CF14-8D9A-43B4-B324-F502F5B86CDE\WindowsUpdate.20231225.164824.113.78.etl,10586755252.0,1742472408,99.96693670589111,False,False,True,True,1.0,True,True,True
WindowsUpdate.20231225.164824.113.77.etl,\Windows\Temp\_E010CF14-8D9A-43B4-B324-F502F5B86CDE\WindowsUpdate.20231225.164824.113.77.etl,10586754471.0,1742471600,99.96693670589111,False,False,True,True,1.0,True,True,True
WindowsUpdate.20231225.164824.113.76.etl,\Windows\Temp\_E010CF14-8D9A-43B4-B324-F502F5B86CDE\WindowsUpdate.20231225.164824.113.76.etl,10586753694.0,1742470880,99.96693670589111,False,False,True,True,1.0,True,True,True
WindowsUpdate.20231225.164824.113.75.etl,\Windows\Temp\_E010CF14-8D9A-43B4-B324-F502F5B86CDE\WindowsUpdate.20231225.164824.113.75.etl,10586752912.0,1742470160,99.96693670589111,False,False,True,True,1.0,True,True,True
WindowsUpdate.20231225.164824.113.74.etl,\Windows\Temp\_E010CF14-8D9A-43B4-B324-F502F5B86CDE\WindowsUpdate.20231225.164824.113.74.etl,10586752139.0,1742469440,99.96693670589111,False,False,True,True,1.0,True,True,True
WindowsUpdate.20231225.164824.113.79.etl,\Windows\Temp\_E010CF14-8D9A-43B4-B324-F502F5B86CDE\WindowsUpdate.20231225.164824.113.79.etl,10586756074.0,1742473232,99.96693670589111,False,False,True,True,1.0,True,True,True
WindowsUpdate.20231225.164824.113.73.etl,\Windows\Temp\_E010CF14-8D9A-43B4-B324-F502F5B86CDE\WindowsUpdate.20231225.164824.113.73.etl,10586751309.0,1742468720,99.96693670589111,False,False,True,True,1.0,True,True,True
WindowsUpdate.20231227.173344.426.1.etl,\Windows\Temp\_E010CF14-8D9A-43B4-B324-F502F5B86CDE\WindowsUpdate.20231227.173344.426.1.etl,10586804285.0,1730487440,99.96136957524674,False,False,True,True,1.0,True,True,True
WindowsUpdate.20231227.213344.760.1.etl,\Windows\Temp\_E010CF14-8D9A-43B4-B324-F502F5B86CDE\WindowsUpdate.20231227.213344.760.1.etl,10586808178.0,1733667872,99.96136957524674,False,False,True,True,1.0,True,True,True
WindowsUpdate.20231227.203344.753.1.etl,\Windows\Temp\_E010CF14-8D9A-43B4-B324-F502F5B86CDE\WindowsUpdate.20231227.203344.753.1.etl,10586806655.0,1732905728,99.96136957524674,False,False,True,True,1.0,True,True,True
WindowsUpdate.20231227.193344.723.1.etl,\Windows\Temp\_E010CF14-8D9A-43B4-B324-F502F5B86CDE\WindowsUpdate.20231227.193344.723.1.etl,10586805884.0,1732145464,99.96136957524674,False,False,True,True,1.0,True,True,True
WindowsUpdate.20231227.183344.727.1.etl,\Windows\Temp\_E010CF14-8D9A-43B4-B324-F502F5B86CDE\WindowsUpdate.20231227.183344.727.1.etl,10586805056.0,1731340048,99.96136957524674,False,False,True,True,1.0,True,True,True
WindowsUpdate.20231227.141751.921.1.etl,\Windows\Temp\_E010CF14-8D9A-43B4-B324-F502F5B86CDE\WindowsUpdate.20231227.141751.921.1.etl,10586800462.0,1728004912,99.96136957524674,False,False,True,True,1.0,True,True,True
WindowsUpdate.20231227.171216.576.1.etl,\Windows\Temp\_E010CF14-8D9A-43B4-B324-F502F5B86CDE\WindowsUpdate.20231227.171216.576.1.etl,10586803506.0,1730203232,99.96136957524674,False,False,True,True,1.0,True,True,True
WindowsUpdate.20231227.161216.280.1.etl,\Windows\Temp\_E010CF14-8D9A-43B4-B324-F502F5B86CDE\WindowsUpdate.20231227.161216.280.1.etl,10586802668.0,1729439936,99.96136957524674,False,False,True,True,1.0,True,True,True
WindowsUpdate.20231227.151751.922.1.etl,\Windows\Temp\_E010CF14-8D9A-43B4-B324-F502F5B86CDE\WindowsUpdate.20231227.151751.922.1.etl,10586801241.0,1728750384,99.96136957524674,False,False,True,True,1.0,True,True,True
WindowsUpdate.20231227.131751.671.1.etl,\Windows\Temp\_E010CF14-8D9A-43B4-B324-F502F5B86CDE\WindowsUpdate.20231227.131751.671.1.etl,10586799637.0,1727241168,99.96136957524674,False,False,True,True,1.0,True,True,True
WindowsUpdate.20231227.123941.413.1.etl,\Windows\Temp\_E010CF14-8D9A-43B4-B324-F502F5B86CDE\WindowsUpdate.20231227.123941.413.1.etl,10586798799.0,1726702424,99.96136957524674,False,False,True,True,1.0,True,True,True
WindowsUpdate.20231228.020554.227.1.etl,\Windows\Temp\_E010CF14-8D9A-43B4-B324-F502F5B86CDE\WindowsUpdate.20231228.020554.227.1.etl,10586809728.0,1736105544,99.96136957524674,False,False,True,True,1.0,True,True,True
WindowsUpdate.20231227.223344.729.1.etl,\Windows\Temp\_E010CF14-8D9A-43B4-B324-F502F5B86CDE\WindowsUpdate.20231227.223344.729.1.etl,10586808957.0,1734431888,99.96136957524674,False,False,True,True,1.0,True,True,True
WindowsUpdate.20231228.182814.085.1.etl,\Windows\Temp\_E010CF14-8D9A-43B4-B324-F502F5B86CDE\WindowsUpdate.20231228.182814.085.1.etl,10586821477.0,1749868688,99.96136957524674,False,False,True,True,1.0,True,True,True
WindowsUpdate.20231228.102219.679.1.etl,\Windows\Temp\_E010CF14-8D9A-43B4-B324-F502F5B86CDE\WindowsUpdate.20231228.102219.679.1.etl,10586810556.0,1742407928,99.96136957524674,False,False,True,True,1.0,True,True,True
WindowsUpdate.20231228.112814.052.1.etl,\Windows\Temp\_E010CF14-8D9A-43B4-B324-F502F5B86CDE\WindowsUpdate.20231228.112814.052.1.etl,10586811882.0,1744151696,99.96136957524674,False,False,True,True,1.0,True,True,True
WindowsUpdate.20231228.122814.011.1.etl,\Windows\Temp\_E010CF14-8D9A-43B4-B324-F502F5B86CDE\WindowsUpdate.20231228.122814.011.1.etl,10586812909.0,1744942224,99.96136957524674,False,False,True,True,1.0,True,True,True
WindowsUpdate.20231228.132814.206.1.etl,\Windows\Temp\_E010CF14-8D9A-43B4-B324-F502F5B86CDE\WindowsUpdate.20231228.132814.206.1.etl,10586813688.0,1745724208,99.96136957524674,False,False,True,True,1.0,True,True,True
WindowsUpdate.20231228.142814.057.1.etl,\Windows\Temp\_E010CF14-8D9A-43B4-B324-F502F5B86CDE\WindowsUpdate.20231228.142814.057.1.etl,10586815618.0,1746560928,99.96136957524674,False,False,True,True,1.0,True,True,True
WindowsUpdate.20231228.152814.063.1.etl,\Windows\Temp\_E010CF14-8D9A-43B4-B324-F502F5B86CDE\WindowsUpdate.20231228.152814.063.1.etl,10586816796.0,1747352896,99.96136957524674,False,False,True,True,1.0,True,True,True
WindowsUpdate.20231228.162814.074.1.etl,\Windows\Temp\_E010CF14-8D9A-43B4-B324-F502F5B86CDE\WindowsUpdate.20231228.162814.074.1.etl,10586818429.0,1748185736,99.96136957524674,False,False,True,True,1.0,True,True,True
