filename,full_path,lf_lsn,usn_usn,confidence_pct,zero_in_nanoseconds,zero_in_nanoseconds_lf,time_reversal_event,basic_info_changed,cross_artifact_validation_score,cross_artifact_detected,has_logfile_evidence,has_usnjrnl_evidence
ntvdm32.dll,\Windows\System32\ntvdm32.dll,6292131090.0,997974192.0,99.96182468237178,False,False,True,True,1.0,True,True,True
psutil._psutil_windows.cp38-win_amd64.pyd,\Program Files (x86)\Dropbox\Client_164.4.7914\164.4.7914\psutil._psutil_windows.cp38-win_amd64.pyd,6293741287.0,998157792.0,99.92054337164922,True,True,True,True,1.0,True,True,True
Desaturate.qml,\Program Files (x86)\Dropbox\Client_164.4.7914\164.4.7914\QtGraphicalEffects\Desaturate.qml,6294207338.0,998313808.0,99.88564654057419,True,True,True,True,1.0,True,True,True
RadialBlur.qml,\Program Files (x86)\Dropbox\Client_164.4.7914\164.4.7914\QtGraphicalEffects\RadialBlur.qml,6294218475.0,998318992.0,99.88564654057419,True,True,True,True,1.0,True,True,True
DropShadow.qml,\Program Files (x86)\Dropbox\Client_164.4.7914\164.4.7914\QtGraphicalEffects\DropShadow.qml,6294209693.0,998314928.0,99.88564654057419,True,True,True,True,1.0,True,True,True
MaskedBlur.qml,\Program Files (x86)\Dropbox\Client_164.4.7914\164.4.7914\QtGraphicalEffects\MaskedBlur.qml,6294216849.0,998318256.0,99.88564654057419,True,True,True,True,1.0,True,True,True
appraiser.sdb,\Windows\appcompat\appraiser\AltData\appraiser.sdb,6282135287.0,997271200.0,99.84399303673442,True,True,True,True,1.0,True,True,True
lsdb2.json.new,\ProgramData\Avast Software\Avast\lsdb2.json.new,6291798213.0,981492656.0,99.83961176815414,False,False,True,True,1.0,True,True,True
dbx-canary.sys,\Program Files (x86)\Dropbox\Client_164.4.7914\164.4.7914\driver_amd64\dbx-canary.sys,6294425961.0,998408808.0,99.83229398683707,True,True,True,True,1.0,True,True,True
dbx-stable.sys,\Program Files (x86)\Dropbox\Client_164.4.7914\164.4.7914\driver_amd64\dbx-stable.sys,6294427620.0,998409512.0,99.83229398683707,True,True,True,True,1.0,True,True,True
passwords.targetsize-64.png,\Program Files (x86)\Dropbox\Client_164.4.7914\164.4.7914\Assets\passwords.targetsize-64.png,6294187237.0,998304456.0,99.8267847218609,True,True,True,True,1.0,True,True,True
TinyTile.contrast-black.png,\Program Files (x86)\Dropbox\Client_164.4.7914\164.4.7914\Assets\TinyTile.contrast-black.png,6294015453.0,998205536.0,99.8267847218609,True,True,True,True,1.0,True,True,True
passwords.targetsize-16.png,\Program Files (x86)\Dropbox\Client_164.4.7914\164.4.7914\Assets\passwords.targetsize-16.png,6294183079.0,998302056.0,99.8267847218609,True,True,True,True,1.0,True,True,True
TinyTile.contrast-white.png,\Program Files (x86)\Dropbox\Client_164.4.7914\164.4.7914\Assets\TinyTile.contrast-white.png,6294020547.0,998208816.0,99.8267847218609,True,True,True,True,1.0,True,True,True
passwords.targetsize-48.png,\Program Files (x86)\Dropbox\Client_164.4.7914\164.4.7914\Assets\passwords.targetsize-48.png,6294186409.0,998303976.0,99.8267847218609,True,True,True,True,1.0,True,True,True
passwords.targetsize-32.png,\Program Files (x86)\Dropbox\Client_164.4.7914\164.4.7914\Assets\passwords.targetsize-32.png,6294185589.0,998303496.0,99.8267847218609,True,True,True,True,1.0,True,True,True
