lf_lsn,eventtime,lf_event,lf_detail,filename,filepath,lf_creation_time,lf_modified_time,lf_mft_modified_time,lf_accessed_time,lf_redo,lf_target_vcn,lf_cluster_index,case_id,eventtime_dt,merge_key,usn_usn,usn_event_info,usn_source_info,usn_file_attribute,usn_carving_flag,usn_file_reference_number,usn_parent_file_reference_number,source,time_diff_seconds,is_tunneling,is_timestomped,suspected_tool
10049909191.0,12/26/23 0:04:10,Time Reversal Event,CreationTime : 2023-12-26 00:04:10 -> 2022-12-16 17:14:37(same as Local State/ Local State~RF366ba.TMP),2bf78d23-dca6-45a7-a380-e1b17c1a5c30.tmp,\Users\blueangel\AppData\Local\Microsoft\Edge\User Data\2bf78d23-dca6-45a7-a380-e1b17c1a5c30.tmp,,,,,Update Resident Value,0x703,4.0,3,2023-12-26 00:04:10,\Users\blueangel\AppData\Local\Microsoft\Edge\User Data\2bf78d23-dca6-45a7-a380-e1b17c1a5c30.tmp|2bf78d23-dca6-45a7-a380-e1b17c1a5c30.tmp,1715520008.0,Basic_Info_Changed,Normal,Archive,,0x0004000000001C0E,0x000100000001A4E7,both,0.0,False,0,Unknown
10050214023.0,12/26/23 0:04:37,Time Reversal Event,CreationTime : 2023-12-26 00:04:37 -> 2022-12-16 17:32:19(same as Preferences~RF3bb04.TMP),11a8ccd2-750d-4e27-adcc-6ad1a2db8ad7.tmp,\Users\blueangel\AppData\Roaming\Evernote\Partitions\name\11a8ccd2-750d-4e27-adcc-6ad1a2db8ad7.tmp,,,,,Update Resident Value,0xC81,6.0,3,2023-12-26 00:04:37,\Users\blueangel\AppData\Roaming\Evernote\Partitions\name\11a8ccd2-750d-4e27-adcc-6ad1a2db8ad7.tmp|11a8ccd2-750d-4e27-adcc-6ad1a2db8ad7.tmp,1715636320.0,Basic_Info_Changed,Normal,Archive,,0x0009000000003207,0x000200000001B3FD,both,0.0,False,0,Unknown
10050218884.0,12/26/23 0:04:37,Time Reversal Event,CreationTime : 2023-12-26 00:04:37 -> 2022-12-16 17:32:19(same as Preferences/ Preferences~RF3bb04.TMP),d863aa00-e831-4ca7-a2d8-11351677c750.tmp,\Users\blueangel\AppData\Roaming\Evernote\d863aa00-e831-4ca7-a2d8-11351677c750.tmp,,,,,Update Resident Value,0xD27,2.0,3,2023-12-26 00:04:37,\Users\blueangel\AppData\Roaming\Evernote\d863aa00-e831-4ca7-a2d8-11351677c750.tmp|d863aa00-e831-4ca7-a2d8-11351677c750.tmp,1715638952.0,Basic_Info_Changed,Normal,Archive,,0x001200000000349D,0x000A00000001A13F,both,0.0,False,0,Unknown
10050227190.0,12/26/23 0:04:38,Time Reversal Event,ModifiedTime : 2023-12-26 00:04:38 -> 2023-12-26 00:01:57,last_run_current_log.txt,,,,,,Update Resident Value,0x7D4,0.0,3,2023-12-26 00:04:38,|last_run_current_log.txt,1715643088.0,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten,Normal,Archive,,0x0005000000001F50,0x0005000000001F2E,both,0.0,False,0,Unknown
10050264396.0,12/26/23 0:04:40,Time Reversal Event,CreationTime : 2023-12-26 00:04:40 -> 2022-12-16 17:32:52(same as Preferences~RF3cbae.TMP),7b22fb34-92d0-4dcb-b505-a39bcd074abd.tmp,\Users\blueangel\AppData\Roaming\Evernote\Partitions\user%3A23847576\7b22fb34-92d0-4dcb-b505-a39bcd074abd.tmp,,,,,Update Resident Value,0x1843,0.0,3,2023-12-26 00:04:40,\Users\blueangel\AppData\Roaming\Evernote\Partitions\user%3A23847576\7b22fb34-92d0-4dcb-b505-a39bcd074abd.tmp|7b22fb34-92d0-4dcb-b505-a39bcd074abd.tmp,1715659968.0,Basic_Info_Changed,Normal,Archive,,0x001100000000610C,0x000800000001B9D4,both,0.0,False,0,Unknown
10050321145.0,12/26/23 0:04:45,Time Reversal Event,CreationTime : 2023-12-26 00:04:45 -> 2022-12-17 00:44:51(same as Preferences~RF3c13e.TMP),61e71646-e307-470d-8f24-0606f7e848e7.tmp,\Users\blueangel\AppData\Roaming\Microsoft\Teams\61e71646-e307-470d-8f24-0606f7e848e7.tmp,,,,,Update Resident Value,0x1C0B,4.0,3,2023-12-26 00:04:45,\Users\blueangel\AppData\Roaming\Microsoft\Teams\61e71646-e307-470d-8f24-0606f7e848e7.tmp|61e71646-e307-470d-8f24-0606f7e848e7.tmp,1715682624.0,Basic_Info_Changed,Normal,Archive,,0x000B00000000702E,0x000100000001F775,both,0.0,False,0,Unknown
10050403813.0,12/26/23 0:04:50,Time Reversal Event,CreationTime : 2023-12-26 00:04:50 -> 2022-12-16 17:32:19(same as Preferences~RF3bb04.TMP),cad59324-fb0d-460f-9b3a-3d049e5bcb53.tmp,\Users\blueangel\AppData\Roaming\Evernote\cad59324-fb0d-460f-9b3a-3d049e5bcb53.tmp,,,,,Update Resident Value,0x1F25,2.0,3,2023-12-26 00:04:50,\Users\blueangel\AppData\Roaming\Evernote\cad59324-fb0d-460f-9b3a-3d049e5bcb53.tmp|cad59324-fb0d-460f-9b3a-3d049e5bcb53.tmp,1715717416.0,Basic_Info_Changed,Normal,Archive,,0x002B000000007C95,0x000A00000001A13F,both,0.0,False,0,Unknown
10050600389.0,12/26/23 0:05:09,Time Reversal Event,CreationTime : 2023-12-26 00:05:09 -> 2023-12-25 15:52:24(same as Preferences~RF45502.TMP),b37397cb-81c0-4b2d-9d68-929f3cd6cc7b.tmp,\Users\blueangel\AppData\Roaming\Dropbox\b37397cb-81c0-4b2d-9d68-929f3cd6cc7b.tmp,,,,,Update Resident Value,0x2F95,2.0,3,2023-12-26 00:05:09,\Users\blueangel\AppData\Roaming\Dropbox\b37397cb-81c0-4b2d-9d68-929f3cd6cc7b.tmp|b37397cb-81c0-4b2d-9d68-929f3cd6cc7b.tmp,1715796032.0,Basic_Info_Changed,Normal,Archive,,0x002600000000BE55,0x00010000000528D3,both,0.0,False,0,Unknown
10050626275.0,12/26/23 0:05:12,Time Reversal Event,ModifiedTime : 2023-12-26 00:05:12 -> 2010-10-11 14:08:00(Zero in 100-nanoseconds),Boot Sector FAT32.tpl,\Users\blueangel\AppData\Local\Temp\RarSFX1\Boot Sector FAT32.tpl,,,,,Update Resident Value,0x2F97,2.0,3,2023-12-26 00:05:12,\Users\blueangel\AppData\Local\Temp\RarSFX1\Boot Sector FAT32.tpl|Boot Sector FAT32.tpl,1715808248.0,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten,Normal,Archive,,0x001C00000000BE5D,0x000F0000000071DC,both,0.0,False,0,Unknown
10050627238.0,12/26/23 0:05:12,Time Reversal Event,ModifiedTime : 2023-12-26 00:05:12 -> 2010-10-11 14:08:00(Zero in 100-nanoseconds),Boot Sector FAT.tpl,\Users\blueangel\AppData\Local\Temp\RarSFX1\Boot Sector FAT.tpl,,,,,Update Resident Value,0x2FA9,4.0,3,2023-12-26 00:05:12,\Users\blueangel\AppData\Local\Temp\RarSFX1\Boot Sector FAT.tpl|Boot Sector FAT.tpl,1715808768.0,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten,Normal,Archive,,0x000B00000000BEA6,0x000F0000000071DC,both,0.0,False,0,Unknown
