case_id,logfile_raw,usnjrnl_raw,logfile_filtered,usnjrnl_filtered,matched_both,logfile_only,usnjrnl_only,total_merged,tunneling_detected,timestomped,tools_detected,file_size_mb
1,39077,316817,1235,21871,1053,182,20838,22073,242,2,1,9.192095756530762
2,14783,247386,97,15045,90,7,14957,15054,164,1,0,7.729347229003906
3,24063,245425,97,14977,90,7,14889,14986,164,2,1,7.708420753479004
4,12731,263451,79,4370,76,3,4294,4373,52,2,0,1.7003364562988281
5,14242,265287,151,4708,149,2,4562,4713,54,1,0,1.8101301193237305
6,14030,264518,153,4708,148,5,4567,4720,54,71,68,1.8116083145141602
7,23737,247908,197,15526,192,5,15341,15538,164,2,2,7.903223037719727
8,23379,248604,197,15517,192,5,15336,15533,164,32,2,7.900432586669922
9,25688,249559,296,15714,288,8,15437,15733,176,36,1,7.992560386657715
10,23932,249438,297,15729,285,12,15455,15752,166,31,0,8.015607833862305
11,14083,264432,150,4689,149,1,4549,4699,54,2,2,1.807596206665039
12,14139,265621,153,4756,152,1,4605,4758,52,70,70,1.838322639465332
