LSN,EventTime(UTC+8),Event,Detail,File/Directory Name,Full Path,CreationTime,ModifiedTime,MFTModifiedTime,AccessedTime,Redo,Target VCN,Cluster Index,is_timestomped,is_suspicious_execution,is_suspicious,label_source
10572580451,,# Check Point,,,,,,,,Compensation Log Record,0x762CBC13,2,0,0,0,
10572580552,12/28/23 21:48:29,File Creation,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/28/23 21:48:29,12/28/23 21:48:29,12/28/23 21:48:29,12/28/23 21:48:29,Initialize File Record Segment,0x2F97,0,0,0,0,
10572580779,,Writing Content of Resident File,Writing Size : 512,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,,,,,Update Resident Value,0x2F97,0,0,0,0,
10572581421,,Updating Modified Time,ModifiedTime : 2023-12-28 21:48:04 -> 2023-12-28 21:48:29,UDB-User23847576+RemoteGraph.sql <Guessed>,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql,,,,,Update Resident Value,0x6E75,2,0,0,0,
10572581799,,File Deletion,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/28/23 21:48:29,12/28/23 21:48:29,12/28/23 21:48:29,12/28/23 21:48:29,Deallocate File Record Segment,0x2F97,0,0,0,0,
10572581992,12/28/23 21:48:32,File Creation,,UDB-User23847576+LocalStorage.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+LocalStorage.sql-journal,12/28/23 21:48:32,12/28/23 21:48:32,12/28/23 21:48:32,12/28/23 21:48:32,Initialize File Record Segment,0x2F97,0,0,0,0,
10572582219,,Writing Content of Resident File,Writing Size : 512,UDB-User23847576+LocalStorage.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+LocalStorage.sql-journal,,,,,Update Resident Value,0x2F97,0,0,0,0,
10572582853,,Updating Modified Time,ModifiedTime : 2023-12-28 21:48:01 -> 2023-12-28 21:48:32,UDB-User23847576+LocalStorage.sql <Guessed>,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+LocalStorage.sql,,,,,Update Resident Value,0x6E74,6,0,0,0,
10572583239,,File Deletion,,UDB-User23847576+LocalStorage.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+LocalStorage.sql-journal,12/28/23 21:48:32,12/28/23 21:48:32,12/28/23 21:48:32,12/28/23 21:48:32,Deallocate File Record Segment,0x2F97,0,0,0,0,
10572583432,12/28/23 21:48:29,File Creation,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/28/23 21:48:29,12/28/23 21:48:32,12/28/23 21:48:32,12/28/23 21:48:32,Initialize File Record Segment,0x2F97,0,0,0,0,
10572583659,,Writing Content of Resident File,Writing Size : 512,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,,,,,Update Resident Value,0x2F97,0,0,0,0,
10572584279,,Updating Modified Time,ModifiedTime : 2023-12-28 21:48:29 -> 2023-12-28 21:48:32,UDB-User23847576+RemoteGraph.sql <Guessed>,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql,,,,,Update Resident Value,0x6E75,2,0,0,0,
10572584665,,File Deletion,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/28/23 21:48:29,12/28/23 21:48:32,12/28/23 21:48:32,12/28/23 21:48:32,Deallocate File Record Segment,0x2F97,0,0,0,0,
10572584786,,Updating Modified Time,ModifiedTime : 2023-12-28 21:48:13 -> 2023-12-28 21:48:31,current_log.txt <Guessed>,\Users\blueangel\AppData\Local\CiscoSpark\current_log.txt,,,,,Update Resident Value,0xC5,4,0,0,0,
10572594618,,# Check Point,,,,,,,,Compensation Log Record,0x762CF36A,2,0,0,0,
10572594727,12/28/23 21:48:29,File Creation,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/28/23 21:48:29,12/28/23 21:48:34,12/28/23 21:48:34,12/28/23 21:48:34,Initialize File Record Segment,0x2F97,0,0,0,0,
10572594954,,Writing Content of Resident File,Writing Size : 512,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,,,,,Update Resident Value,0x2F97,0,0,0,0,
10572595588,,Updating Modified Time,ModifiedTime : 2023-12-28 21:48:32 -> 2023-12-28 21:48:34,UDB-User23847576+RemoteGraph.sql <Guessed>,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql,,,,,Update Resident Value,0x6E75,2,0,0,0,
10572596023,,File Deletion,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/28/23 21:48:29,12/28/23 21:48:34,12/28/23 21:48:34,12/28/23 21:48:34,Deallocate File Record Segment,0x2F97,0,0,0,0,
10572596208,12/28/23 21:48:29,File Creation,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/28/23 21:48:29,12/28/23 21:48:34,12/28/23 21:48:34,12/28/23 21:48:34,Initialize File Record Segment,0x2F97,0,0,0,0,
10572596443,,Writing Content of Resident File,Writing Size : 512,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,,,,,Update Resident Value,0x2F97,0,0,0,0,
10572597466,,File Deletion,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/28/23 21:48:29,12/28/23 21:48:34,12/28/23 21:48:34,12/28/23 21:48:34,Deallocate File Record Segment,0x2F97,0,0,0,0,
10572597651,12/28/23 21:48:29,File Creation,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/28/23 21:48:29,12/28/23 21:48:34,12/28/23 21:48:34,12/28/23 21:48:34,Initialize File Record Segment,0x2F97,0,0,0,0,
