LSN,EventTime(UTC+8),Event,Detail,File/Directory Name,Full Path,CreationTime,ModifiedTime,MFTModifiedTime,AccessedTime,Redo,Target VCN,Cluster Index,is_timestomped,timestomp_tool_executed,suspicious_tool_name,label_source
10572439818,,# Check Point,,,,,,,,Compensation Log Record,0x762A96BA,2,0,0,,
10572439919,12/28/23 21:46:59,File Creation,,UDB-User23847576+LocalStorage.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+LocalStorage.sql-journal,12/28/23 21:46:59,12/28/23 21:46:59,12/28/23 21:46:59,12/28/23 21:46:59,Initialize File Record Segment,0x2F97,0,0,0,,
10572440154,12/28/23 21:46:59,Writing Content of Resident File,Writing Size : 512,UDB-User23847576+LocalStorage.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+LocalStorage.sql-journal,,,,,Update Resident Value,0x2F97,0,0,0,,
10572440788,12/28/23 21:46:59,Updating Modified Time,ModifiedTime : 2023-12-28 21:46:28 -> 2023-12-28 21:46:59,UDB-User23847576+LocalStorage.sql <Guessed>,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+LocalStorage.sql,,,,,Update Resident Value,0x6E74,6,0,0,,
10572441177,12/28/23 21:46:59,File Deletion,,UDB-User23847576+LocalStorage.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+LocalStorage.sql-journal,12/28/23 21:46:59,12/28/23 21:46:59,12/28/23 21:46:59,12/28/23 21:46:59,Deallocate File Record Segment,0x2F97,0,0,0,,
10572441362,12/28/23 21:46:59,File Creation,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/28/23 21:46:59,12/28/23 21:46:59,12/28/23 21:46:59,12/28/23 21:46:59,Initialize File Record Segment,0x2F97,0,0,0,,
10572441589,12/28/23 21:46:59,Writing Content of Resident File,Writing Size : 512,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,,,,,Update Resident Value,0x2F97,0,0,0,,
10572442231,12/28/23 21:46:59,Updating Modified Time,ModifiedTime : 2023-12-28 21:46:34 -> 2023-12-28 21:46:59,UDB-User23847576+RemoteGraph.sql <Guessed>,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql,,,,,Update Resident Value,0x6E75,2,0,0,,
10572442609,12/28/23 21:46:59,File Deletion,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/28/23 21:46:59,12/28/23 21:46:59,12/28/23 21:46:59,12/28/23 21:46:59,Deallocate File Record Segment,0x2F97,0,0,0,,
10572442803,12/28/23 21:46:59,File Creation,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/28/23 21:46:59,12/28/23 21:46:59,12/28/23 21:46:59,12/28/23 21:46:59,Initialize File Record Segment,0x2F97,0,0,0,,
10572443030,12/28/23 21:46:59,Writing Content of Resident File,Writing Size : 512,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,,,,,Update Resident Value,0x2F97,0,0,0,,
10572444050,12/28/23 21:46:59,File Deletion,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/28/23 21:46:59,12/28/23 21:46:59,12/28/23 21:46:59,12/28/23 21:46:59,Deallocate File Record Segment,0x2F97,0,0,0,,
10572444243,12/28/23 21:46:59,File Creation,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/28/23 21:46:59,12/28/23 21:47:04,12/28/23 21:47:04,12/28/23 21:47:04,Initialize File Record Segment,0x2F97,0,0,0,,
10572444470,12/28/23 21:46:59,Writing Content of Resident File,Writing Size : 512,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,,,,,Update Resident Value,0x2F97,0,0,0,,
10572445104,12/28/23 21:46:59,Updating Modified Time,ModifiedTime : 2023-12-28 21:46:59 -> 2023-12-28 21:47:04,UDB-User23847576+RemoteGraph.sql <Guessed>,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql,,,,,Update Resident Value,0x6E75,2,0,0,,
10572445493,12/28/23 21:46:59,File Deletion,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/28/23 21:46:59,12/28/23 21:47:04,12/28/23 21:47:04,12/28/23 21:47:04,Deallocate File Record Segment,0x2F97,0,0,0,,
10572445735,12/28/23 21:46:59,File Creation,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/28/23 21:46:59,12/28/23 21:47:04,12/28/23 21:47:04,12/28/23 21:47:04,Initialize File Record Segment,0x2F97,0,0,0,,
10572445962,12/28/23 21:46:59,Writing Content of Resident File,Writing Size : 512,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,,,,,Update Resident Value,0x2F97,0,0,0,,
10572446982,12/28/23 21:46:59,File Deletion,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/28/23 21:46:59,12/28/23 21:47:04,12/28/23 21:47:04,12/28/23 21:47:04,Deallocate File Record Segment,0x2F97,0,0,0,,
10572447167,12/28/23 21:46:59,File Creation,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/28/23 21:46:59,12/28/23 21:47:04,12/28/23 21:47:04,12/28/23 21:47:04,Initialize File Record Segment,0x2F97,0,0,0,,
10572447402,12/28/23 21:46:59,Writing Content of Resident File,Writing Size : 512,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,,,,,Update Resident Value,0x2F97,0,0,0,,
10572448422,12/28/23 21:46:59,File Deletion,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/28/23 21:46:59,12/28/23 21:47:04,12/28/23 21:47:04,12/28/23 21:47:04,Deallocate File Record Segment,0x2F97,0,0,0,,
10572458292,12/28/23 21:46:59,# Check Point,,,,,,,,Compensation Log Record,0x762ADEE4,2,0,0,,
10572458357,12/28/23 21:46:59,Updating Modified Time,ModifiedTime : 2023-12-28 21:46:55 -> 2023-12-28 21:47:07,current_log.txt <Guessed>,\Users\blueangel\AppData\Local\CiscoSpark\current_log.txt,,,,,Update Resident Value,0xC5,4,0,0,,
10572458476,12/28/23 21:46:59,File Creation,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/28/23 21:46:59,12/28/23 21:47:12,12/28/23 21:47:12,12/28/23 21:47:12,Initialize File Record Segment,0x2F97,0,0,0,,
10572458711,12/28/23 21:46:59,Writing Content of Resident File,Writing Size : 512,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,,,,,Update Resident Value,0x2F97,0,0,0,,
10572459345,12/28/23 21:46:59,Updating Modified Time,ModifiedTime : 2023-12-28 21:47:04 -> 2023-12-28 21:47:12,UDB-User23847576+RemoteGraph.sql <Guessed>,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql,,,,,Update Resident Value,0x6E75,2,0,0,,
10572459731,12/28/23 21:46:59,File Deletion,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/28/23 21:46:59,12/28/23 21:47:12,12/28/23 21:47:12,12/28/23 21:47:12,Deallocate File Record Segment,0x2F97,0,0,0,,
10572459916,12/28/23 21:46:59,File Creation,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/28/23 21:46:59,12/28/23 21:47:12,12/28/23 21:47:12,12/28/23 21:47:12,Initialize File Record Segment,0x2F97,0,0,0,,
10572460151,,Writing Content of Resident File,Writing Size : 512,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,,,,,Update Resident Value,0x2F97,0,0,0,,
10572461171,,File Deletion,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/28/23 21:46:59,12/28/23 21:47:12,12/28/23 21:47:12,12/28/23 21:47:12,Deallocate File Record Segment,0x2F97,0,0,0,,
10572471041,,# Check Point,,,,,,,,Compensation Log Record,0x762B10B1,2,0,0,,
10572480827,,# Check Point,,,,,,,,Compensation Log Record,0x762B36EB,2,0,0,,
10572480892,,Updating Modified Time,ModifiedTime : 2023-12-28 21:47:07 -> 2023-12-28 21:47:25,current_log.txt <Guessed>,\Users\blueangel\AppData\Local\CiscoSpark\current_log.txt,,,,,Update Resident Value,0xC5,4,0,0,,
10572490724,,# Check Point,,,,,,,,Compensation Log Record,0x762B5D94,2,0,0,,
10572490833,12/28/23 21:47:29,File Creation,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/28/23 21:47:29,12/28/23 21:47:29,12/28/23 21:47:29,12/28/23 21:47:29,Initialize File Record Segment,0x2F97,0,0,0,,
10572491060,12/28/23 21:47:29,Writing Content of Resident File,Writing Size : 512,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,,,,,Update Resident Value,0x2F97,0,0,0,,
10572491694,12/28/23 21:47:29,Updating Modified Time,ModifiedTime : 2023-12-28 21:47:12 -> 2023-12-28 21:47:29,UDB-User23847576+RemoteGraph.sql <Guessed>,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql,,,,,Update Resident Value,0x6E75,2,0,0,,
