lsn,eventtime(utc+8),event,detail,file/directory name,full path,creationtime,modifiedtime,mftmodifiedtime,accessedtime,redo,target vcn,cluster index,is_timestomped,is_suspicious_execution
10573126034,,# Check Point,,,,,,,,Compensation Log Record,0x76350F42,2,0,0
10573126160,,Updating Modified Time,ModifiedTime : 2023-12-28 21:53:37 -> 2023-12-28 21:53:49,current_log.txt <Guessed>,\Users\blueangel\AppData\Local\CiscoSpark\current_log.txt,,,,,Update Resident Value,0xC5,4,0,0
10573135964,,# Check Point,,,,,,,,Compensation Log Record,0x7635360C,2,0,0
10573136065,12/28/23 21:53:59,File Creation,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/28/23 21:53:59,12/28/23 21:53:59,12/28/23 21:53:59,12/28/23 21:53:59,Initialize File Record Segment,0x3234,2,0,0
10573136292,12/28/23 21:53:59,Writing Content of Resident File,Writing Size : 512,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,,,,,Update Resident Value,0x3234,2,0,0
10573136934,12/28/23 21:53:59,Updating Modified Time,ModifiedTime : 2023-12-28 21:53:38 -> 2023-12-28 21:53:59,UDB-User23847576+RemoteGraph.sql <Guessed>,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql,,,,,Update Resident Value,0x6E75,2,0,0
10573137312,12/28/23 21:53:59,File Deletion,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/28/23 21:53:59,12/28/23 21:53:59,12/28/23 21:53:59,12/28/23 21:53:59,Deallocate File Record Segment,0x3234,2,0,0
10573137502,12/28/23 21:53:59,Updating Modified Time,ModifiedTime : 2023-12-28 21:53:00 -> 2023-12-28 21:54:01,scope_v2.json <Guessed>,\Users\blueangel\AppData\Roaming\Evernote\sentry\scope_v2.json,,,,,Update Resident Value,0x6C31,2,0,0
10573137761,12/28/23 21:53:59,Writing Content of Non-Resident File,Data Runs(in Volume) : 265373(14),,,,,,,Update Mapping Pairs,0x6C31,2,0,0
10573138264,12/28/23 21:53:59,Writing Content of Non-Resident File,Data Runs(in Volume) : 282828(14),,,,,,,Update Mapping Pairs,0x6C31,2,0,0
10573148230,12/28/23 21:53:59,# Check Point,,,,,,,,Compensation Log Record,0x763565EE,2,0,0
10573148331,12/28/23 21:53:59,File Creation,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/28/23 21:53:59,12/28/23 21:54:04,12/28/23 21:54:04,12/28/23 21:54:04,Initialize File Record Segment,0x3234,2,0,0
10573148607,12/28/23 21:53:59,Writing Content of Resident File,Writing Size : 512,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,,,,,Update Resident Value,0x3234,2,0,0
10573149253,12/28/23 21:53:59,Updating Modified Time,ModifiedTime : 2023-12-28 21:53:59 -> 2023-12-28 21:54:04,UDB-User23847576+RemoteGraph.sql <Guessed>,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql,,,,,Update Resident Value,0x6E75,2,0,0
10573149631,12/28/23 21:53:59,File Deletion,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/28/23 21:53:59,12/28/23 21:54:04,12/28/23 21:54:04,12/28/23 21:54:04,Deallocate File Record Segment,0x3234,2,0,0
10573149824,12/28/23 21:53:59,File Creation,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/28/23 21:53:59,12/28/23 21:54:04,12/28/23 21:54:04,12/28/23 21:54:04,Initialize File Record Segment,0x3234,2,0,0
10573150051,12/28/23 21:53:59,Writing Content of Resident File,Writing Size : 512,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,,,,,Update Resident Value,0x3234,2,0,0
10573151071,12/28/23 21:53:59,File Deletion,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/28/23 21:53:59,12/28/23 21:54:04,12/28/23 21:54:04,12/28/23 21:54:04,Deallocate File Record Segment,0x3234,2,0,0
10573151265,12/28/23 21:53:59,File Creation,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/28/23 21:53:59,12/28/23 21:54:04,12/28/23 21:54:04,12/28/23 21:54:04,Initialize File Record Segment,0x3234,2,0,0
10573151492,,Writing Content of Resident File,Writing Size : 512,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,,,,,Update Resident Value,0x3234,2,0,0
10573152515,,File Deletion,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/28/23 21:53:59,12/28/23 21:54:04,12/28/23 21:54:04,12/28/23 21:54:04,Deallocate File Record Segment,0x3234,2,0,0
10573152636,,Updating Modified Time,ModifiedTime : 2023-12-28 21:53:49 -> 2023-12-28 21:54:01,current_log.txt <Guessed>,\Users\blueangel\AppData\Local\CiscoSpark\current_log.txt,,,,,Update Resident Value,0xC5,4,0,0
10573152719,,Updating Modified Time,ModifiedTime : 2023-12-28 21:54:01 -> 2023-12-28 21:54:07,current_log.txt <Guessed>,\Users\blueangel\AppData\Local\CiscoSpark\current_log.txt,,,,,Update Resident Value,0xC5,4,0,0
10573152846,12/28/23 21:54:09,File Creation,,UDB-User23847576+LocalStorage.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+LocalStorage.sql-journal,12/28/23 21:54:09,12/28/23 21:54:09,12/28/23 21:54:09,12/28/23 21:54:09,Initialize File Record Segment,0x3234,2,0,0
10573153073,,Writing Content of Resident File,Writing Size : 512,UDB-User23847576+LocalStorage.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+LocalStorage.sql-journal,,,,,Update Resident Value,0x3234,2,0,0
10573153707,,Updating Modified Time,ModifiedTime : 2023-12-28 21:53:38 -> 2023-12-28 21:54:09,UDB-User23847576+LocalStorage.sql <Guessed>,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+LocalStorage.sql,,,,,Update Resident Value,0x6E74,6,0,0
10573154093,,File Deletion,,UDB-User23847576+LocalStorage.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+LocalStorage.sql-journal,12/28/23 21:54:09,12/28/23 21:54:09,12/28/23 21:54:09,12/28/23 21:54:09,Deallocate File Record Segment,0x3234,2,0,0
10573154278,12/28/23 21:53:59,File Creation,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/28/23 21:53:59,12/28/23 21:54:09,12/28/23 21:54:09,12/28/23 21:54:09,Initialize File Record Segment,0x3234,2,0,0
10573154513,,Writing Content of Resident File,Writing Size : 512,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,,,,,Update Resident Value,0x3234,2,0,0
10573155148,,Updating Modified Time,ModifiedTime : 2023-12-28 21:54:04 -> 2023-12-28 21:54:09,UDB-User23847576+RemoteGraph.sql <Guessed>,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql,,,,,Update Resident Value,0x6E75,2,0,0
10573155534,,File Deletion,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/28/23 21:53:59,12/28/23 21:54:09,12/28/23 21:54:09,12/28/23 21:54:09,Deallocate File Record Segment,0x3234,2,0,0
10573165404,,# Check Point,,,,,,,,Compensation Log Record,0x7635A90C,2,0,0
10573175190,,# Check Point,,,,,,,,Compensation Log Record,0x7635CF46,2,0,0
10573175283,,Updating Modified Time,ModifiedTime : 2023-12-28 21:54:07 -> 2023-12-28 21:54:19,current_log.txt <Guessed>,\Users\blueangel\AppData\Local\CiscoSpark\current_log.txt,,,,,Update Resident Value,0xC5,4,0,0
10573185095,,# Check Point,,,,,,,,Compensation Log Record,0x7635F5EF,2,0,0
10573185196,12/28/23 21:54:30,File Creation,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/28/23 21:54:30,12/28/23 21:54:30,12/28/23 21:54:30,12/28/23 21:54:30,Initialize File Record Segment,0x3234,2,0,0
