TimeStamp(UTC+8),USN,File/Directory Name,FullPath,EventInfo,SourceInfo,FileAttribute,Carving Flag,FileReferenceNumber,ParentFileReferenceNumber,case_id,label_category,label_detail
12/23/23 00:21:57,1327928416,NEWFILETIME_X64.EXE-6C60D39A.pf,\Windows\Prefetch\NEWFILETIME_X64.EXE-6C60D39A.pf,File_Created / Data_Added / File_Closed,Normal,Archive / Not_Content_Indexed,,0x0012000000020065,0x0002000000019619,1,Execution of Suspicious Programs,NewFileTime (Timestamp Manipulation) has been executed.
12/23/23 00:22:44,1328063200,NewFileTime_SI_C_Manipulation.dll,\Program Files\Windows Mail\NewFileTime_SI_C_Manipulation.dll,Basic_Info_Changed / File_Closed,Normal,Archive,,0x022400000001E27E,0x000100000000009C,1,Timestamp Manipulation,"[Suspicious] The timestamp of NewFileTime_SI_C_Manipulation.dll"" may have been manipulated. (Zero in CreationTime's 100-nanoseconds) => ((CreationTime : 2022-12-23 00:21:50(Zero in 100-nanoseconds)) != (Creation Event Time : 2023-12-23 00:21:36))"""
12/26/23 15:24:22,1717339472,NEWFILETIME_X64.EXE-6C60D39A.pf,\Windows\Prefetch\NEWFILETIME_X64.EXE-6C60D39A.pf,File_Created / Data_Added / File_Closed,Normal,Archive / Not_Content_Indexed,,0x000900000000C03C,0x0002000000019619,2,Execution of Suspicious Programs,NewFileTime (Timestamp Manipulation) has been executed.
12/26/23 0:36:52,1717182464,NEWFILETIME_X64.EXE-6C60D39A.pf,\Windows\Prefetch\NEWFILETIME_X64.EXE-6C60D39A.pf,File_Created / Data_Added / File_Closed,Normal,Archive / Not_Content_Indexed,,0x000600000000C025,0x0002000000019619,3,Execution of Suspicious Programs,NewFileTime (Timestamp Manipulation) has been executed.
12/26/23 0:37:48,1717195024,NewFileTime_SI_MAC_Manipulation.dll,\Program Files\Windows Mail\NewFileTime_SI_MAC_Manipulation.dll,Basic_Info_Changed / File_Closed,Normal,Archive,,0x000E00000000C01C,0x000100000000009C,3,Timestamp Manipulation,"[Suspicious] The timestamp of NewFileTime_SI_MAC_Manipulation.dll"" may have been manipulated. (Zero in CreationTime's 100-nanoseconds) => ((CreationTime : 2022-12-26 00:36:44(Zero in 100-nanoseconds)) != (Creation Event Time : 2023-12-26 00:36:29))"""
12/31/23 0:05:48,1754528600,PowerShell_SI_C_Manipulation.dll,\Program Files\Windows Mail\PowerShell_SI_C_Manipulation.dll,Basic_Info_Changed / File_Closed,Normal,Archive,,0x000300000000C36A,0x000100000000009C,4,Timestamp Manipulation,"[Suspicious] The timestamp of PowerShell_SI_C_Manipulation.dll"" may have been manipulated. => ((CreationTime : 2022-12-24 11:24:41) != (Creation Event Time : 2023-12-31 00:00:32))"""
12/31/23 0:36:32,1754186016,WindowsUpdate.20231225.164824.113.72.etl,\Windows\Temp\_0BF2011F-7342-4A5A-A8E9-ACD34468FCA3\WindowsUpdate.20231225.164824.113.72.etl,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten / File_Closed,Normal,Archive,,0x000200000000C9F3,0x000400000000C9F2,6,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.72.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:17))"""
12/31/23 0:36:32,1754186736,WindowsUpdate.20231225.164824.113.73.etl,\Windows\Temp\_0BF2011F-7342-4A5A-A8E9-ACD34468FCA3\WindowsUpdate.20231225.164824.113.73.etl,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten / File_Closed,Normal,Archive,,0x000200000000C9F5,0x000400000000C9F2,6,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.73.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:17))"""
12/31/23 0:36:32,1754187456,WindowsUpdate.20231225.164824.113.74.etl,\Windows\Temp\_0BF2011F-7342-4A5A-A8E9-ACD34468FCA3\WindowsUpdate.20231225.164824.113.74.etl,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten / File_Closed,Normal,Archive,,0x000200000000C9F6,0x000400000000C9F2,6,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.74.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:17))"""
12/31/23 0:36:32,1754188176,WindowsUpdate.20231225.164824.113.75.etl,\Windows\Temp\_0BF2011F-7342-4A5A-A8E9-ACD34468FCA3\WindowsUpdate.20231225.164824.113.75.etl,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten / File_Closed,Normal,Archive,,0x000300000000C9F7,0x000400000000C9F2,6,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.75.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:17))"""
