case_id,logfile_raw,usnjrnl_raw,logfile_filtered,usnjrnl_filtered,matched_both,logfile_only,usnjrnl_only,total_merged,tunneling_detected,timestomped,file_size_mb,columns
1,39077,316817,1235,24002,1053,182,22969,24204,445,2,9.833852767944336,27
2,14783,247386,97,16959,90,7,16871,16968,240,1,8.34874439239502,27
3,24063,245425,97,16880,90,7,16792,16889,240,2,8.32359504699707,27
4,12731,263451,79,4949,76,3,4873,4952,128,2,1.9050960540771484,27
5,14242,265287,151,5306,149,2,5160,5311,130,1,2.0201501846313477,27
6,14030,264518,153,5295,148,5,5154,5307,130,71,2.016855239868164,27
7,23737,247908,197,17447,192,5,17262,17459,240,2,8.521203994750977,27
8,23379,248604,197,17453,192,5,17272,17469,240,32,8.524882316589355,27
9,25688,249559,296,17647,288,8,17370,17666,252,36,8.614458084106445,27
10,23932,249438,297,17655,285,12,17381,17678,242,31,8.635651588439941,27
11,14083,264432,150,5279,149,1,5139,5289,130,2,2.0148515701293945,27
12,14139,265621,153,5356,152,1,5205,5358,128,70,2.0488481521606445,27
