feature,importance
filename_length,809
events_in_1min_window,494
event_count_per_file,448
is_executable,252
events_in_5min_window,215
timestamp_change_seconds,145
time_reversal_event,139
is_system_file,135
basic_info_changed,95
cross_artifact_validation_score,77
zero_in_creation,33
zero_in_nanoseconds,28
has_logfile_evidence,21
is_image,21
zero_in_accessed,20
update_resident_value,13
zero_in_modified,9
zero_in_mft_modified,2
is_document,1
is_archive,1
has_usnjrnl_evidence,0
using_another_timestamp,0
timestamp_to_past,0
path_depth,0
