feature,importance,std,category
missing_eventtime_flag,0.0,0.0,Other
usn_attr_Directory,0.0,0.0,Cross-Artifact
usn_attr_Compressed / Directory / Not_Content_Indexed,0.0,0.0,Cross-Artifact
usn_attr_Compressed / Directory,0.0,0.0,Cross-Artifact
usn_attr_Archive / Temporary,0.0,0.0,Cross-Artifact
usn_attr_Archive / System,0.0,0.0,Cross-Artifact
usn_attr_Archive / Sparse,0.0,0.0,Cross-Artifact
usn_attr_Archive / Repasre_Point / Sparse,0.0,0.0,Cross-Artifact
usn_attr_Archive / Repasre_Point,0.0,0.0,Cross-Artifact
usn_attr_Archive / Not_Content_Indexed / Temporary,0.0,0.0,Cross-Artifact
usn_attr_Archive / Not_Content_Indexed / System,0.0,0.0,Cross-Artifact
usn_attr_Archive / Not_Content_Indexed / Sparse,0.0,0.0,Cross-Artifact
usn_attr_Archive / Not_Content_Indexed / Repasre_Point / Sparse,0.0,0.0,Cross-Artifact
usn_attr_Archive / Not_Content_Indexed,0.0,0.0,Cross-Artifact
usn_attr_Archive / Hidden / Temporary,0.0,0.0,Cross-Artifact
usn_attr_Archive / Hidden / System,0.0,0.0,Cross-Artifact
usn_attr_Archive / Hidden / Not_Content_Indexed / System,0.0,0.0,Cross-Artifact
usn_attr_Compressed / Not_Content_Indexed,0.0,0.0,Cross-Artifact
usn_attr_Directory / Hidden / Not_Content_Indexed,0.0,0.0,Cross-Artifact
usn_attr_Archive / Hidden,0.0,0.0,Cross-Artifact
usn_attr_Directory / Hidden / Not_Content_Indexed / Repasre_Point / System,0.0,0.0,Cross-Artifact
has_usnjrnl_data,0.0,0.0,Cross-Artifact
has_logfile_data,0.0,0.0,Cross-Artifact
merge_usnjrnl_only,0.0,0.0,Cross-Artifact
merge_matched,0.0,0.0,Cross-Artifact
merge_logfile_only,0.0,0.0,Cross-Artifact
usn_attr_nan,0.0,0.0,Cross-Artifact
usn_attr_Sparse,0.0,0.0,Cross-Artifact
usn_attr_Not_Content_Indexed / System,0.0,0.0,Cross-Artifact
usn_attr_Not_Content_Indexed,0.0,0.0,Cross-Artifact
usn_attr_Normal,0.0,0.0,Cross-Artifact
usn_attr_Hidden / System,0.0,0.0,Cross-Artifact
usn_attr_Directory / ReadOnly,0.0,0.0,Cross-Artifact
usn_attr_Directory / Not_Content_Indexed,0.0,0.0,Cross-Artifact
usn_attr_Directory / Hidden / System,0.0,0.0,Cross-Artifact
usn_attr_Directory / Hidden / Not_Content_Indexed / System,0.0,0.0,Cross-Artifact
usn_attr_Archive / Hidden / Not_Content_Indexed,0.0,0.0,Cross-Artifact
usn_attr_Archive / Directory / Hidden,0.0,0.0,Cross-Artifact
hour_of_day,0.0,0.0,Temporal
nanosec_is_zero,0.0,0.0,Anomaly
creation_year_delta,0.0,0.0,Temporal
has_future_timestamp,0.0,0.0,Anomaly
mac_all_identical,0.0,0.0,Anomaly
accessed_before_creation,0.0,0.0,Anomaly
creation_after_modification,0.0,0.0,Anomaly
is_high_activity,0.0,0.0,Flags
events_per_minute,0.0,0.0,Temporal
events_per_file,0.0,0.0,Temporal
time_delta_seconds,0.0,0.0,Temporal
is_off_hours,0.0,0.0,Temporal
is_weekend,0.0,0.0,Temporal
year,0.0,0.0,Temporal
month,0.0,0.0,Temporal
day_of_month,0.0,0.0,Temporal
day_of_week,0.0,0.0,Temporal
modified_year_delta,0.0,0.0,Temporal
path_depth,0.0,0.0,Path
usn_attr_Archive / Directory,0.0,0.0,Cross-Artifact
is_system_path,0.0,0.0,Path
usn_attr_Archive / Compressed / Not_Content_Indexed,0.0,0.0,Cross-Artifact
usn_attr_Archive / Compressed,0.0,0.0,Cross-Artifact
usn_attr_Archive,0.0,0.0,Cross-Artifact
is_consecutive_same_event,0.0,0.0,Event
event_count_per_file,0.0,0.0,Event
is_rare_usn_event,0.0,0.0,Event
is_rare_lf_event,0.0,0.0,Event
usn_event_encoded,0.0,0.0,Event
lf_event_encoded,0.0,0.0,Event
filename_entropy,0.0,0.0,Path
path_entropy,0.0,0.0,Path
is_executable,0.0,0.0,Path
filename_length,0.0,0.0,Path
is_user_path,0.0,0.0,Path
is_temp_path,0.0,0.0,Path
has_both_artifacts,0.0,0.0,Cross-Artifact
