threshold,dataset,ground_truth,detected,true_positives,false_positives,false_negatives
0.05,LoneWolf,13,2,0,2,13
0.05,02-APT19,1,5,0,5,1
0.05,09-APT40,1,6,1,5,0
0.05,12-Kimsuky,3,15,3,12,0
0.05,13-Winnti731,1,8,0,8,1
0.1,LoneWolf,13,1,0,1,13
0.1,02-APT19,1,3,0,3,1
0.1,09-APT40,1,6,1,5,0
0.1,12-Kimsuky,3,13,3,10,0
0.1,13-Winnti731,1,6,0,6,1
0.15,LoneWolf,13,0,0,0,13
0.15,02-APT19,1,1,0,1,1
0.15,09-APT40,1,2,1,1,0
0.15,12-Kimsuky,3,10,3,7,0
0.15,13-Winnti731,1,6,0,6,1
0.2,LoneWolf,13,0,0,0,13
0.2,02-APT19,1,1,0,1,1
0.2,09-APT40,1,1,0,1,1
0.2,12-Kimsuky,3,9,3,6,0
0.2,13-Winnti731,1,5,0,5,1
0.25,LoneWolf,13,0,0,0,13
0.25,02-APT19,1,1,0,1,1
0.25,09-APT40,1,0,0,0,1
0.25,12-Kimsuky,3,7,3,4,0
0.25,13-Winnti731,1,3,0,3,1
0.3,LoneWolf,13,0,0,0,13
0.3,02-APT19,1,1,0,1,1
0.3,09-APT40,1,0,0,0,1
0.3,12-Kimsuky,3,5,3,2,0
0.3,13-Winnti731,1,2,0,2,1
0.35,LoneWolf,13,0,0,0,13
0.35,02-APT19,1,1,0,1,1
0.35,09-APT40,1,0,0,0,1
0.35,12-Kimsuky,3,5,3,2,0
0.35,13-Winnti731,1,2,0,2,1
0.4,LoneWolf,13,0,0,0,13
0.4,02-APT19,1,0,0,0,1
0.4,09-APT40,1,0,0,0,1
0.4,12-Kimsuky,3,5,3,2,0
0.4,13-Winnti731,1,2,0,2,1
0.45,LoneWolf,13,0,0,0,13
0.45,02-APT19,1,0,0,0,1
0.45,09-APT40,1,0,0,0,1
0.45,12-Kimsuky,3,5,3,2,0
0.45,13-Winnti731,1,2,0,2,1
0.5,LoneWolf,13,0,0,0,13
0.5,02-APT19,1,0,0,0,1
0.5,09-APT40,1,0,0,0,1
0.5,12-Kimsuky,3,5,3,2,0
0.5,13-Winnti731,1,2,0,2,1
