threshold,ground_truth,detected,true_positives,false_positives,false_negatives,recall,precision,f1_score
0.05,19,36,4,32,15,0.21052631578947367,0.1111111111111111,0.14545454545454545
0.1,19,29,4,25,15,0.21052631578947367,0.13793103448275862,0.16666666666666666
0.15,19,19,4,15,15,0.21052631578947367,0.21052631578947367,0.21052631578947367
0.2,19,16,3,13,16,0.15789473684210525,0.1875,0.17142857142857143
0.25,19,11,3,8,16,0.15789473684210525,0.2727272727272727,0.19999999999999998
0.3,19,8,3,5,16,0.15789473684210525,0.375,0.22222222222222218
0.35,19,8,3,5,16,0.15789473684210525,0.375,0.22222222222222218
0.4,19,7,3,4,16,0.15789473684210525,0.42857142857142855,0.23076923076923078
0.45,19,7,3,4,16,0.15789473684210525,0.42857142857142855,0.23076923076923078
0.5,19,7,3,4,16,0.15789473684210525,0.42857142857142855,0.23076923076923078
