Feature,Importance
filename_length,110
path_depth,69
multiple_timestamps_changed,64
zero_in_nanoseconds_suspicious,46
in_temp_directory,45
is_executable,40
basic_info_changed,28
modified_time_modified,25
creation_time_modified,17
same_as_another_file,13
accessed_time_modified,7
cross_artifact_validation_score,6
in_program_files,5
zero_in_nanoseconds_lf,5
mft_time_modified,4
time_reversal_event,3
is_image,2
timestamp_source,2
has_usnjrnl_evidence,0
has_logfile_evidence,0
is_document,0
is_archive,0
timestamp_changed_to_past,0
update_resident_value,0
si_timestamp_changed,0
using_another_timestamp,0
in_system_directory,0
zero_in_nanoseconds,0
has_timestamp_data,0
zero_nano_time_reversal,0
