threshold,precision,recall,f1_score,tp,fp,tn,fn,total_flagged
0.05,0.4098360655737705,1.0,0.5813953488372093,50,72,30788,0,122
0.1,0.4672897196261682,1.0,0.6369426751592356,50,57,30803,0,107
0.15000000000000002,0.5747126436781609,1.0,0.7299270072992701,50,37,30823,0,87
0.2,0.6172839506172839,1.0,0.7633587786259542,50,31,30829,0,81
0.25,0.7142857142857143,1.0,0.8333333333333334,50,20,30840,0,70
0.30000000000000004,0.7101449275362319,0.98,0.8235294117647058,49,20,30840,1,69
0.35000000000000003,0.7313432835820896,0.98,0.8376068376068376,49,18,30842,1,67
0.4,0.7424242424242424,0.98,0.8448275862068966,49,17,30843,1,66
0.45,0.7424242424242424,0.98,0.8448275862068966,49,17,30843,1,66
0.5,0.7538461538461538,0.98,0.8521739130434782,49,16,30844,1,65
0.55,0.7538461538461538,0.98,0.8521739130434782,49,16,30844,1,65
0.6000000000000001,0.7777777777777778,0.98,0.8672566371681416,49,14,30846,1,63
0.65,0.7777777777777778,0.98,0.8672566371681416,49,14,30846,1,63
0.7000000000000001,0.7777777777777778,0.98,0.8672566371681416,49,14,30846,1,63
0.75,0.8275862068965517,0.96,0.8888888888888888,48,10,30850,2,58
0.8,0.8245614035087719,0.94,0.8785046728971962,47,10,30850,3,57
0.8500000000000001,0.8245614035087719,0.94,0.8785046728971962,47,10,30850,3,57
0.9,0.8392857142857143,0.94,0.8867924528301887,47,9,30851,3,56
0.9500000000000001,0.8392857142857143,0.94,0.8867924528301887,47,9,30851,3,56
