filename,full_path,lf_lsn,usn_usn,confidence_pct,usn_event_time,lf_event,lf_detail,usn_event_info,zero_in_nanoseconds,zero_in_nanoseconds_lf,time_reversal_event,basic_info_changed,cross_artifact_validation_score,cross_artifact_detected,has_logfile_evidence,has_usnjrnl_evidence,lf_creation_time,lf_modified_time,lf_accessed_time,lf_mft_modified_time,timestamp_changed_to_past,using_another_timestamp,modified_creationtime,modified_modifiedtime,modified_accessedtime,zero_nano_time_reversal,path_depth,filename_length,is_executable,is_document,is_archive,is_image
Planning.docx,\Users\jcloudy\Dropbox\Planning.docx,1551612380.0,249191976.0,99.619545,4/6/18 20:35,Time Reversal Event,ModifiedTime : 2018-04-06 20:35:25 -> 2018-04-05 10:14:03(Zero in 100-nanoseconds),Basic_Info_Changed / File_Closed,True,True,True,True,1.0,True,True,True,,,,,False,False,False,True,False,True,4,13,False,True,False,False
AIRPORT INFORMATION.docx,\Users\jcloudy\Dropbox\AIRPORT INFORMATION.docx,1551626673.0,249189632.0,99.58241,4/6/18 20:35,Time Reversal Event,ModifiedTime : 2018-04-06 20:35:25 -> 2018-04-05 10:13:38(Zero in 100-nanoseconds),Basic_Info_Changed / File_Closed,True,True,True,True,1.0,True,True,True,,,,,False,False,False,True,False,True,4,24,False,True,False,False
Google Drive.lnk,\Users\jcloudy\Dropbox\Google Drive.lnk,1551622440.0,249187112.0,99.58241,4/6/18 20:35,Time Reversal Event,ModifiedTime : 2018-04-06 20:35:25 -> 2018-04-05 10:13:51(Zero in 100-nanoseconds),Basic_Info_Changed / File_Closed,True,True,True,True,1.0,True,True,True,,,,,False,False,False,True,False,True,4,16,False,False,False,False
Dropbox.lnk,\Users\jcloudy\Dropbox\Dropbox.lnk,1551602268.0,249177096.0,99.438866,4/6/18 20:35,Time Reversal Event,ModifiedTime : 2018-04-06 20:35:25 -> 2018-04-05 10:13:50(Zero in 100-nanoseconds),Basic_Info_Changed / File_Closed,True,True,True,True,1.0,True,True,True,,,,,False,False,False,True,False,True,4,11,False,False,False,False
Box Sync.lnk,\Users\jcloudy\Dropbox\Box Sync.lnk,1551605552.0,249178856.0,99.4216,4/6/18 20:35,Time Reversal Event,ModifiedTime : 2018-04-06 20:35:25 -> 2018-04-05 10:13:42(Zero in 100-nanoseconds),Basic_Info_Changed / File_Closed,True,True,True,True,1.0,True,True,True,,,,,False,False,False,True,False,True,4,12,False,False,False,False
Set9A39.tmp,\Users\jcloudy\AppData\Local\Temp\Set9A39.tmp,1547477314.0,247687344.0,99.420204,4/6/18 15:34,Time Reversal Event,ModifiedTime : 2018-04-06 15:34:31 -> 2018-04-06 15:24:33,File_Created / Basic_Info_Changed / File_Closed,False,False,True,True,1.0,True,True,True,,,,,False,False,False,True,False,False,6,11,False,False,False,False
Set9A38.tmp,\Users\jcloudy\AppData\Local\Temp\Set9A38.tmp,1547476312.0,247686728.0,99.420204,4/6/18 15:34,Time Reversal Event,ModifiedTime : 2018-04-06 15:34:31 -> 2018-04-06 15:24:33,File_Created / Basic_Info_Changed / File_Closed,False,False,True,True,1.0,True,True,True,,,,,False,False,False,True,False,False,6,11,False,False,False,False
Set9A28.tmp,\Users\jcloudy\AppData\Local\Temp\Set9A28.tmp,1547475274.0,247686112.0,99.420204,4/6/18 15:34,Time Reversal Event,ModifiedTime : 2018-04-06 15:34:31 -> 2018-04-06 15:24:33,File_Created / Basic_Info_Changed / File_Closed,False,False,True,True,1.0,True,True,True,,,,,False,False,False,True,False,False,6,11,False,False,False,False
UDD9BA7.tmp,\Windows\Temp\UDD9BA7.tmp,1561268723.0,249670448.0,96.99569,4/6/18 20:42,Time Reversal Event,ModifiedTime : 2018-04-06 20:42:32 -> 2018-04-06 20:42:31/ MFTModifiedTime : 2018-04-06 20:42:32 -> 2018-04-06 20:42:31,Basic_Info_Changed / Data_Added / Data_Overwritten / Data_Truncated / File_Closed,False,False,True,True,1.0,True,True,True,,,,,False,False,False,True,False,False,3,11,False,False,False,False
NVI2_29.DLL,\Windows\Temp\NVI2_29.DLL,1550591603.0,248829072.0,95.24641,4/6/18 20:26,Time Reversal Event,ModifiedTime : 2018-04-06 20:26:30 -> 2017-03-14 22:10:32(Zero in 100-nanoseconds)/ MFTModifiedTime : 2018-04-06 20:26:30 -> 2018-03-27 17:20:07,Basic_Info_Changed / Data_Added / Data_Overwritten / File_Closed,True,True,True,True,1.0,True,True,True,,,,,False,False,False,True,False,True,3,11,False,False,False,False
DeathToll.jpg,\Users\jcloudy\Dropbox\DeathToll.jpg,1551610606.0,249181568.0,94.1461,4/6/18 20:35,Time Reversal Event,ModifiedTime : 2018-04-06 20:35:25 -> 2018-04-05 10:13:47(Zero in 100-nanoseconds),Basic_Info_Changed / File_Closed,True,True,True,True,1.0,True,True,True,,,,,False,False,False,True,False,True,4,13,False,False,False,True
Appraiser_Data.ini,\Windows\appcompat\appraiser\AltData\Appraiser_Data.ini,1546632894.0,247474664.0,93.924095,4/6/18 15:23,Time Reversal Event,ModifiedTime : 2018-04-06 15:23:03 -> 2018-03-23 04:25:44(Zero in 100-nanoseconds),File_Created / Basic_Info_Changed / Data_Added / File_Closed,True,True,True,True,1.0,True,True,True,,,,,False,False,False,True,False,True,5,18,False,False,False,False
appraiser.sdb,\Windows\appcompat\appraiser\AltData\appraiser.sdb,1546631961.0,247474288.0,93.64441,4/6/18 15:23,Time Reversal Event,ModifiedTime : 2018-04-06 15:23:03 -> 2018-03-23 04:22:26(Zero in 100-nanoseconds),File_Created / Basic_Info_Changed / Data_Added / File_Closed,True,True,True,True,1.0,True,True,True,,,,,False,False,False,True,False,True,5,13,False,False,False,False
Huckleberry.png,\Users\jcloudy\Dropbox\Huckleberry.png,1551616259.0,249184256.0,93.60901,4/6/18 20:35,Time Reversal Event,ModifiedTime : 2018-04-06 20:35:25 -> 2018-04-05 10:13:53(Zero in 100-nanoseconds),Basic_Info_Changed / File_Closed,True,True,True,True,1.0,True,True,True,,,,,False,False,False,True,False,True,4,15,False,False,False,True
MyTiredHead.jpg,\Users\jcloudy\Dropbox\MyTiredHead.jpg,1551618113.0,249185208.0,93.60901,4/6/18 20:35,Time Reversal Event,ModifiedTime : 2018-04-06 20:35:25 -> 2018-04-05 10:13:56(Zero in 100-nanoseconds),Basic_Info_Changed / File_Closed,True,True,True,True,1.0,True,True,True,,,,,False,False,False,True,False,True,4,15,False,False,False,True
CubaDearmed.jpg,\Users\jcloudy\Dropbox\CubaDearmed.jpg,1551614366.0,249183216.0,93.60901,4/6/18 20:35,Time Reversal Event,ModifiedTime : 2018-04-06 20:35:25 -> 2018-04-05 10:13:43(Zero in 100-nanoseconds),Basic_Info_Changed / File_Closed,True,True,True,True,1.0,True,True,True,,,,,False,False,False,True,False,True,4,15,False,False,False,True
BladeofGrass.jpg,\Users\jcloudy\Dropbox\BladeofGrass.jpg,1551619926.0,249186160.0,93.60901,4/6/18 20:35,Time Reversal Event,ModifiedTime : 2018-04-06 20:35:25 -> 2018-04-05 10:13:40(Zero in 100-nanoseconds),Basic_Info_Changed / File_Closed,True,True,True,True,1.0,True,True,True,,,,,False,False,False,True,False,True,4,16,False,False,False,True
HoldMyTidePod.jpg,\Users\jcloudy\Dropbox\HoldMyTidePod.jpg,1551624285.0,249188064.0,93.60901,4/6/18 20:35,Time Reversal Event,ModifiedTime : 2018-04-06 20:35:25 -> 2018-04-05 10:13:52(Zero in 100-nanoseconds),Basic_Info_Changed / File_Closed,True,True,True,True,1.0,True,True,True,,,,,False,False,False,True,False,True,4,17,False,False,False,True
Appraiser_TelemetryRunList.xml,\Windows\appcompat\appraiser\AltData\Appraiser_TelemetryRunList.xml,1546633981.0,247475120.0,92.587265,4/6/18 15:23,Time Reversal Event,ModifiedTime : 2018-04-06 15:23:03 -> 2018-02-06 08:03:42(Zero in 100-nanoseconds),File_Created / Basic_Info_Changed / Data_Added / File_Closed,True,True,True,True,1.0,True,True,True,,,,,False,False,False,True,False,True,5,30,False,False,False,False
RedGuns.jpg,\Users\jcloudy\Dropbox\RedGuns.jpg,1551603865.0,249177976.0,91.58572,4/6/18 20:35,Time Reversal Event,ModifiedTime : 2018-04-06 20:35:25 -> 2018-04-05 10:14:05(Zero in 100-nanoseconds),Basic_Info_Changed / File_Closed,True,True,True,True,1.0,True,True,True,,,,,False,False,False,True,False,True,4,11,False,False,False,True
Sheep.jpg,\Users\jcloudy\Dropbox\Sheep.jpg,1551600672.0,249176224.0,91.58572,4/6/18 20:35,Time Reversal Event,ModifiedTime : 2018-04-06 20:35:25 -> 2018-04-05 10:14:06(Zero in 100-nanoseconds),Basic_Info_Changed / File_Closed,True,True,True,True,1.0,True,True,True,,,,,False,False,False,True,False,True,4,9,False,False,False,True
DemLogic.jpg,\Users\jcloudy\Dropbox\DemLogic.jpg,1551608795.0,249180688.0,91.3479,4/6/18 20:35,Time Reversal Event,ModifiedTime : 2018-04-06 20:35:25 -> 2018-04-05 10:13:48(Zero in 100-nanoseconds),Basic_Info_Changed / File_Closed,True,True,True,True,1.0,True,True,True,,,,,False,False,False,True,False,True,4,12,False,False,False,True
DarkWolf.png,\Users\jcloudy\Dropbox\DarkWolf.png,1551607149.0,249179736.0,91.3479,4/6/18 20:35,Time Reversal Event,ModifiedTime : 2018-04-06 20:35:25 -> 2018-04-05 10:13:46(Zero in 100-nanoseconds),Basic_Info_Changed / File_Closed,True,True,True,True,1.0,True,True,True,,,,,False,False,False,True,False,True,4,12,False,False,False,True
snapshot.etl,\Windows\System32\WDI\{533a67eb-9fb5-473d-b884-958cf4b9c4a3}\{590eb9fb-76b4-4d7b-a955-36d351de97e5}\snapshot.etl,1549654083.0,248319024.0,89.25067,4/6/18 20:26,Time Reversal Event,ModifiedTime : 2018-04-06 20:26:16 -> 2018-03-28 05:45:41/ MFTModifiedTime : 2018-04-06 20:26:16 -> 2018-03-28 05:45:41,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten / File_Closed,False,False,True,True,1.0,True,True,True,,,,,False,False,False,True,False,False,6,12,False,False,False,False
