filename,full_path,lf_lsn,usn_usn,confidence_pct,usn_event_time,lf_event,lf_detail,usn_event_info,zero_in_nanoseconds,zero_in_nanoseconds_lf,time_reversal_event,basic_info_changed,cross_artifact_validation_score,cross_artifact_detected,has_logfile_evidence,has_usnjrnl_evidence,lf_creation_time,lf_modified_time,lf_accessed_time,lf_mft_modified_time,timestamp_changed_to_past,using_another_timestamp,modified_creationtime,modified_modifiedtime,modified_accessedtime,zero_nano_time_reversal,path_depth,filename_length,is_executable,is_document,is_archive,is_image
276a6c74b79740aff136d8eebb1c78e7a5be438c454847832e9426a7be4fa6c0,\Users\blueangel\Desktop\Sample\276a6c74b79740aff136d8eebb1c78e7a5be438c454847832e9426a7be4fa6c0,6280866245.0,996836480.0,99.22425653447614,1/5/23 22:09,Time Reversal Event,CreationTime : 2023-01-05 22:09:04 -> 2023-01-04 22:34:14(Zero in 100-nanoseconds)/ ModifiedTime : 2023-01-05 22:09:04 -> 2023-01-04 21:53:04,File_Created / Basic_Info_Changed / Data_Added / File_Closed,True,True,True,True,1.0,True,True,True,,,,,False,False,True,True,False,True,5,64,False,False,False,False
Appraiser_Data.ini.bak,\Windows\appcompat\appraiser\AltData\Appraiser_Data.ini.bak,6281332842.0,997008904.0,99.7133843905534,1/5/23 22:09,Time Reversal Event,ModifiedTime : 2023-01-05 22:09:20 -> 2022-11-03 13:26:00(Zero in 100-nanoseconds),File_Created / Basic_Info_Changed / Data_Added / File_Closed,True,True,True,True,1.0,True,True,True,,,,,False,False,False,True,False,True,5,22,False,False,False,False
asw35130d1c2be86e0b.tmp,\Windows\Temp\asw35130d1c2be86e0b.tmp,6280373185.0,996703312.0,99.76354554294842,1/4/23 22:00,Time Reversal Event,ModifiedTime : 2023-01-04 22:00:43 -> 2022-12-20 22:00:20/ MFTModifiedTime : 2023-01-04 22:00:43 -> 2022-12-20 22:00:26,Basic_Info_Changed / File_Closed,False,False,True,True,1.0,True,True,True,,,,,False,False,False,True,False,False,3,23,False,False,False,False
asw6a432a45eda3f7ef.tmp,\Windows\Temp\asw6a432a45eda3f7ef.tmp,6280377580.0,996705264.0,99.76354554294842,1/4/23 22:00,Time Reversal Event,ModifiedTime : 2023-01-04 22:00:43 -> 2022-12-20 22:00:20/ MFTModifiedTime : 2023-01-04 22:00:43 -> 2022-12-20 22:00:26,Basic_Info_Changed / File_Closed,False,False,True,True,1.0,True,True,True,,,,,False,False,False,True,False,False,3,23,False,False,False,False
aswd9520500a967ece8.tmp,\Windows\Temp\aswd9520500a967ece8.tmp,6280378918.0,996706160.0,99.76354554294842,1/4/23 22:00,Time Reversal Event,ModifiedTime : 2023-01-04 22:00:43 -> 2022-12-20 22:00:20/ MFTModifiedTime : 2023-01-04 22:00:43 -> 2022-12-20 22:00:20,Basic_Info_Changed / File_Closed,False,False,True,True,1.0,True,True,True,,,,,False,False,False,True,False,False,3,23,False,False,False,False
aswe89ffd4b1c9391f3.tmp,\Windows\Temp\aswe89ffd4b1c9391f3.tmp,6280375036.0,996704256.0,99.76354554294842,1/4/23 22:00,Time Reversal Event,ModifiedTime : 2023-01-04 22:00:43 -> 2022-12-20 22:00:20/ MFTModifiedTime : 2023-01-04 22:00:43 -> 2022-12-20 22:00:20,Basic_Info_Changed / File_Closed,False,False,True,True,1.0,True,True,True,,,,,False,False,False,True,False,False,3,23,False,False,False,False
BIT2086.tmp,\Users\blueangel\AppData\Local\Temp\BIT2086.tmp,6280691166.0,996793440.0,99.76288903371022,1/5/23 22:08,Time Reversal Event & Changing FileAttribute,CreationTime : 2023-01-05 22:08:57 -> 2023-01-05 22:00:26(Zero in 100-nanoseconds)/ ModifiedTime : 2023-01-05 22:08:58 -> 2023-01-05 22:00:26(Zero in 100-nanoseconds)/ MFTModifiedTime : 2023-01-05 22:08:58 -> 2023-01-05 22:00:26(Zero in 100-nanoseconds)/ AccessedTime : 2023-01-05 22:08:58 -> 2023-01-05 22:00:26(Zero in 100-nanoseconds) & Hidden/ Archive -> Hidden,Basic_Info_Changed / File_Closed,True,True,True,True,1.0,True,True,True,,,,,False,False,True,True,True,True,6,11,False,False,False,False
BIT20A6.tmp,\Users\blueangel\AppData\Local\Temp\BIT20A6.tmp,6280685606.0,996791096.0,99.76288903371022,1/5/23 22:08,Time Reversal Event & Changing FileAttribute,CreationTime : 2023-01-05 22:08:57 -> 2023-01-05 08:41:13(Zero in 100-nanoseconds)(same as wctB227.tmp)/ ModifiedTime : 2023-01-05 22:08:58 -> 2023-01-05 08:41:13(Zero in 100-nanoseconds)(same as wctB227.tmp)/ MFTModifiedTime : 2023-01-05 22:08:58 -> 2023-01-05 08:41:13(Zero in 100-nanoseconds)/ AccessedTime : 2023-01-05 22:08:58 -> 2023-01-05 08:41:13(Zero in 100-nanoseconds)(same as wctB227.tmp) & Hidden/ Archive -> Hidden,Basic_Info_Changed / File_Closed,True,True,True,True,1.0,True,True,True,,,,,False,False,True,True,True,True,6,11,False,False,False,False
BIT2693.tmp,\Windows\Temp\BIT2693.tmp,6280742138.0,996808304.0,99.60955014368511,1/5/23 22:09,Time Reversal Event & Changing FileAttribute,CreationTime : 2023-01-05 22:08:58 -> 2023-01-05 22:00:26(Zero in 100-nanoseconds)(same as wct5522.tmp)/ ModifiedTime : 2023-01-05 22:08:59 -> 2023-01-05 22:00:26(Zero in 100-nanoseconds)(same as wct5522.tmp)/ MFTModifiedTime : 2023-01-05 22:08:59 -> 2023-01-05 22:00:26(Zero in 100-nanoseconds)/ AccessedTime : 2023-01-05 22:08:59 -> 2023-01-05 22:00:26(Zero in 100-nanoseconds) & Hidden/ Archive -> Hidden,Basic_Info_Changed / File_Closed,True,True,True,True,1.0,True,True,True,,,,,False,False,True,True,True,True,3,11,False,False,False,False
BIT2E15.tmp,\Windows\Temp\BIT2E15.tmp,6280765733.0,996812632.0,99.60955014368511,1/5/23 22:09,Time Reversal Event & Changing FileAttribute,CreationTime : 2023-01-05 22:09:00 -> 2023-01-05 08:41:13(Zero in 100-nanoseconds)/ ModifiedTime : 2023-01-05 22:09:01 -> 2023-01-05 08:41:13(Zero in 100-nanoseconds)/ MFTModifiedTime : 2023-01-05 22:09:01 -> 2023-01-05 08:41:13(Zero in 100-nanoseconds)/ AccessedTime : 2023-01-05 22:09:01 -> 2023-01-05 08:41:13(Zero in 100-nanoseconds) & Hidden/ Archive -> Hidden,Basic_Info_Changed / File_Closed,True,True,True,True,1.0,True,True,True,,,,,False,False,True,True,True,True,3,11,False,False,False,False
