filename,full_path,lf_lsn,usn_usn,confidence_pct,zero_in_nanoseconds,zero_in_nanoseconds_lf,time_reversal_event,basic_info_changed,cross_artifact_validation_score,cross_artifact_detected,has_logfile_evidence,has_usnjrnl_evidence
2e7780ff-96a0-4c47-a406-67168432b0ce.tmp,\Users\blueangel\AppData\Roaming\Evernote\2e7780ff-96a0-4c47-a406-67168432b0ce.tmp,4397417770.0,766272648.0,99.89195448394335,False,False,True,True,1.0,True,True,True
5539d9e9-45de-4ebb-95fd-0fd3266f48ef.tmp,\Users\blueangel\AppData\Roaming\DropboxElectron\5539d9e9-45de-4ebb-95fd-0fd3266f48ef.tmp,4397774392.0,766412816.0,99.89195448394335,False,False,True,True,1.0,True,True,True
9addef8e-3037-4e9b-b728-faa43c5cbb92.tmp,\Users\blueangel\AppData\Roaming\Evernote\9addef8e-3037-4e9b-b728-faa43c5cbb92.tmp,4396979488.0,766112160.0,99.89195448394335,False,False,True,True,1.0,True,True,True
WaasRemediation.002.etl,\Windows\Logs\waasmediccapsule\WaasRemediation.002.etl,4400024372.0,767429216.0,99.88516629511756,False,False,True,True,1.0,True,True,True
appraiser.sdb,\Windows\appcompat\appraiser\AltData\appraiser.sdb,4400144606.0,751230512.0,99.84399303673442,True,True,True,True,1.0,True,True,True
lsdb2.json.new,\ProgramData\Avast Software\Avast\lsdb2.json.new,4401934508.0,744916808.0,99.83961176815414,False,False,True,True,1.0,True,True,True
Appraiser_TelemetryRunList.xml,\Windows\appcompat\appraiser\AltData\Appraiser_TelemetryRunList.xml,4400154144.0,751231728.0,99.81931806676447,True,True,True,True,1.0,True,True,True
BIT1328.tmp,\Users\blueangel\AppData\Local\Temp\BIT1328.tmp,4399626844.0,767243608.0,99.76288903371022,True,True,True,True,1.0,True,True,True
BIT1348.tmp,\Users\blueangel\AppData\Local\Temp\BIT1348.tmp,4399650779.0,767255984.0,99.76288903371022,True,True,True,True,1.0,True,True,True
BIT5890.tmp,\Users\blueangel\AppData\Local\Temp\BIT5890.tmp,4400031806.0,767432400.0,99.76288903371022,True,True,True,True,1.0,True,True,True
BITA018.tmp,\Users\blueangel\AppData\Local\Temp\BITA018.tmp,4396144730.0,765633416.0,99.76288903371022,True,True,True,True,1.0,True,True,True
Appraiser_Data.ini,\Windows\appcompat\appraiser\AltData\Appraiser_Data.ini,4400149248.0,751230880.0,99.72101059415132,True,True,True,True,1.0,True,True,True
Appraiser_Data.ini.bak,\Windows\appcompat\appraiser\AltData\Appraiser_Data.ini.bak,4400151976.0,751231280.0,99.7133843905534,True,True,True,True,1.0,True,True,True
UDDEC56.tmp,\Windows\Temp\UDDEC56.tmp,4399220182.0,767086032.0,99.6375919945566,False,False,True,True,1.0,True,True,True
BIT65E0.tmp,\Windows\Temp\BIT65E0.tmp,4400119640.0,767479504.0,99.60955014368511,True,True,True,True,1.0,True,True,True
BIT6BAD.tmp,\Windows\Temp\BIT6BAD.tmp,4400096677.0,767467888.0,99.60955014368511,True,True,True,True,1.0,True,True,True
BIT54E6.tmp,\Windows\Temp\BIT54E6.tmp,4400027247.0,767429728.0,99.60955014368511,True,True,True,True,1.0,True,True,True
f8b226a42a64b2e3bd2cd3a5e6ad81f01e16b78b92c01a78392cb4bee8cc1fbc,\Users\blueangel\Desktop\Sample\f8b226a42a64b2e3bd2cd3a5e6ad81f01e16b78b92c01a78392cb4bee8cc1fbc,4401584226.0,767832896.0,99.22425653447614,True,True,True,True,1.0,True,True,True
