filename,full_path,lf_lsn,usn_usn,confidence_pct,zero_in_nanoseconds,zero_in_nanoseconds_lf,time_reversal_event,basic_info_changed,cross_artifact_validation_score,cross_artifact_detected,has_logfile_evidence,has_usnjrnl_evidence
appraiser.sdb,\Windows\appcompat\appraiser\AltData\appraiser.sdb,6281318382.0,997018136.0,99.84399303673442,True,True,True,True,1.0,True,True,True
lsdb2.json.new,\ProgramData\Avast Software\Avast\lsdb2.json.new,6291850248.0,981492656.0,99.83961176815414,False,False,True,True,1.0,True,True,True
Appraiser_TelemetryRunList.xml,\Windows\appcompat\appraiser\AltData\Appraiser_TelemetryRunList.xml,6281326298.0,997021520.0,99.81931806676447,True,True,True,True,1.0,True,True,True
OneDrive.exe,\Program Files\Microsoft OneDrive\OneDrive.exe,6282752891.0,997040304.0,99.81144802458934,False,False,True,True,1.0,True,True,True
_418390281__.tmp,\Users\blueangel\AppData\Local\Temp\_418390281__.tmp,6293149303.0,998144712.0,99.80592198932969,True,True,True,True,1.0,True,True,True
OneDriveStandaloneUpdater.exe,\Program Files\Microsoft OneDrive\OneDriveStandaloneUpdater.exe,6282831306.0,997043096.0,99.77882219870285,False,False,True,True,1.0,True,True,True
asw35130d1c2be86e0b.tmp,\Windows\Temp\asw35130d1c2be86e0b.tmp,6280373185.0,996702976.0,99.76354554294842,False,False,True,True,1.0,True,True,True
aswd9520500a967ece8.tmp,\Windows\Temp\aswd9520500a967ece8.tmp,6280378918.0,996705824.0,99.76354554294842,False,False,True,True,1.0,True,True,True
aswe89ffd4b1c9391f3.tmp,\Windows\Temp\aswe89ffd4b1c9391f3.tmp,6280375036.0,996703872.0,99.76354554294842,False,False,True,True,1.0,True,True,True
asw6a432a45eda3f7ef.tmp,\Windows\Temp\asw6a432a45eda3f7ef.tmp,6280377580.0,996704928.0,99.76354554294842,False,False,True,True,1.0,True,True,True
BITA7A3.tmp,\Users\blueangel\AppData\Local\Temp\BITA7A3.tmp,6291580801.0,997733952.0,99.76288903371022,True,True,True,True,1.0,True,True,True
BIT223B.tmp,\Users\blueangel\AppData\Local\Temp\BIT223B.tmp,6280696963.0,996788728.0,99.76288903371022,True,True,True,True,1.0,True,True,True
BIT228A.tmp,\Users\blueangel\AppData\Local\Temp\BIT228A.tmp,6280702410.0,996791208.0,99.76288903371022,True,True,True,True,1.0,True,True,True
BIT5E21.tmp,\Users\blueangel\AppData\Local\Temp\BIT5E21.tmp,6281023593.0,996875328.0,99.76288903371022,True,True,True,True,1.0,True,True,True
Appraiser_Data.ini,\Windows\appcompat\appraiser\AltData\Appraiser_Data.ini,6281322852.0,997020048.0,99.72101059415132,True,True,True,True,1.0,True,True,True
Appraiser_Data.ini.bak,\Windows\appcompat\appraiser\AltData\Appraiser_Data.ini.bak,6281324830.0,997020896.0,99.7133843905534,True,True,True,True,1.0,True,True,True
OneDrive.VisualElementsManifest.xml,\Program Files\Microsoft OneDrive\OneDrive.VisualElementsManifest.xml,6282800456.0,997537768.0,99.66587469439219,False,False,True,True,1.0,True,True,True
BIT6F5B.tmp,\Windows\Temp\BIT6F5B.tmp,6281285231.0,997004184.0,99.60955014368511,True,True,True,True,1.0,True,True,True
BIT3809.tmp,\Windows\Temp\BIT3809.tmp,6280872980.0,996843272.0,99.60955014368511,True,True,True,True,1.0,True,True,True
BIT61FB.tmp,\Windows\Temp\BIT61FB.tmp,6281234043.0,996985528.0,99.60955014368511,True,True,True,True,1.0,True,True,True
BIT36EF.tmp,\Windows\Temp\BIT36EF.tmp,6280809706.0,996834536.0,99.60955014368511,True,True,True,True,1.0,True,True,True
BIT3112.tmp,\Windows\Temp\BIT3112.tmp,6280783263.0,996828096.0,99.60955014368511,True,True,True,True,1.0,True,True,True
BIT5854.tmp,\Windows\Temp\BIT5854.tmp,6280997948.0,996862072.0,99.60955014368511,True,True,True,True,1.0,True,True,True
BITC1C3.tmp,\Windows\Temp\BITC1C3.tmp,6292026234.0,997940192.0,99.60955014368511,True,True,True,True,1.0,True,True,True
