merge_key,lf_lsn,EventTime(UTC+8),lf_event,lf_detail,File/Directory Name,lf_full_path,lf_creation_time,lf_modified_time,lf_mft_modified_time,lf_accessed_time,Redo,Target VCN,Cluster Index,usn_event_time,usn_usn,usn_filename,usn_full_path,usn_event_info,SourceInfo,FileAttribute,Carving Flag,usn_file_reference_number,usn_parent_file_reference_number,suspicious_category,suspicious_detail,suspicious_source,lf_event_count,usn_event_count,has_logfile_evidence,has_usnjrnl_evidence,cross_artifact_validation_score,has_suspicious_label,filename,full_path,zero_in_nanoseconds_lf,zero_in_nanoseconds_suspicious,zero_in_nanoseconds_combined,is_flagged_suspicious,ground_truth_label
$logfile,,,,,,,,,,,,,,1/4/23 21:56,996519936.0,$LogFile,\Users\blueangel\Desktop\Tools\$LogFile,Basic_Info_Changed,Normal,Hidden / System,,0x0029000000019E32,0x0018000000055D52,,,,0,4,False,True,0.5,False,$LogFile,\Users\blueangel\Desktop\Tools\$LogFile,False,False,False,False,0
$mft,,,,,,,,,,,,,,1/4/23 21:57,996552920.0,$MFT,\Users\blueangel\Desktop\Tools\$MFT,Basic_Info_Changed,Normal,Hidden / System,,0x0006000000019E3C,0x0018000000055D52,,,,0,2,False,True,0.5,False,$MFT,\Users\blueangel\Desktop\Tools\$MFT,False,False,False,False,0
0035dd6e-b711-47f6-a959-536eba087de8.tmp,,,,,,,,,,,,,,1/4/23 18:09,989153536.0,0035dd6e-b711-47f6-a959-536eba087de8.tmp,\Users\blueangel\AppData\Roaming\Evernote\Network\0035dd6e-b711-47f6-a959-536eba087de8.tmp,Basic_Info_Changed,Normal,Archive,,0x031400000001D3ED,0x000200000001B982,,,,0,3,False,True,0.5,False,0035dd6e-b711-47f6-a959-536eba087de8.tmp,\Users\blueangel\AppData\Roaming\Evernote\Network\0035dd6e-b711-47f6-a959-536eba087de8.tmp,False,False,False,False,0
0037f341-c9f9-4221-8f9e-67b3d2baff3a.tmp,,,,,,,,,,,,,,1/4/23 17:58,988759600.0,0037f341-c9f9-4221-8f9e-67b3d2baff3a.tmp,\Users\blueangel\AppData\Roaming\Evernote\Network\0037f341-c9f9-4221-8f9e-67b3d2baff3a.tmp,Basic_Info_Changed,Normal,Archive,,0x016900000001CD2D,0x000200000001B982,,,,0,3,False,True,0.5,False,0037f341-c9f9-4221-8f9e-67b3d2baff3a.tmp,\Users\blueangel\AppData\Roaming\Evernote\Network\0037f341-c9f9-4221-8f9e-67b3d2baff3a.tmp,False,False,False,False,0
003abdc1-8445-4c38-a806-5ef1ed172c73.tmp,,,,,,,,,,,,,,1/4/23 9:52,972863600.0,003abdc1-8445-4c38-a806-5ef1ed172c73.tmp,\Users\blueangel\AppData\Roaming\Microsoft\Teams\003abdc1-8445-4c38-a806-5ef1ed172c73.tmp,Basic_Info_Changed,Normal,Archive,,0x00210000000254E9,0x000100000001F775,,,,0,3,False,True,0.5,False,003abdc1-8445-4c38-a806-5ef1ed172c73.tmp,\Users\blueangel\AppData\Roaming\Microsoft\Teams\003abdc1-8445-4c38-a806-5ef1ed172c73.tmp,False,False,False,False,0
00506843-16f9-431d-a543-7092ad861eed.tmp,,,,,,,,,,,,,,1/4/23 6:09,965813664.0,00506843-16f9-431d-a543-7092ad861eed.tmp,\Users\blueangel\AppData\Roaming\Evernote\Network\00506843-16f9-431d-a543-7092ad861eed.tmp,Basic_Info_Changed,Normal,Archive,,0x00B400000001DE4D,0x000200000001B982,,,,0,3,False,True,0.5,False,00506843-16f9-431d-a543-7092ad861eed.tmp,\Users\blueangel\AppData\Roaming\Evernote\Network\00506843-16f9-431d-a543-7092ad861eed.tmp,False,False,False,False,0
00998a71-cb61-4541-8804-530eaae4f2cd.tmp,,,,,,,,,,,,,,1/4/23 9:00,971268240.0,00998a71-cb61-4541-8804-530eaae4f2cd.tmp,\Users\blueangel\AppData\Roaming\Evernote\Network\00998a71-cb61-4541-8804-530eaae4f2cd.tmp,Basic_Info_Changed,Normal,Archive,,0x006A00000001F59F,0x000200000001B982,,,,0,3,False,True,0.5,False,00998a71-cb61-4541-8804-530eaae4f2cd.tmp,\Users\blueangel\AppData\Roaming\Evernote\Network\00998a71-cb61-4541-8804-530eaae4f2cd.tmp,False,False,False,False,0
00a3c21c-2f61-4d4e-a2ff-f008005d0f6d.tmp,,,,,,,,,,,,,,1/4/23 6:28,966402336.0,00a3c21c-2f61-4d4e-a2ff-f008005d0f6d.tmp,\Users\blueangel\AppData\Roaming\Microsoft\Teams\Partitions\msa\00a3c21c-2f61-4d4e-a2ff-f008005d0f6d.tmp,Basic_Info_Changed,Normal,Archive,,0x00FD00000001E275,0x0004000000055194,,,,0,3,False,True,0.5,False,00a3c21c-2f61-4d4e-a2ff-f008005d0f6d.tmp,\Users\blueangel\AppData\Roaming\Microsoft\Teams\Partitions\msa\00a3c21c-2f61-4d4e-a2ff-f008005d0f6d.tmp,False,False,False,False,0
00c5c2d4-eefa-40ce-9de9-7e5260ec0684.tmp,,,,,,,,,,,,,,1/4/23 11:45,976567104.0,00c5c2d4-eefa-40ce-9de9-7e5260ec0684.tmp,\Users\blueangel\AppData\Roaming\Evernote\Network\00c5c2d4-eefa-40ce-9de9-7e5260ec0684.tmp,Basic_Info_Changed,Normal,Archive,,0x005300000002802A,0x000200000001B982,,,,0,3,False,True,0.5,False,00c5c2d4-eefa-40ce-9de9-7e5260ec0684.tmp,\Users\blueangel\AppData\Roaming\Evernote\Network\00c5c2d4-eefa-40ce-9de9-7e5260ec0684.tmp,False,False,False,False,0
00cee752-01a1-4da9-9b37-1d098ae1c3fe.tmp,,,,,,,,,,,,,,1/4/23 14:39,982320400.0,00cee752-01a1-4da9-9b37-1d098ae1c3fe.tmp,\Users\blueangel\AppData\Roaming\Evernote\Network\00cee752-01a1-4da9-9b37-1d098ae1c3fe.tmp,Basic_Info_Changed,Normal,Archive,,0x02C300000000825E,0x000200000001B982,,,,0,3,False,True,0.5,False,00cee752-01a1-4da9-9b37-1d098ae1c3fe.tmp,\Users\blueangel\AppData\Roaming\Evernote\Network\00cee752-01a1-4da9-9b37-1d098ae1c3fe.tmp,False,False,False,False,0
