lsn,eventtime,event,filedirectoryname,fullpath,creationtime,modifiedtime,mftmodifiedtime,accessedtime,redo,targetvcn,clusterindex,missing_fullpath_flag
8713791717,12/23/23 0:14:23,File Creation,dropboxstatus-connecting@3x.png,\Program Files (x86)\Dropbox\Client\189.4.8395\images\03_Tray_Icon\win\light\dropboxstatus-connecting@3x.png,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x170EF,6,0
8713792451,12/23/23 0:14:23,File Creation,dropboxstatus-idle.png,\Program Files (x86)\Dropbox\Client\189.4.8395\images\03_Tray_Icon\win\light\dropboxstatus-idle.png,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x170F0,0,0
8713793177,12/23/23 0:14:23,File Creation,dropboxstatus-idle@1p25x.png,\Program Files (x86)\Dropbox\Client\189.4.8395\images\03_Tray_Icon\win\light\dropboxstatus-idle@1p25x.png,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x171DC,2,0
8713793904,12/23/23 0:14:23,File Creation,dropboxstatus-idle@1p5x.png,\Program Files (x86)\Dropbox\Client\189.4.8395\images\03_Tray_Icon\win\light\dropboxstatus-idle@1p5x.png,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x1727B,0,0
8713794646,12/23/23 0:14:23,File Creation,dropboxstatus-idle@1p75x.png,\Program Files (x86)\Dropbox\Client\189.4.8395\images\03_Tray_Icon\win\light\dropboxstatus-idle@1p75x.png,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x17281,4,0
8713795373,12/23/23 0:14:23,File Creation,dropboxstatus-idle@2p5x.png,\Program Files (x86)\Dropbox\Client\189.4.8395\images\03_Tray_Icon\win\light\dropboxstatus-idle@2p5x.png,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x17357,0,0
8713796112,12/23/23 0:14:23,File Creation,dropboxstatus-idle@2x.png,\Program Files (x86)\Dropbox\Client\189.4.8395\images\03_Tray_Icon\win\light\dropboxstatus-idle@2x.png,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x1737A,6,0
8713796833,12/23/23 0:14:23,File Creation,dropboxstatus-idle@3x.png,\Program Files (x86)\Dropbox\Client\189.4.8395\images\03_Tray_Icon\win\light\dropboxstatus-idle@3x.png,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x1737D,4,0
8713797553,12/23/23 0:14:23,File Creation,dropboxstatus-logo.png,\Program Files (x86)\Dropbox\Client\189.4.8395\images\03_Tray_Icon\win\light\dropboxstatus-logo.png,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x1738A,2,0
8713798277,12/23/23 0:14:23,File Creation,dropboxstatus-logo@1p25x.png,\Program Files (x86)\Dropbox\Client\189.4.8395\images\03_Tray_Icon\win\light\dropboxstatus-logo@1p25x.png,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x1738A,4,0
8713799639,12/23/23 0:14:23,File Creation,dropboxstatus-logo@1p5x.png,\Program Files (x86)\Dropbox\Client\189.4.8395\images\03_Tray_Icon\win\light\dropboxstatus-logo@1p5x.png,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x1738A,6,0
8713800377,12/23/23 0:14:23,File Creation,dropboxstatus-logo@1p75x.png,\Program Files (x86)\Dropbox\Client\189.4.8395\images\03_Tray_Icon\win\light\dropboxstatus-logo@1p75x.png,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x1738D,0,0
8713801109,12/23/23 0:14:23,File Creation,dropboxstatus-logo@2p5x.png,\Program Files (x86)\Dropbox\Client\189.4.8395\images\03_Tray_Icon\win\light\dropboxstatus-logo@2p5x.png,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x17390,0,0
