lf_lsn,eventtime,lf_event,lf_detail,filename,filepath,lf_creation_time,lf_modified_time,lf_mft_modified_time,lf_accessed_time,lf_redo,lf_target_vcn,lf_cluster_index,is_tunneling,merge_key,source,has_logfile_evidence,has_usnjrnl_evidence
196603051,,Time Reversal Event,ModifiedTime : 2008-07-21 04:36:49 -> 2007-03-21 19:48:26(Zero in 100-nanoseconds)/ AccessedTime : 2008-07-21 04:36:49 -> 2007-03-21 19:48:26(Zero in 100-nanoseconds),wuredir.xml <Guessed>,\WINDOWS\SoftwareDistribution\WuRedir\9482F4B4-E343-43B6-B170-9A65BC822C77\wuredir.xml,,,,,Update Resident Value,0xB47,0,False,\WINDOWS\SoftwareDistribution\WuRedir\9482F4B4-E343-43B6-B170-9A65BC822C77\wuredir.xml|wuredir.xml <Guessed>,logfile_only,True,False
198172859,,Time Reversal Event,ModifiedTime : 2008-07-21 05:47:02 -> 2007-03-21 19:48:26(Zero in 100-nanoseconds)/ AccessedTime : 2008-07-21 05:47:02 -> 2007-03-21 19:48:26(Zero in 100-nanoseconds),wuredir.xml <Guessed>,\WINDOWS\SoftwareDistribution\WuRedir\9482F4B4-E343-43B6-B170-9A65BC822C77\wuredir.xml,,,,,Update Resident Value,0xB47,0,False,\WINDOWS\SoftwareDistribution\WuRedir\9482F4B4-E343-43B6-B170-9A65BC822C77\wuredir.xml|wuredir.xml <Guessed>,logfile_only,True,False
202158393,,Time Reversal Event,ModifiedTime : 2008-07-21 07:43:14 -> 2007-03-21 19:48:26(Zero in 100-nanoseconds)/ AccessedTime : 2008-07-21 07:43:14 -> 2007-03-21 19:48:26(Zero in 100-nanoseconds),wuredir.xml <Guessed>,\WINDOWS\SoftwareDistribution\WuRedir\9482F4B4-E343-43B6-B170-9A65BC822C77\wuredir.xml,,,,,Update Resident Value,0xB47,0,False,\WINDOWS\SoftwareDistribution\WuRedir\9482F4B4-E343-43B6-B170-9A65BC822C77\wuredir.xml|wuredir.xml <Guessed>,logfile_only,True,False
202388264,2008-07-21 07:49:00,Time Reversal Event,CreationTime : 2008-07-21 07:49:50 -> 2008-07-18 12:32:08(same as manifest.bin),permdata.box,\Documents and Settings\Jean\Local Settings\Application Data\AOL\AOLDiag\AOL\IMAppServiceUSGM\Win32\6.8.10.1\permdata.box,,,,,Update Resident Value,0x17C7,6,False,\Documents and Settings\Jean\Local Settings\Application Data\AOL\AOLDiag\AOL\IMAppServiceUSGM\Win32\6.8.10.1\permdata.box|permdata.box,logfile_only,True,False
202418834,2008-07-21 07:49:00,Time Reversal Event,CreationTime : 2008-07-21 07:49:54 -> 2008-07-18 12:32:08(same as manifest.bin),permdata.box,\Documents and Settings\Jean\Local Settings\Application Data\AOL\AOLDiag\AOL\IMAppServiceUSGM\Win32\6.8.10.1\permdata.box,,,,,Update Resident Value,0x17C8,0,False,\Documents and Settings\Jean\Local Settings\Application Data\AOL\AOLDiag\AOL\IMAppServiceUSGM\Win32\6.8.10.1\permdata.box|permdata.box,logfile_only,True,False
202419647,2008-07-21 07:49:00,Time Reversal Event,CreationTime : 2008-07-21 07:49:54 -> 2008-07-18 12:32:08,permdata.box,\Documents and Settings\Jean\Local Settings\Application Data\AOL\AOLDiag\AOL\IMAppServiceUSGM\Win32\6.8.10.1\permdata.box,,,,,Update Resident Value,0x17C7,6,False,\Documents and Settings\Jean\Local Settings\Application Data\AOL\AOLDiag\AOL\IMAppServiceUSGM\Win32\6.8.10.1\permdata.box|permdata.box,logfile_only,True,False
202420469,2008-07-21 07:49:00,Time Reversal Event,CreationTime : 2008-07-21 07:49:54 -> 2008-07-18 12:32:08(same as manifest.bin),permdata.box,\Documents and Settings\Jean\Local Settings\Application Data\AOL\AOLDiag\AOL\IMAppServiceUSGM\Win32\6.8.10.1\permdata.box,,,,,Update Resident Value,0x17C8,0,False,\Documents and Settings\Jean\Local Settings\Application Data\AOL\AOLDiag\AOL\IMAppServiceUSGM\Win32\6.8.10.1\permdata.box|permdata.box,logfile_only,True,False
202421173,,Time Reversal Event,CreationTime : 2008-07-21 07:49:55 -> 2008-07-18 12:32:08(same as manifest.bin),permdata.box,\Documents and Settings\Jean\Local Settings\Application Data\AOL\AOLDiag\AOL\IMAppServiceUSGM\Win32\6.8.10.1\permdata.box,,,,,Update Resident Value,0x17C7,6,False,\Documents and Settings\Jean\Local Settings\Application Data\AOL\AOLDiag\AOL\IMAppServiceUSGM\Win32\6.8.10.1\permdata.box|permdata.box,logfile_only,True,False
202424967,,Time Reversal Event,CreationTime : 2008-07-21 07:49:55 -> 2008-07-18 12:32:08(same as manifest.bin),permdata.box,\Documents and Settings\Jean\Local Settings\Application Data\AOL\AOLDiag\AOL\IMAppServiceUSGM\Win32\6.8.10.1\permdata.box,,,,,Update Resident Value,0x17C8,0,False,\Documents and Settings\Jean\Local Settings\Application Data\AOL\AOLDiag\AOL\IMAppServiceUSGM\Win32\6.8.10.1\permdata.box|permdata.box,logfile_only,True,False
202499872,,Time Reversal Event,CreationTime : 2008-07-21 07:51:18 -> 2008-07-18 12:32:08(same as manifest.bin),permdata.box,\Documents and Settings\Jean\Local Settings\Application Data\AOL\AOLDiag\AOL\IMAppServiceUSGM\Win32\6.8.10.1\permdata.box,,,,,Update Resident Value,0x17CB,0,False,\Documents and Settings\Jean\Local Settings\Application Data\AOL\AOLDiag\AOL\IMAppServiceUSGM\Win32\6.8.10.1\permdata.box|permdata.box,logfile_only,True,False
203139945,2008-07-21 08:46:00,Time Reversal Event,CreationTime : 2008-07-21 08:46:34 -> 2008-07-18 12:32:08(same as manifest.bin),permdata.box,\Documents and Settings\Jean\Local Settings\Application Data\AOL\AOLDiag\AOL\IMAppServiceUSGM\Win32\6.8.10.1\permdata.box,,,,,Update Resident Value,0x17CD,2,False,\Documents and Settings\Jean\Local Settings\Application Data\AOL\AOLDiag\AOL\IMAppServiceUSGM\Win32\6.8.10.1\permdata.box|permdata.box,logfile_only,True,False
203141252,,Time Reversal Event,CreationTime : 2008-07-21 08:46:34 -> 2008-07-18 12:32:08(same as manifest.bin),permdata.box,\Documents and Settings\Jean\Local Settings\Application Data\AOL\AOLDiag\AOL\IMAppServiceUSGM\Win32\6.8.10.1\permdata.box,,,,,Update Resident Value,0x17CB,0,False,\Documents and Settings\Jean\Local Settings\Application Data\AOL\AOLDiag\AOL\IMAppServiceUSGM\Win32\6.8.10.1\permdata.box|permdata.box,logfile_only,True,False
203361169,2008-07-21 09:17:00,Time Reversal Event,CreationTime : 2008-07-21 09:17:55 -> 2008-07-18 12:32:08(same as manifest.bin),permdata.box,\Documents and Settings\Jean\Local Settings\Application Data\AOL\AOLDiag\AOL\IMAppServiceUSGM\Win32\6.8.10.1\permdata.box,,,,,Update Resident Value,0x11CB,6,False,\Documents and Settings\Jean\Local Settings\Application Data\AOL\AOLDiag\AOL\IMAppServiceUSGM\Win32\6.8.10.1\permdata.box|permdata.box,logfile_only,True,False
203362592,,Time Reversal Event,CreationTime : 2008-07-21 09:17:56 -> 2008-07-18 12:32:08(same as manifest.bin),permdata.box,\Documents and Settings\Jean\Local Settings\Application Data\AOL\AOLDiag\AOL\IMAppServiceUSGM\Win32\6.8.10.1\permdata.box,,,,,Update Resident Value,0x17BA,2,False,\Documents and Settings\Jean\Local Settings\Application Data\AOL\AOLDiag\AOL\IMAppServiceUSGM\Win32\6.8.10.1\permdata.box|permdata.box,logfile_only,True,False
203371463,,Time Reversal Event,CreationTime : 2008-07-21 09:18:00 -> 2008-07-06 14:11:23/ ModifiedTime : 2008-07-21 09:18:01 -> 2008-07-20 07:49:08/ MFTModifiedTime : 2008-07-21 09:18:01 -> 2008-07-21 09:18:00/ AccessedTime : 2008-07-21 09:18:01 -> 2008-07-20 07:49:08,A0005035.ini,\System Volume Information\_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}\RP23\A0005035.ini,7/6/08 14:11,7/20/08 7:49,7/21/08 9:18,7/20/08 7:49,Update Resident Value,0x11CB,6,False,\System Volume Information\_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}\RP23\A0005035.ini|A0005035.ini,logfile_only,True,False
203447880,2008-07-21 09:22:00,Time Reversal Event,CreationTime : 2008-07-21 09:22:17 -> 2008-05-14 05:29:54/ ModifiedTime : 2008-07-21 09:22:17 -> 2008-07-20 07:50:12/ MFTModifiedTime : 2008-07-21 09:22:17 -> 2008-07-20 07:50:12/ AccessedTime : 2008-07-21 09:22:17 -> 2008-07-20 07:50:12,A0005036.ini,\System Volume Information\_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}\RP23\A0005036.ini,5/14/08 5:29,7/20/08 7:50,7/20/08 7:50,7/20/08 7:50,Update Resident Value,0x17CB,0,False,\System Volume Information\_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}\RP23\A0005036.ini|A0005036.ini,logfile_only,True,False
203449835,2008-07-21 09:22:00,Time Reversal Event,CreationTime : 2008-07-21 09:22:18 -> 2008-05-14 05:29:56/ ModifiedTime : 2008-07-21 09:22:18 -> 2008-07-20 07:50:13/ MFTModifiedTime : 2008-07-21 09:22:18 -> 2008-07-20 07:50:13/ AccessedTime : 2008-07-21 09:22:18 -> 2008-07-20 07:50:13,A0005037.ini,\System Volume Information\_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}\RP23\A0005037.ini,5/14/08 5:29,7/20/08 7:50,7/20/08 7:50,7/20/08 7:50,Update Resident Value,0x17CE,4,False,\System Volume Information\_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}\RP23\A0005037.ini|A0005037.ini,logfile_only,True,False
203452834,,Time Reversal Event,CreationTime : 2008-07-21 09:22:18 -> 2008-05-14 05:30:10/ ModifiedTime : 2008-07-21 09:22:18 -> 2008-07-20 07:50:14/ MFTModifiedTime : 2008-07-21 09:22:18 -> 2008-07-20 07:50:14/ AccessedTime : 2008-07-21 09:22:18 -> 2008-07-20 07:50:14,A0005038.ini,\System Volume Information\_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}\RP23\A0005038.ini,5/14/08 5:30,7/20/08 7:50,7/20/08 7:50,7/20/08 7:50,Update Resident Value,0x17CE,6,False,\System Volume Information\_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}\RP23\A0005038.ini|A0005038.ini,logfile_only,True,False
203540237,,Time Reversal Event,ModifiedTime : 2008-07-21 09:27:29 -> 2007-03-21 19:48:26(Zero in 100-nanoseconds)/ AccessedTime : 2008-07-21 09:27:29 -> 2007-03-21 19:48:26(Zero in 100-nanoseconds),wuredir.xml <Guessed>,\WINDOWS\SoftwareDistribution\WuRedir\9482F4B4-E343-43B6-B170-9A65BC822C77\wuredir.xml,,,,,Update Resident Value,0xB47,0,False,\WINDOWS\SoftwareDistribution\WuRedir\9482F4B4-E343-43B6-B170-9A65BC822C77\wuredir.xml|wuredir.xml <Guessed>,logfile_only,True,False
203561854,2008-07-21 09:30:00,Time Reversal Event,CreationTime : 2008-07-21 09:30:34 -> 2008-05-14 13:38:44/ ModifiedTime : 2008-07-21 09:30:34 -> 2008-05-14 13:38:44/ MFTModifiedTime : 2008-07-21 09:30:34 -> 2008-05-14 13:38:44,A0005043.ini,\System Volume Information\_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}\RP23\A0005043.ini,5/14/08 13:38,5/14/08 13:38,5/14/08 13:38,7/21/08 9:30,Update Resident Value,0xB15,6,False,\System Volume Information\_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}\RP23\A0005043.ini|A0005043.ini,logfile_only,True,False
203564011,,Time Reversal Event,CreationTime : 2008-07-21 09:30:34 -> 2008-05-14 13:38:44,xpti.dat,\Documents and Settings\Administrator\Application Data\Mozilla\Firefox\Profiles\towjib3x.default\xpti.dat,,,,,Update Resident Value,0xB16,4,False,\Documents and Settings\Administrator\Application Data\Mozilla\Firefox\Profiles\towjib3x.default\xpti.dat|xpti.dat,logfile_only,True,False
203587727,2008-07-21 09:30:00,Time Reversal Event,CreationTime : 2008-07-21 09:30:36 -> 2008-05-14 13:38:44,compreg.dat,\Documents and Settings\Administrator\Application Data\Mozilla\Firefox\Profiles\towjib3x.default\compreg.dat,,,,,Update Resident Value,0x1E44,2,False,\Documents and Settings\Administrator\Application Data\Mozilla\Firefox\Profiles\towjib3x.default\compreg.dat|compreg.dat,logfile_only,True,False
203595293,,Time Reversal Event,CreationTime : 2008-07-21 09:30:37 -> 2008-05-14 13:38:49,extensions.ini,\Documents and Settings\Administrator\Application Data\Mozilla\Firefox\Profiles\towjib3x.default\extensions.ini,,,,,Update Resident Value,0x1FC1,0,False,\Documents and Settings\Administrator\Application Data\Mozilla\Firefox\Profiles\towjib3x.default\extensions.ini|extensions.ini,logfile_only,True,False
203601847,2008-07-21 09:30:00,Time Reversal Event,CreationTime : 2008-07-21 09:30:37 -> 2008-05-14 13:38:49(same as A0005041.ini/ A0005046.ini/ A0005047.ini),A0005045.ini,\System Volume Information\_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}\RP23\A0005045.ini,5/14/08 13:38,7/21/08 9:30,7/21/08 9:30,7/21/08 9:30,Update Resident Value,0x1FCE,2,False,\System Volume Information\_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}\RP23\A0005045.ini|A0005045.ini,logfile_only,True,False
203602641,,Time Reversal Event,CreationTime : 2008-07-21 09:30:37 -> 2008-05-14 13:38:49,extensions.ini,\Documents and Settings\Administrator\Application Data\Mozilla\Firefox\Profiles\towjib3x.default\extensions.ini,,,,,Update Resident Value,0xB1B,2,False,\Documents and Settings\Administrator\Application Data\Mozilla\Firefox\Profiles\towjib3x.default\extensions.ini|extensions.ini,logfile_only,True,False
203608412,2008-07-21 09:30:00,Time Reversal Event,CreationTime : 2008-07-21 09:30:37 -> 2008-05-14 13:38:49(same as A0005041.ini/ A0005045.ini/ A0005047.ini),A0005046.ini,\System Volume Information\_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}\RP23\A0005046.ini,5/14/08 13:38,7/21/08 9:30,7/21/08 9:30,7/21/08 9:30,Update Resident Value,0x1FED,0,False,\System Volume Information\_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}\RP23\A0005046.ini|A0005046.ini,logfile_only,True,False
203608969,2008-07-21 09:30:00,Time Reversal Event,CreationTime : 2008-07-21 09:30:37 -> 2008-05-14 13:38:49,extensions.ini,\Documents and Settings\Administrator\Application Data\Mozilla\Firefox\Profiles\towjib3x.default\extensions.ini,,,,,Update Resident Value,0x1E45,4,False,\Documents and Settings\Administrator\Application Data\Mozilla\Firefox\Profiles\towjib3x.default\extensions.ini|extensions.ini,logfile_only,True,False
203612340,2008-07-21 09:30:00,Time Reversal Event,CreationTime : 2008-07-21 09:30:37 -> 2008-05-14 13:38:49(same as A0005041.ini/ A0005045.ini/ A0005046.ini),A0005047.ini,\System Volume Information\_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}\RP23\A0005047.ini,5/14/08 13:38,7/21/08 9:30,7/21/08 9:30,7/21/08 9:30,Update Resident Value,0x2002,4,False,\System Volume Information\_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}\RP23\A0005047.ini|A0005047.ini,logfile_only,True,False
203613013,2008-07-21 09:30:00,Time Reversal Event,CreationTime : 2008-07-21 09:30:37 -> 2008-05-14 13:38:49,extensions.ini,\Documents and Settings\Administrator\Application Data\Mozilla\Firefox\Profiles\towjib3x.default\extensions.ini,,,,,Update Resident Value,0xB1B,4,False,\Documents and Settings\Administrator\Application Data\Mozilla\Firefox\Profiles\towjib3x.default\extensions.ini|extensions.ini,logfile_only,True,False
203615138,2008-07-21 09:30:00,Time Reversal Event,CreationTime : 2008-07-21 09:30:38 -> 2008-07-21 09:30:36,permdata.box,\Documents and Settings\Administrator\Local Settings\Application Data\AOL\AOLDiag\AOL\IMAppServiceUSGM\Win32\6.8.10.1\permdata.box,,,,,Update Resident Value,0x393,0,False,\Documents and Settings\Administrator\Local Settings\Application Data\AOL\AOLDiag\AOL\IMAppServiceUSGM\Win32\6.8.10.1\permdata.box|permdata.box,logfile_only,True,False
203619996,,Time Reversal Event,CreationTime : 2008-07-21 09:30:34 -> 2008-05-14 13:38:44,xpti.dat,\Documents and Settings\Administrator\Application Data\Mozilla\Firefox\Profiles\towjib3x.default\xpti.dat,,,,,Update Resident Value,0xB16,4,False,\Documents and Settings\Administrator\Application Data\Mozilla\Firefox\Profiles\towjib3x.default\xpti.dat|xpti.dat,logfile_only,True,False
203622592,,Time Reversal Event,CreationTime : 2008-07-21 09:30:36 -> 2008-05-14 13:38:44,compreg.dat,\Documents and Settings\Administrator\Application Data\Mozilla\Firefox\Profiles\towjib3x.default\compreg.dat,,,,,Update Resident Value,0xB1B,2,False,\Documents and Settings\Administrator\Application Data\Mozilla\Firefox\Profiles\towjib3x.default\compreg.dat|compreg.dat,logfile_only,True,False
203666384,2008-07-21 09:30:00,Time Reversal Event,CreationTime : 2008-07-21 09:30:56 -> 2008-07-21 09:30:36,permdata.box,\Documents and Settings\Administrator\Local Settings\Application Data\AOL\AOLDiag\AOL\IMAppServiceUSGM\Win32\6.8.10.1\permdata.box,,,,,Update Resident Value,0x393,4,False,\Documents and Settings\Administrator\Local Settings\Application Data\AOL\AOLDiag\AOL\IMAppServiceUSGM\Win32\6.8.10.1\permdata.box|permdata.box,logfile_only,True,False
203667250,,Time Reversal Event,CreationTime : 2008-07-21 09:30:56 -> 2008-07-21 09:30:36,permdata.box,\Documents and Settings\Administrator\Local Settings\Application Data\AOL\AOLDiag\AOL\IMAppServiceUSGM\Win32\6.8.10.1\permdata.box,,,,,Update Resident Value,0x393,0,False,\Documents and Settings\Administrator\Local Settings\Application Data\AOL\AOLDiag\AOL\IMAppServiceUSGM\Win32\6.8.10.1\permdata.box|permdata.box,logfile_only,True,False
203672715,,Time Reversal Event,CreationTime : 2008-07-21 09:31:01 -> 2008-05-14 05:30:11/ ModifiedTime : 2008-07-21 09:31:01 -> 2008-07-20 08:00:38/ AccessedTime : 2008-07-21 09:31:01 -> 2008-07-20 08:00:38,A0005048.ini,\System Volume Information\_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}\RP23\A0005048.ini,5/14/08 5:30,7/20/08 8:00,7/21/08 9:31,7/20/08 8:00,Update Resident Value,0x393,4,False,\System Volume Information\_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}\RP23\A0005048.ini|A0005048.ini,logfile_only,True,False
203687055,2008-07-21 09:31:00,Time Reversal Event,ModifiedTime : 2008-07-21 09:31:04 -> 2008-07-21 09:18:00/ MFTModifiedTime : 2008-07-21 09:31:04 -> 2008-07-21 09:17:56,_REGISTRY_USER_NTUSER_S-1-5-21-484763869-796845957-839522115-1004,\System Volume Information\_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}\RP24\snapshot\_REGISTRY_USER_NTUSER_S-1-5-21-484763869-796845957-839522115-1004,,,,,Update Resident Value,0x200B,6,False,\System Volume Information\_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}\RP24\snapshot\_REGISTRY_USER_NTUSER_S-1-5-21-484763869-796845957-839522115-1004|_REGISTRY_USER_NTUSER_S-1-5-21-484763869-796845957-839522115-1004,logfile_only,True,False
203687154,2008-07-21 09:31:00,Time Reversal Event,CreationTime : 2008-07-21 09:31:04 -> 2008-07-06 14:11:22,_REGISTRY_USER_NTUSER_S-1-5-21-484763869-796845957-839522115-1004,\System Volume Information\_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}\RP24\snapshot\_REGISTRY_USER_NTUSER_S-1-5-21-484763869-796845957-839522115-1004,,,,,Update Resident Value,0x200B,6,False,\System Volume Information\_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}\RP24\snapshot\_REGISTRY_USER_NTUSER_S-1-5-21-484763869-796845957-839522115-1004|_REGISTRY_USER_NTUSER_S-1-5-21-484763869-796845957-839522115-1004,logfile_only,True,False
203687727,2008-07-21 09:31:00,Time Reversal Event,ModifiedTime : 2008-07-21 09:31:04 -> 2008-07-11 13:05:24/ MFTModifiedTime : 2008-07-21 09:31:04 -> 2008-07-10 16:01:31,_REGISTRY_USER_USRCLASS_S-1-5-21-484763869-796845957-839522115-1004,\System Volume Information\_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}\RP24\snapshot\_REGISTRY_USER_USRCLASS_S-1-5-21-484763869-796845957-839522115-1004,,,,,Update Resident Value,0x200C,0,False,\System Volume Information\_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}\RP24\snapshot\_REGISTRY_USER_USRCLASS_S-1-5-21-484763869-796845957-839522115-1004|_REGISTRY_USER_USRCLASS_S-1-5-21-484763869-796845957-839522115-1004,logfile_only,True,False
203687826,2008-07-21 09:31:00,Time Reversal Event,CreationTime : 2008-07-21 09:31:04 -> 2008-07-06 14:11:23,_REGISTRY_USER_USRCLASS_S-1-5-21-484763869-796845957-839522115-1004,\System Volume Information\_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}\RP24\snapshot\_REGISTRY_USER_USRCLASS_S-1-5-21-484763869-796845957-839522115-1004,,,,,Update Resident Value,0x200C,0,False,\System Volume Information\_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}\RP24\snapshot\_REGISTRY_USER_USRCLASS_S-1-5-21-484763869-796845957-839522115-1004|_REGISTRY_USER_USRCLASS_S-1-5-21-484763869-796845957-839522115-1004,logfile_only,True,False
203688340,2008-07-21 09:31:00,Time Reversal Event,ModifiedTime : 2008-07-21 09:31:04 -> 2008-07-12 14:04:40/ MFTModifiedTime : 2008-07-21 09:31:04 -> 2008-07-12 14:04:36,_REGISTRY_USER_NTUSER_S-1-5-21-484763869-796845957-839522115-1007,\System Volume Information\_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}\RP24\snapshot\_REGISTRY_USER_NTUSER_S-1-5-21-484763869-796845957-839522115-1007,,,,,Update Resident Value,0x200C,2,False,\System Volume Information\_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}\RP24\snapshot\_REGISTRY_USER_NTUSER_S-1-5-21-484763869-796845957-839522115-1007|_REGISTRY_USER_NTUSER_S-1-5-21-484763869-796845957-839522115-1007,logfile_only,True,False
203688524,2008-07-21 09:31:00,Time Reversal Event,CreationTime : 2008-07-21 09:31:04 -> 2008-07-12 11:02:48,_REGISTRY_USER_NTUSER_S-1-5-21-484763869-796845957-839522115-1007,\System Volume Information\_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}\RP24\snapshot\_REGISTRY_USER_NTUSER_S-1-5-21-484763869-796845957-839522115-1007,,,,,Update Resident Value,0x200C,2,False,\System Volume Information\_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}\RP24\snapshot\_REGISTRY_USER_NTUSER_S-1-5-21-484763869-796845957-839522115-1007|_REGISTRY_USER_NTUSER_S-1-5-21-484763869-796845957-839522115-1007,logfile_only,True,False
203689040,2008-07-21 09:31:00,Time Reversal Event,ModifiedTime : 2008-07-21 09:31:04 -> 2008-07-12 14:04:40/ MFTModifiedTime : 2008-07-21 09:31:04 -> 2008-07-12 11:05:42,_REGISTRY_USER_USRCLASS_S-1-5-21-484763869-796845957-839522115-1007,\System Volume Information\_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}\RP24\snapshot\_REGISTRY_USER_USRCLASS_S-1-5-21-484763869-796845957-839522115-1007,,,,,Update Resident Value,0x200C,4,False,\System Volume Information\_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}\RP24\snapshot\_REGISTRY_USER_USRCLASS_S-1-5-21-484763869-796845957-839522115-1007|_REGISTRY_USER_USRCLASS_S-1-5-21-484763869-796845957-839522115-1007,logfile_only,True,False
203689198,2008-07-21 09:31:00,Time Reversal Event,CreationTime : 2008-07-21 09:31:04 -> 2008-07-12 11:02:49,_REGISTRY_USER_USRCLASS_S-1-5-21-484763869-796845957-839522115-1007,\System Volume Information\_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}\RP24\snapshot\_REGISTRY_USER_USRCLASS_S-1-5-21-484763869-796845957-839522115-1007,,,,,Update Resident Value,0x200C,4,False,\System Volume Information\_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}\RP24\snapshot\_REGISTRY_USER_USRCLASS_S-1-5-21-484763869-796845957-839522115-1007|_REGISTRY_USER_USRCLASS_S-1-5-21-484763869-796845957-839522115-1007,logfile_only,True,False
