LSN,EventTime(UTC+8),Event,Detail,File/Directory Name,Full Path,CreationTime,ModifiedTime,MFTModifiedTime,AccessedTime,Redo,Target VCN,Cluster Index
6276018211,,# Check Point,,,,,,,,Compensation Log Record,0x76146503,1
6276018328,,Updating Modified Time,ModifiedTime : 2023-01-04 21:34:56 -> 2023-01-04 21:35:08,current_log.txt <Guessed>,\Users\blueangel\AppData\Local\CiscoSpark\current_log.txt,,,,,Update Resident Value,0x6C15,4
6276018383,,Updating Modified Time,ModifiedTime : 2023-01-04 21:34:51 -> 2023-01-04 21:35:03,logs.txt <Guessed>,\Users\blueangel\AppData\Roaming\Microsoft\Teams\logs.txt,,,,,Update Resident Value,0x209D,6
6276018438,,Updating Modified Time,ModifiedTime : 2023-01-04 21:35:08 -> 2023-01-04 21:35:14,current_log.txt <Guessed>,\Users\blueangel\AppData\Local\CiscoSpark\current_log.txt,,,,,Update Resident Value,0x6C15,4
6276018557,1/4/23 14:14,File Creation,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,1/4/23 14:14,1/4/23 21:35,1/4/23 21:35,1/4/23 21:35,Initialize File Record Segment,0x22C5,2
6276018792,1/4/23 14:14,Writing Content of Resident File,Writing Size : 512,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,,,,,Update Resident Value,0x22C5,2
6276019426,1/4/23 14:14,Updating Modified Time,ModifiedTime : 2023-01-04 21:35:09 -> 2023-01-04 21:35:14,UDB-User23847576+RemoteGraph.sql <Guessed>,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql,,,,,Update Resident Value,0x6E75,2
6276019813,1/4/23 14:14,File Deletion,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,1/4/23 14:14,1/4/23 21:35,1/4/23 21:35,1/4/23 21:35,Deallocate File Record Segment,0x22C5,2
6276019998,1/4/23 14:14,File Creation,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,1/4/23 14:14,1/4/23 21:35,1/4/23 21:35,1/4/23 21:35,Initialize File Record Segment,0x22C5,2
6276020233,1/4/23 14:14,Writing Content of Resident File,Writing Size : 512,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,,,,,Update Resident Value,0x22C5,2
6276021256,1/4/23 14:14,File Deletion,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,1/4/23 14:14,1/4/23 21:35,1/4/23 21:35,1/4/23 21:35,Deallocate File Record Segment,0x22C5,2
6276031894,1/4/23 14:14,# Check Point,,,,,,,,Compensation Log Record,0x76149A7E,1
6276031931,1/4/23 14:14,Updating Modified Time,ModifiedTime : 2023-01-04 21:35:03 -> 2023-01-04 21:35:15,logs.txt <Guessed>,\Users\blueangel\AppData\Roaming\Microsoft\Teams\logs.txt,,,,,Update Resident Value,0x209D,6
6276032058,1/4/23 14:14,File Creation,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,1/4/23 14:14,1/4/23 21:35,1/4/23 21:35,1/4/23 21:35,Initialize File Record Segment,0x22C5,2
6276032285,1/4/23 14:14,Writing Content of Resident File,Writing Size : 512,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,,,,,Update Resident Value,0x22C5,2
6276032920,1/4/23 14:14,Updating Modified Time,ModifiedTime : 2023-01-04 21:35:14 -> 2023-01-04 21:35:18,UDB-User23847576+RemoteGraph.sql <Guessed>,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql,,,,,Update Resident Value,0x6E75,2
6276033308,1/4/23 14:14,File Deletion,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,1/4/23 14:14,1/4/23 21:35,1/4/23 21:35,1/4/23 21:35,Deallocate File Record Segment,0x22C5,2
6276033493,1/4/23 14:14,File Creation,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,1/4/23 14:14,1/4/23 21:35,1/4/23 21:35,1/4/23 21:35,Initialize File Record Segment,0x22C5,2
6276033728,1/4/23 14:14,Writing Content of Resident File,Writing Size : 512,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,,,,,Update Resident Value,0x22C5,2
6276034363,1/4/23 14:14,Updating Modified Time,ModifiedTime : 2023-01-04 21:35:18 -> 2023-01-04 21:35:19,UDB-User23847576+RemoteGraph.sql <Guessed>,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql,,,,,Update Resident Value,0x6E75,2
6276034749,1/4/23 14:14,File Deletion,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,1/4/23 14:14,1/4/23 21:35,1/4/23 21:35,1/4/23 21:35,Deallocate File Record Segment,0x22C5,2
6276034934,1/4/23 14:14,File Creation,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,1/4/23 14:14,1/4/23 21:35,1/4/23 21:35,1/4/23 21:35,Initialize File Record Segment,0x22C5,2
6276035169,1/4/23 14:14,Writing Content of Resident File,Writing Size : 512,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,,,,,Update Resident Value,0x22C5,2
6276036238,1/4/23 14:14,File Deletion,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,1/4/23 14:14,1/4/23 21:35,1/4/23 21:35,1/4/23 21:35,Deallocate File Record Segment,0x22C5,2
6276036423,1/4/23 14:14,File Creation,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,1/4/23 14:14,1/4/23 21:35,1/4/23 21:35,1/4/23 21:35,Initialize File Record Segment,0x22C5,2
6276036658,1/4/23 14:14,Writing Content of Resident File,Writing Size : 512,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,,,,,Update Resident Value,0x22C5,2
6276037294,1/4/23 14:14,Updating Modified Time,ModifiedTime : 2023-01-04 21:35:19 -> 2023-01-04 21:35:24,UDB-User23847576+RemoteGraph.sql <Guessed>,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql,,,,,Update Resident Value,0x6E75,2
6276037680,1/4/23 14:14,File Deletion,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,1/4/23 14:14,1/4/23 21:35,1/4/23 21:35,1/4/23 21:35,Deallocate File Record Segment,0x22C5,2
6276037865,1/4/23 14:14,File Creation,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,1/4/23 14:14,1/4/23 21:35,1/4/23 21:35,1/4/23 21:35,Initialize File Record Segment,0x22C5,2
6276038092,1/4/23 14:14,Writing Content of Resident File,Writing Size : 512,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,,,,,Update Resident Value,0x22C5,2
6276039112,1/4/23 14:14,File Deletion,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,1/4/23 14:14,1/4/23 21:35,1/4/23 21:35,1/4/23 21:35,Deallocate File Record Segment,0x22C5,2
6276039305,1/4/23 14:14,File Creation,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,1/4/23 14:14,1/4/23 21:35,1/4/23 21:35,1/4/23 21:35,Initialize File Record Segment,0x22C5,2
6276039532,1/4/23 14:14,Writing Content of Resident File,Writing Size : 512,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,,,,,Update Resident Value,0x22C5,2
6276040554,1/4/23 14:14,File Deletion,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,1/4/23 14:14,1/4/23 21:35,1/4/23 21:35,1/4/23 21:35,Deallocate File Record Segment,0x22C5,2
6276040747,1/4/23 14:14,File Creation,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,1/4/23 14:14,1/4/23 21:35,1/4/23 21:35,1/4/23 21:35,Initialize File Record Segment,0x22C5,2
6276040974,1/4/23 14:14,Writing Content of Resident File,Writing Size : 512,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,,,,,Update Resident Value,0x22C5,2
6276041999,1/4/23 14:14,File Deletion,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,1/4/23 14:14,1/4/23 21:35,1/4/23 21:35,1/4/23 21:35,Deallocate File Record Segment,0x22C5,2
6276052488,1/4/23 14:14,# Check Point,,,,,,,,Compensation Log Record,0x7614EB85,1
6276052589,1/4/23 14:14,File Creation,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,1/4/23 14:14,1/4/23 21:35,1/4/23 21:35,1/4/23 21:35,Initialize File Record Segment,0x22C5,2
6276052816,1/4/23 14:14,Writing Content of Resident File,Writing Size : 512,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,,,,,Update Resident Value,0x22C5,2
6276053450,1/4/23 14:14,Updating Modified Time,ModifiedTime : 2023-01-04 21:35:24 -> 2023-01-04 21:35:25,UDB-User23847576+RemoteGraph.sql <Guessed>,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql,,,,,Update Resident Value,0x6E75,2
