LSN,EventTime(UTC+8),Event,Detail,File/Directory Name,Full Path,CreationTime,ModifiedTime,MFTModifiedTime,AccessedTime,Redo,Target VCN,Cluster Index
4398103326,,# Check Point,,,,,,,,Compensation Log Record,0x625AC3C,1
4398103459,,,,vmware-vmvss-SYSTEM.log,\Windows\Temp\vmware-vmvss-SYSTEM.log,12/16/2022 17:19:16.1916,12/29/2022 23:35:49.3549,12/29/2022 23:35:49.3549,12/29/2022 23:35:49.3549,Update Resident Value,0xC,4
4398103566,12/29/2022 23:38:49.3849,File Creation,,config.dbx-journal,\Users\blueangel\AppData\Local\Dropbox\instance1\config.dbx-journal,12/29/2022 23:38:49.3849,12/29/2022 23:38:49.3849,12/29/2022 23:38:49.3849,12/29/2022 23:38:49.3849,Initialize File Record Segment,0x177,0
4398103775,,Writing Content of Resident File,Writing Size : 512,config.dbx-journal,\Users\blueangel\AppData\Local\Dropbox\instance1\config.dbx-journal,,,,,Update Resident Value,0x177,0
4398104335,,Updating Modified Time,ModifiedTime : 2022-12-29 23:38:32 -> 2022-12-29 23:38:49,config.dbx <Guessed>,\Users\blueangel\AppData\Local\Dropbox\instance1\config.dbx,,,,,Update Resident Value,0x14B08,0
4398104570,,File Deletion,,config.dbx-journal,\Users\blueangel\AppData\Local\Dropbox\instance1\config.dbx-journal,12/29/2022 23:38:49.3849,12/29/2022 23:38:49.3849,12/29/2022 23:38:49.3849,12/29/2022 23:38:49.3849,Deallocate File Record Segment,0x177,0
4398104737,,File Deletion,,1-46c5-63adb43c,\Users\blueangel\AppData\Local\Dropbox\logs\1\1-46c5-63adb43c,12/29/2022 23:38:31.3831,12/29/2022 23:38:31.3831,12/29/2022 23:38:31.3831,12/29/2022 23:38:31.3831,Deallocate File Record Segment,0x20FC,0
4398104997,,Updating Modified Time,ModifiedTime : 2022-12-29 23:35:25 -> 2022-12-29 23:38:49,Microsoft-Windows-Storsvc%4Diagnostic.evtx <Guessed>,\Windows\System32\winevt\Logs\Microsoft-Windows-Storsvc%4Diagnostic.evtx,,,,,Update Resident Value,0x6676,0
4398105171,,Updating Modified Time,ModifiedTime : 2022-12-29 22:17:40 -> 2022-12-29 23:38:49,VSSVC.EXE-6C8F0C66.pf <Guessed>,\Windows\Prefetch\VSSVC.EXE-6C8F0C66.pf,,,,,Update Resident Value,0x2046,0
4398105487,,Writing Content of Non-Resident File,Data Runs(in Volume) : 46704(7),,,,,,,Update Mapping Pairs,0x2046,0
4398105767,,Updating Modified Time,ModifiedTime : 2022-12-29 23:35:25 -> 2022-12-29 23:38:49,Microsoft-Client-Licensing-Platform%4Admin.evtx <Guessed>,\Windows\System32\winevt\Logs\Microsoft-Client-Licensing-Platform%4Admin.evtx,,,,,Update Resident Value,0x23EA,2
4398105936,12/29/2022 23:36:39.3639,File Creation,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/29/2022 23:36:39.3639,12/29/2022 23:38:49.3849,12/29/2022 23:38:49.3849,12/29/2022 23:38:49.3849,Initialize File Record Segment,0x177,0
4398106171,,Writing Content of Resident File,Writing Size : 512,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,,,,,Update Resident Value,0x177,0
4398106795,,Updating Modified Time,ModifiedTime : 2022-12-29 23:38:48 -> 2022-12-29 23:38:49,UDB-User23847576+RemoteGraph.sql <Guessed>,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql,,,,,Update Resident Value,0x6E75,2
4398107181,,File Deletion,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/29/2022 23:36:39.3639,12/29/2022 23:38:49.3849,12/29/2022 23:38:49.3849,12/29/2022 23:38:49.3849,Deallocate File Record Segment,0x177,0
4398107366,12/29/2022 23:36:39.3639,File Creation,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/29/2022 23:36:39.3639,12/29/2022 23:38:49.3849,12/29/2022 23:38:49.3849,12/29/2022 23:38:49.3849,Initialize File Record Segment,0x177,0
4398107593,,Writing Content of Resident File,Writing Size : 512,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,,,,,Update Resident Value,0x177,0
4398108599,,File Deletion,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/29/2022 23:36:39.3639,12/29/2022 23:38:49.3849,12/29/2022 23:38:49.3849,12/29/2022 23:38:49.3849,Deallocate File Record Segment,0x177,0
4398108792,12/29/2022 23:36:39.3639,File Creation,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/29/2022 23:36:39.3639,12/29/2022 23:38:49.3849,12/29/2022 23:38:49.3849,12/29/2022 23:38:49.3849,Initialize File Record Segment,0x177,0
4398109019,,Writing Content of Resident File,Writing Size : 512,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,,,,,Update Resident Value,0x177,0
4398110011,,File Deletion,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/29/2022 23:36:39.3639,12/29/2022 23:38:49.3849,12/29/2022 23:38:49.3849,12/29/2022 23:38:49.3849,Deallocate File Record Segment,0x177,0
4398110196,12/29/2022 23:36:39.3639,File Creation,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/29/2022 23:36:39.3639,12/29/2022 23:38:49.3849,12/29/2022 23:38:49.3849,12/29/2022 23:38:49.3849,Initialize File Record Segment,0x177,0
4398110431,,Writing Content of Resident File,Writing Size : 512,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,,,,,Update Resident Value,0x177,0
4398111451,,File Deletion,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/29/2022 23:36:39.3639,12/29/2022 23:38:49.3849,12/29/2022 23:38:49.3849,12/29/2022 23:38:49.3849,Deallocate File Record Segment,0x177,0
4398111658,,Updating Modified Time,ModifiedTime : 2022-12-29 22:18:01 -> 2022-12-29 23:38:50,SVCHOST.EXE-74450C2F.pf <Guessed>,\Windows\Prefetch\SVCHOST.EXE-74450C2F.pf,,,,,Update Resident Value,0x683E,4
4398111931,,Writing Content of Non-Resident File,Data Runs(in Volume) : 5139460(4),,,,,,,Update Mapping Pairs,0x683E,4
4398112167,,Updating Modified Time,ModifiedTime : 2022-12-29 23:38:44 -> 2022-12-29 23:38:50,current_log.txt <Guessed>,\Users\blueangel\AppData\Local\CiscoSpark\current_log.txt,,,,,Update Resident Value,0x6C15,4
4398112294,,Updating Modified Time,ModifiedTime : 2022-12-29 23:37:17 -> 2022-12-29 23:38:52,000006.log <Guessed>,\Users\blueangel\AppData\Roaming\Microsoft\Teams\Partitions\msa\IndexedDB\https_teams.live.com_0.indexeddb.leveldb\000006.log,,,,,Update Resident Value,0x17129,4
4398112386,,Writing Content of Non-Resident File,Data Runs(in Volume) : 38721(16),,,,,,,Update Mapping Pairs,0x155DD,4
4398112427,,Updating Modified Time,ModifiedTime : 2022-12-29 23:38:40 -> 2022-12-29 23:38:52,logs.txt <Guessed>,\Users\blueangel\AppData\Roaming\Microsoft\Teams\logs.txt,,,,,Update Resident Value,0x209D,6
4398112482,,Updating Modified Time,ModifiedTime : 2022-12-29 23:37:41 -> 2022-12-29 23:38:52,QuotaManager-journal <Guessed>,\Users\blueangel\AppData\Roaming\Microsoft\Teams\Partitions\msa\QuotaManager-journal,,,,,Update Resident Value,0x155DD,4
4398112548,,Updating Modified Time,ModifiedTime : 2022-12-29 23:38:37 -> 2022-12-29 23:38:53,HxStore.hxd <Guessed>,\Users\blueangel\AppData\Local\Packages\microsoft.windowscommunicationsapps_8wekyb3d8bbwe\LocalState\HxStore.hxd,,,,,Update Resident Value,0xC6,4
4398112885,12/29/2022 23:36:39.3639,File Creation,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/29/2022 23:36:39.3639,12/29/2022 23:38:54.3854,12/29/2022 23:38:54.3854,12/29/2022 23:38:54.3854,Initialize File Record Segment,0x177,0
4398113112,,Writing Content of Resident File,Writing Size : 512,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,,,,,Update Resident Value,0x177,0
4398113805,,Updating Modified Time,ModifiedTime : 2022-12-29 23:38:49 -> 2022-12-29 23:38:54,UDB-User23847576+RemoteGraph.sql <Guessed>,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql,,,,,Update Resident Value,0x6E75,2
4398114183,,File Deletion,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/29/2022 23:36:39.3639,12/29/2022 23:38:54.3854,12/29/2022 23:38:54.3854,12/29/2022 23:38:54.3854,Deallocate File Record Segment,0x177,0
4398114381,12/29/2022 23:36:39.3639,File Creation,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/29/2022 23:36:39.3639,12/29/2022 23:38:54.3854,12/29/2022 23:38:54.3854,12/29/2022 23:38:54.3854,Initialize File Record Segment,0x177,0
4398114608,,Writing Content of Resident File,Writing Size : 512,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,,,,,Update Resident Value,0x177,0
4398115628,,File Deletion,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/29/2022 23:36:39.3639,12/29/2022 23:38:54.3854,12/29/2022 23:38:54.3854,12/29/2022 23:38:54.3854,Deallocate File Record Segment,0x177,0
4398115807,,Updating Modified Time,ModifiedTime : 2022-12-29 23:34:42 -> 2022-12-29 23:38:55,RUNTIMEBROKER.EXE-67310593.pf <Guessed>,\Windows\Prefetch\RUNTIMEBROKER.EXE-67310593.pf,,,,,Update Resident Value,0x68B1,2
4398116082,,Writing Content of Non-Resident File,Data Runs(in Volume) : 50453(2),,,,,,,Update Mapping Pairs,0x68B1,2
4398116360,,Updating Modified Time,ModifiedTime : 2022-12-29 23:34:42 -> 2022-12-29 23:38:55,RUNTIMEBROKER.EXE-D2EE0952.pf <Guessed>,\Windows\Prefetch\RUNTIMEBROKER.EXE-D2EE0952.pf,,,,,Update Resident Value,0x6815,6
4398116627,,Writing Content of Non-Resident File,Data Runs(in Volume) : 13906(6),,,,,,,Update Mapping Pairs,0x6815,6
4398116848,,Writing Content of Non-Resident File,Data Runs(in Volume) : 42648(16),,,,,,,Update Mapping Pairs,0x1547E,6
4398116911,,Updating Modified Time,ModifiedTime : 2022-12-29 23:37:41 -> 2022-12-29 23:38:55,Cookies-journal <Guessed>,\Users\blueangel\AppData\Roaming\Microsoft\Teams\Partitions\msa\Cookies-journal,,,,,Update Resident Value,0x1547E,6
4398117071,,Updating Modified Time,ModifiedTime : 2022-12-29 23:37:41 -> 2022-12-29 23:38:55,Cookies <Guessed>,\Users\blueangel\AppData\Roaming\Microsoft\Teams\Partitions\msa\Cookies,,,,,Update Resident Value,0x1547E,4
4398123481,,# Check Point,,,,,,,,Compensation Log Record,0x625FB97,1
