LSN,EventTime(UTC+8),Event,Detail,File/Directory Name,Full Path,CreationTime,ModifiedTime,MFTModifiedTime,AccessedTime,Redo,Target VCN,Cluster Index
10007176579,,# Check Point,,,,,,,,Compensation Log Record,0x54796115,2
10007176680,12/25/2023 22:26:43.2643,File Creation,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/25/2023 22:26:43.2643,12/25/2023 22:27:33.2733,12/25/2023 22:27:33.2733,12/25/2023 22:27:33.2733,Initialize File Record Segment,0x2FBA,2
10007176915,12/25/2023 22:26:43.2643,Writing Content of Resident File,Writing Size : 512,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,,,,,Update Resident Value,0x2FBA,2
10007177549,12/25/2023 22:26:43.2643,Updating Modified Time,ModifiedTime : 2023-12-25 22:27:28 -> 2023-12-25 22:27:33,UDB-User23847576+RemoteGraph.sql <Guessed>,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql,,,,,Update Resident Value,0x6E75,2
10007177935,12/25/2023 22:26:43.2643,File Deletion,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/25/2023 22:26:43.2643,12/25/2023 22:27:33.2733,12/25/2023 22:27:33.2733,12/25/2023 22:27:33.2733,Deallocate File Record Segment,0x2FBA,2
10007178120,12/25/2023 22:26:43.2643,File Creation,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/25/2023 22:26:43.2643,12/25/2023 22:27:34.2734,12/25/2023 22:27:34.2734,12/25/2023 22:27:34.2734,Initialize File Record Segment,0x2FBA,2
10007178405,,Writing Content of Resident File,Writing Size : 512,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,,,,,Update Resident Value,0x2FBA,2
10007179028,,Updating Modified Time,ModifiedTime : 2023-12-25 22:27:33 -> 2023-12-25 22:27:34,UDB-User23847576+RemoteGraph.sql <Guessed>,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql,,,,,Update Resident Value,0x6E75,2
10007179414,,File Deletion,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/25/2023 22:26:43.2643,12/25/2023 22:27:34.2734,12/25/2023 22:27:34.2734,12/25/2023 22:27:34.2734,Deallocate File Record Segment,0x2FBA,2
10007179595,12/25/2023 22:27:34.2734,File Creation,,LocalSettingsDB.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\LocalSettingsDB.sql-journal,12/25/2023 22:27:34.2734,12/25/2023 22:27:34.2734,12/25/2023 22:27:34.2734,12/25/2023 22:27:34.2734,Initialize File Record Segment,0x2FBA,2
