LSN,EventTime(UTC+8),Event,Detail,File/Directory Name,Full Path,CreationTime,ModifiedTime,MFTModifiedTime,AccessedTime,Redo,Target VCN,Cluster Index
6278121612,,# Check Point,,,,,,,,Compensation Log Record,0x76347D6C,1
6278121713,01/04/2023 14:14:52.1452,File Creation,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,01/04/2023 14:14:52.1452,01/04/2023 21:50:27.5027,01/04/2023 21:50:27.5027,01/04/2023 21:50:27.5027,Initialize File Record Segment,0x22DB,4
6278121940,01/04/2023 14:14:52.1452,Writing Content of Resident File,Writing Size : 512,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,,,,,Update Resident Value,0x22DB,4
6278122582,01/04/2023 14:14:52.1452,Updating Modified Time,ModifiedTime : 2023-01-04 21:50:23 -> 2023-01-04 21:50:27,UDB-User23847576+RemoteGraph.sql <Guessed>,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql,,,,,Update Resident Value,0x6E75,2
6278122960,01/04/2023 14:14:52.1452,File Deletion,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,01/04/2023 14:14:52.1452,01/04/2023 21:50:27.5027,01/04/2023 21:50:27.5027,01/04/2023 21:50:27.5027,Deallocate File Record Segment,0x22DB,4
6278123156,01/04/2023 14:14:52.1452,File Creation,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,01/04/2023 14:14:52.1452,01/04/2023 21:50:28.5028,01/04/2023 21:50:28.5028,01/04/2023 21:50:28.5028,Initialize File Record Segment,0x22DB,4
6278123383,01/04/2023 14:14:52.1452,Writing Content of Resident File,Writing Size : 512,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,,,,,Update Resident Value,0x22DB,4
6278124020,01/04/2023 14:14:52.1452,Updating Modified Time,ModifiedTime : 2023-01-04 21:50:27 -> 2023-01-04 21:50:28,UDB-User23847576+RemoteGraph.sql <Guessed>,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql,,,,,Update Resident Value,0x6E75,2
6278124406,01/04/2023 14:14:52.1452,File Deletion,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,01/04/2023 14:14:52.1452,01/04/2023 21:50:28.5028,01/04/2023 21:50:28.5028,01/04/2023 21:50:28.5028,Deallocate File Record Segment,0x22DB,4
6278124599,01/04/2023 14:14:52.1452,File Creation,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,01/04/2023 14:14:52.1452,01/04/2023 21:50:28.5028,01/04/2023 21:50:28.5028,01/04/2023 21:50:28.5028,Initialize File Record Segment,0x22DB,4
6278124826,01/04/2023 14:14:52.1452,Writing Content of Resident File,Writing Size : 512,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,,,,,Update Resident Value,0x22DB,4
6278125464,01/04/2023 14:14:52.1452,Updating Modified Time,ModifiedTime : 2023-01-04 21:50:28 -> 2023-01-04 21:50:29,UDB-User23847576+RemoteGraph.sql <Guessed>,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql,,,,,Update Resident Value,0x6E75,2
6278125854,01/04/2023 14:14:52.1452,File Deletion,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,01/04/2023 14:14:52.1452,01/04/2023 21:50:28.5028,01/04/2023 21:50:28.5028,01/04/2023 21:50:28.5028,Deallocate File Record Segment,0x22DB,4
6278125975,01/04/2023 14:14:52.1452,Updating Modified Time,ModifiedTime : 2023-01-04 21:50:17 -> 2023-01-04 21:50:29,current_log.txt <Guessed>,\Users\blueangel\AppData\Local\CiscoSpark\current_log.txt,,,,,Update Resident Value,0x6C15,4
6278126030,01/04/2023 14:14:52.1452,Updating Modified Time,ModifiedTime : 2023-01-04 21:50:15 -> 2023-01-04 21:50:27,logs.txt <Guessed>,\Users\blueangel\AppData\Roaming\Microsoft\Teams\logs.txt,,,,,Update Resident Value,0x209D,6
6278136610,01/04/2023 14:14:52.1452,# Check Point,,,,,,,,Compensation Log Record,0x7634B80A,1
6278136711,01/04/2023 14:14:52.1452,File Creation,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,01/04/2023 14:14:52.1452,01/04/2023 21:50:34.5034,01/04/2023 21:50:34.5034,01/04/2023 21:50:34.5034,Initialize File Record Segment,0x22DB,4
6278136948,01/04/2023 14:14:52.1452,Writing Content of Resident File,Writing Size : 512,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,,,,,Update Resident Value,0x22DB,4
