source,lsn/usn,category,detail
usnjrnl,1717086320,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.68.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 23:28:04) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717087040,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.69.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 23:28:04) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717087760,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.70.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 23:28:04) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717088544,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.71.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 23:28:04) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717089264,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.72.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 23:28:04) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717089984,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.73.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 23:28:04) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717091024,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.74.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 23:28:04) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717091744,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.75.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 23:28:04) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717092496,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.76.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 23:28:04) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717093216,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.77.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 23:28:04) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717094336,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.78.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 23:28:04) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717096160,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.80.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 23:28:04) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717097384,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.81.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 23:28:04) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717100000,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.83.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 23:28:04) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717101064,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.84.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 23:28:04) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717102024,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.85.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 23:28:04) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717102744,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.86.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 23:28:04) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717103464,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.87.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 23:28:04) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717104184,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.88.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 23:28:04) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717105328,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.89.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 23:28:04) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717106048,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.173759.428.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 23:28:04) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717106768,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.173759.428.2.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 23:28:04) != (Creation Event Time : 2023-12-26 22:39:35))"""
usnjrnl,1717107488,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.175817.420.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 23:28:04) != (Creation Event Time : 2023-12-26 22:39:35))"""
usnjrnl,1717109024,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.183040.874.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 23:28:04) != (Creation Event Time : 2023-12-26 22:39:35))"""
usnjrnl,1717110992,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.184944.109.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 23:28:04) != (Creation Event Time : 2023-12-26 22:39:35))"""
usnjrnl,1717112832,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.193041.301.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 23:28:05) != (Creation Event Time : 2023-12-26 22:39:35))"""
usnjrnl,1717083064,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.64.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 23:28:04) != (Creation Event Time : 2023-12-26 22:59:48))"""
usnjrnl,1717114720,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.213041.312.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 23:28:05) != (Creation Event Time : 2023-12-26 22:59:51))"""
usnjrnl,1717115440,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.223041.336.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 23:28:05) != (Creation Event Time : 2023-12-26 22:59:51))"""
usnjrnl,1717116160,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.231817.373.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 23:28:05) != (Creation Event Time : 2023-12-26 22:59:51))"""
usnjrnl,1717116928,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.235013.988.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 23:28:05) != (Creation Event Time : 2023-12-26 22:59:51))"""
